IL,XL,K,X,Y,Z
280,10,0,454459.328,7318448.621,3017.787
280,10,1,454460.861,7318443.989,3021.426
280,10,2,454462.211,7318439.894,3024.639
280,10,3,454463.783,7318435.072,3028.414
280,10,4,454465.203,7318430.693,3031.837
280,10,5,454466.367,7318427.127,3034.629
280,10,6,454467.557,7318423.186,3037.655
280,10,7,454468.772,7318418.873,3040.915
280,10,8,454469.997,7318414.936,3043.962
280,10,9,454471.808,7318409.685,3048.139
280,10,10,454473.570,7318404.565,3052.209
280,10,11,454474.383,7318402.203,3054.087
280,10,12,454475.506,7318398.948,3056.675
280,10,13,454477.312,7318393.709,3060.838
280,10,14,454479.197,7318388.231,3065.186
280,10,15,454480.922,7318383.204,3069.173
280,10,16,454481.830,7318380.558,3071.272
280,10,17,454482.278,7318379.251,3072.309
280,10,18,454484.974,7318371.177,3078.681
280,10,19,454489.200,7318358.196,3088.863
280,10,20,454494.513,7318341.793,3101.729
280,10,21,454501.052,7318317.318,3120.184
280,20,0,454620.017,7318442.740,2996.205
280,20,1,454621.931,7318438.075,3000.033
280,20,2,454623.612,7318433.971,3003.398
280,20,3,454625.583,7318429.139,3007.356
280,20,4,454627.342,7318424.803,3010.904
280,20,5,454628.766,7318421.292,3013.776
280,20,6,454630.192,7318417.616,3016.747
280,20,7,454631.621,7318413.777,3019.815
280,20,8,454633.119,7318409.995,3022.888
280,20,9,454635.414,7318404.531,3027.402
280,20,10,454637.646,7318399.209,3031.796
280,20,11,454638.685,7318396.737,3033.839
280,20,12,454640.105,7318393.356,3036.631
280,20,13,454642.357,7318387.971,3041.074
280,20,14,454644.682,7318382.391,3045.674
280,20,15,454646.800,7318377.299,3049.870
280,20,16,454647.913,7318374.621,3052.077
280,20,17,454648.466,7318373.292,3053.172
280,20,18,454651.721,7318365.319,3059.715
280,20,19,454656.823,7318352.668,3070.059
280,20,20,454663.390,7318336.438,3083.338
280,20,21,454671.110,7318314.993,3100.451
280,30,0,454871.186,7318563.619,2965.983
280,30,1,454874.389,7318558.886,2970.440
280,30,2,454877.259,7318554.658,2974.429
280,30,3,454880.619,7318549.718,2979.093
280,30,4,454883.545,7318545.390,2983.168
280,30,5,454885.864,7318541.942,2986.405
280,30,6,454888.174,7318538.515,2989.626
280,30,7,454890.475,7318535.109,2992.831
280,30,8,454893.002,7318531.389,2996.343
280,30,9,454897.046,7318525.460,3001.960
280,30,10,454901.008,7318519.656,3007.462
280,30,11,454902.876,7318516.932,3010.049
280,30,12,454905.368,7318513.282,3013.504
280,30,13,454909.237,7318507.582,3018.882
280,30,14,454913.161,7318501.780,3024.344
280,30,15,454916.707,7318496.530,3029.282
280,30,16,454918.571,7318493.771,3031.877
280,30,17,454919.505,7318492.393,3033.175
280,30,18,454924.708,7318484.626,3040.456
280,30,19,454932.991,7318472.330,3052.012
280,30,20,454944.285,7318455.835,3067.634
280,30,21,454956.644,7318437.973,3084.638
280,40,0,455126.833,7318692.332,2925.381
280,40,1,455130.982,7318687.956,2930.417
280,40,2,455134.772,7318683.954,2935.025
280,40,3,455139.211,7318679.280,2940.408
280,40,4,455142.978,7318675.287,2944.999
280,40,5,455145.896,7318672.168,2948.579
280,40,6,455148.854,7318668.993,2952.222
280,40,7,455151.852,7318665.764,2955.927
280,40,8,455155.204,7318662.153,2960.071
280,40,9,455160.640,7318656.282,2966.805
280,40,10,455165.989,7318650.509,2973.427
280,40,11,455168.562,7318647.756,2976.592
280,40,12,455171.961,7318644.155,2980.739
280,40,13,455177.122,7318638.717,2987.004
280,40,14,455182.282,7318633.316,2993.232
280,40,15,455186.941,7318628.451,2998.845
280,40,16,455189.406,7318625.884,3001.809
280,40,17,455190.658,7318624.588,3003.308
280,40,18,455197.143,7318617.753,3011.167
280,40,19,455207.757,7318606.617,3023.992
280,40,20,455223.282,7318590.479,3042.637
280,40,21,455240.940,7318572.166,3063.820
280,50,0,455398.998,7318806.262,2885.750
280,50,1,455403.335,7318801.514,2891.294
280,50,2,455407.366,7318797.100,2896.447
280,50,3,455412.094,7318791.965,2902.451
280,50,4,455416.016,7318787.618,2907.515
280,50,5,455419.025,7318784.213,2911.465
280,50,6,455422.098,7318780.702,2915.532
280,50,7,455425.236,7318777.085,2919.715
280,50,8,455428.746,7318773.049,2924.384
280,50,9,455434.368,7318766.553,2931.893
280,50,10,455439.897,7318760.183,2939.261
280,50,11,455442.627,7318757.107,2942.834
280,50,12,455446.288,7318753.069,2947.541
280,50,13,455451.801,7318747.054,2954.570
280,50,14,455457.304,7318741.130,2961.510
280,50,15,455462.307,7318735.774,2967.792
280,50,16,455464.990,7318732.927,2971.136
280,50,17,455466.373,7318731.482,2972.839
280,50,18,455472.779,7318724.360,2981.139
280,50,19,455483.398,7318712.666,2994.791
280,50,20,455499.367,7318695.403,3015.020
280,50,21,455517.582,7318675.737,3038.076
280,60,0,455650.714,7318888.766,2863.546
280,60,1,455655.440,7318882.866,2870.032
280,60,2,455659.900,7318877.323,2876.128
280,60,3,455665.067,7318870.963,2883.131
280,60,4,455669.131,7318865.908,2888.694
280,60,5,455672.126,7318862.130,2892.846
280,60,6,455675.108,7318858.363,2896.985
280,60,7,455678.077,7318854.608,2901.113
280,60,8,455681.365,7318850.465,2905.670
280,60,9,455686.520,7318843.925,2912.858
280,60,10,455691.630,7318837.421,2920.004
280,60,11,455694.263,7318834.097,2923.660
280,60,12,455697.935,7318829.470,2928.751
280,60,13,455703.541,7318822.389,2936.540
280,60,14,455709.162,7318815.294,2944.347
280,60,15,455714.254,7318808.895,2951.394
280,60,16,455717.002,7318805.465,2955.175
280,60,17,455718.415,7318803.714,2957.108
280,60,18,455724.122,7318796.450,2965.102
280,60,19,455733.750,7318784.197,2978.586
280,60,20,455748.692,7318765.255,2999.433
280,60,21,455765.666,7318743.722,3023.127
280,70,0,455873.021,7318951.194,2858.078
280,70,1,455877.319,7318944.220,2865.227
280,70,2,455881.403,7318937.602,2872.010
280,70,3,455886.110,7318929.994,2879.806
280,70,4,455889.705,7318924.146,2885.807
280,70,5,455892.266,7318919.946,2890.124
280,70,6,455894.800,7318915.772,2894.416
280,70,7,455897.306,7318911.623,2898.683
280,70,8,455900.064,7318907.050,2903.386
280,70,9,455904.343,7318899.916,2910.728
280,70,10,455908.561,7318892.872,2917.980
280,70,11,455910.728,7318889.265,2921.695
280,70,12,455913.749,7318884.240,2926.868
280,70,13,455918.326,7318876.630,2934.705
280,70,14,455922.839,7318869.153,2942.407
280,70,15,455926.885,7318862.471,2949.290
280,70,16,455929.068,7318858.874,2952.994
280,70,17,455930.171,7318857.059,2954.864
280,70,18,455934.427,7318849.987,2962.168
280,70,19,455941.723,7318837.841,2974.703
280,70,20,455953.356,7318818.425,2994.715
280,70,21,455966.786,7318795.977,3017.838
280,80,0,456084.004,7319048.695,2850.353
280,80,1,456086.428,7319039.310,2858.970
280,80,2,456088.733,7319030.386,2867.164
280,80,3,456091.393,7319020.108,2876.598
280,80,4,456093.392,7319012.326,2883.750
280,80,5,456094.781,7319006.831,2888.809
280,80,6,456096.150,7319001.412,2893.803
280,80,7,456097.501,7318996.068,2898.731
280,80,8,456098.983,7318990.230,2904.117
280,80,9,456101.266,7318981.281,2912.381
280,80,10,456103.488,7318972.669,2920.338
280,80,11,456104.611,7318968.423,2924.263
280,80,12,456106.177,7318962.514,2929.724
280,80,13,456108.546,7318953.572,2937.986
280,80,14,456110.865,7318944.796,2946.091
280,80,15,456112.945,7318936.918,2953.363
280,80,16,456114.075,7318932.636,2957.313
280,80,17,456114.640,7318930.487,2959.296
280,80,18,456116.723,7318922.588,2966.603
280,80,19,456120.377,7318908.606,2979.530
280,80,20,456126.381,7318885.446,3000.930
280,80,21,456133.416,7318858.249,3026.051
280,90,0,456238.078,7319143.706,2837.446
280,90,1,456237.989,7319132.166,2847.712
280,90,2,456237.906,7319121.202,2857.467
280,90,3,456237.807,7319108.565,2868.697
280,90,4,456237.737,7319099.051,2877.182
280,90,5,456237.691,7319092.375,2883.176
280,90,6,456237.649,7319085.843,2889.044
280,90,7,456237.608,7319079.457,2894.786
280,90,8,456237.565,7319072.535,2901.005
280,90,9,456237.503,7319062.059,2910.420
280,90,10,456237.440,7319052.124,2919.332
280,90,11,456237.404,7319047.331,2923.603
280,90,12,456237.350,7319040.664,2929.540
280,90,13,456237.272,7319030.539,2938.564
280,90,14,456237.193,7319020.514,2947.510
280,90,15,456237.121,7319011.442,2955.607
280,90,16,456237.082,7319006.487,2960.026
280,90,17,456237.062,7319004.002,2962.244
280,90,18,456237.007,7318995.094,2970.247
280,90,19,456236.913,7318979.131,2984.594
280,90,20,456236.763,7318952.437,3008.587
280,90,21,456236.585,7318920.953,3036.864
280,100,0,456347.954,7319327.110,2663.931
280,100,1,456347.905,7319316.651,2673.315
280,100,2,456347.854,7319306.597,2682.349
280,100,3,456347.797,7319295.497,2692.301
280,100,4,456347.752,7319287.074,2699.868
280,100,5,456347.720,7319280.675,2705.624
280,100,6,456347.687,7319274.199,2711.449
280,100,7,456347.655,7319267.647,2717.342
280,100,8,456347.621,7319260.627,2723.643
280,100,9,456347.570,7319249.953,2733.236
280,100,10,456347.520,7319239.232,2742.874
280,100,11,456347.494,7319233.461,2748.036
280,100,12,456347.457,7319225.152,2755.465
280,100,13,456347.398,7319212.483,2766.811
280,100,14,456347.339,7319199.790,2778.185
280,100,15,456347.287,7319188.554,2788.273
280,100,16,456347.260,7319182.563,2793.658
280,100,17,456347.246,7319179.434,2796.463
280,100,18,456347.192,7319169.830,2805.205
280,100,19,456347.092,7319152.324,2821.100
280,100,20,456346.913,7319121.276,2849.091
280,100,21,456346.698,7319083.624,2882.909
280,110,0,456427.136,7319348.752,2656.294
280,110,1,456429.458,7319339.309,2665.649
280,110,2,456431.653,7319330.302,2674.587
280,110,3,456434.072,7319320.389,2684.405
280,110,4,456435.907,7319312.854,2691.882
280,110,5,456437.310,7319307.098,2697.603
280,110,6,456438.737,7319301.257,2703.409
280,110,7,456440.187,7319295.332,2709.299
280,110,8,456441.751,7319288.972,2715.611
280,110,9,456444.144,7319279.250,2725.281
280,110,10,456446.557,7319269.451,2735.041
280,110,11,456447.866,7319264.166,2740.288
280,110,12,456449.750,7319256.564,2747.832
280,110,13,456452.603,7319245.008,2759.310
280,110,14,456455.447,7319233.461,2770.778
280,110,15,456457.975,7319223.204,2780.978
280,110,16,456459.332,7319217.709,2786.446
280,110,17,456460.041,7319214.845,2789.290
280,110,18,456462.131,7319206.164,2798.016
280,110,19,456465.929,7319190.407,2813.809
280,110,20,456472.657,7319162.675,2841.400
280,110,21,456480.811,7319129.154,2874.632
280,120,0,456498.177,7319408.757,2648.824
280,120,1,456501.325,7319400.029,2658.339
280,120,2,456504.273,7319391.848,2667.306
280,120,3,456507.506,7319382.886,2677.114
280,120,4,456509.959,7319376.080,2684.579
280,120,5,456511.842,7319370.853,2690.318
280,120,6,456513.761,7319365.526,2696.165
280,120,7,456515.715,7319360.101,2702.118
280,120,8,456517.829,7319354.235,2708.534
280,120,9,456521.096,7319345.152,2718.488
280,120,10,456524.402,7319335.948,2728.595
280,120,11,456526.192,7319330.969,2734.047
280,120,12,456528.765,7319323.817,2741.874
280,120,13,456532.654,7319312.999,2753.731
280,120,14,456536.529,7319302.224,2765.539
280,120,15,456539.988,7319292.600,2776.084
280,120,16,456541.851,7319287.415,2781.763
280,120,17,456542.821,7319284.719,2784.708
280,120,18,456545.686,7319276.708,2793.597
280,120,19,456550.868,7319262.244,2809.602
280,120,20,456559.945,7319237.022,2837.303
280,120,21,456570.833,7319206.838,2870.372
280,130,0,456559.149,7319455.781,2646.306
280,130,1,456561.807,7319447.038,2655.739
280,130,2,456564.326,7319438.750,2664.726
280,130,3,456567.084,7319429.674,2674.553
280,130,4,456569.177,7319422.791,2682.026
280,130,5,456570.786,7319417.498,2687.778
280,130,6,456572.416,7319412.140,2693.604
280,130,7,456574.067,7319406.716,2699.503
280,130,8,456575.839,7319400.893,2705.816
280,130,9,456578.584,7319391.881,2715.612
280,130,10,456581.376,7319382.714,2725.601
280,130,11,456582.887,7319377.751,2730.992
280,130,12,456585.058,7319370.622,2738.731
280,130,13,456588.362,7319359.766,2750.527
280,130,14,456591.722,7319348.711,2762.511
280,130,15,456594.770,7319338.672,2773.375
280,130,16,456596.416,7319333.249,2779.241
280,130,17,456597.272,7319330.429,2782.281
280,130,18,456599.791,7319322.154,2791.373
280,130,19,456604.350,7319307.166,2807.779
280,130,20,456612.260,7319281.125,2836.038
280,130,21,456621.604,7319250.363,2869.356
280,140,0,456629.234,7319512.730,2645.322
280,140,1,456631.624,7319504.611,2654.437
280,140,2,456633.965,7319496.660,2663.380
280,140,3,456636.540,7319487.907,2673.205
280,140,4,456638.502,7319481.242,2680.705
280,140,5,456640.016,7319476.101,2686.496
280,140,6,456641.541,7319470.925,2692.332
280,140,7,456643.076,7319465.716,2698.211
280,140,8,456644.702,7319460.198,2704.429
280,140,9,456647.197,7319451.743,2713.994
280,140,10,456649.736,7319443.144,2723.747
280,140,11,456651.107,7319438.497,2729.002
280,140,12,456653.078,7319431.817,2736.550
280,140,13,456656.099,7319421.574,2748.125
280,140,14,456659.219,7319410.975,2760.044
280,140,15,456662.080,7319401.244,2770.952
280,140,16,456663.631,7319395.965,2776.863
280,140,17,456664.438,7319393.216,2779.930
280,140,18,456666.794,7319385.255,2789.008
280,140,19,456671.081,7319370.742,2805.475
280,140,20,456678.502,7319345.528,2833.813
280,140,21,456687.232,7319315.849,2867.116
280,150,0,456701.338,7319571.046,2644.701
280,150,1,456703.585,7319563.133,2653.852
280,150,2,456705.807,7319555.306,2662.908
280,150,3,456708.233,7319546.761,2672.783
280,150,4,456710.070,7319540.301,2680.276
280,150,5,456711.494,7319535.293,2686.086
280,150,6,456712.934,7319530.226,2691.967
280,150,7,456714.392,7319525.100,2697.920
280,150,8,456715.935,7319519.668,2704.217
280,150,9,456718.299,7319511.362,2713.889
280,150,10,456720.693,7319502.961,2723.705
280,150,11,456721.978,7319498.450,2728.965
280,150,12,456723.819,7319491.981,2736.502
280,150,13,456726.629,7319482.115,2748.005
280,150,14,456729.482,7319472.088,2759.662
280,150,15,456732.065,7319463.003,2770.202
280,150,16,456733.468,7319458.069,2775.919
280,150,17,456734.197,7319455.500,2778.883
280,150,18,456736.301,7319448.154,2787.584
280,150,19,456740.147,7319434.696,2803.426
280,150,20,456746.871,7319411.069,2830.907
280,150,21,456754.897,7319382.824,2863.638
280,160,0,456773.851,7319631.061,2645.996
280,160,1,456776.077,7319623.081,2655.312
280,160,2,456778.282,7319615.179,2664.542
280,160,3,456780.669,7319606.623,2674.533
280,160,4,456782.459,7319600.211,2682.058
280,160,5,456783.853,7319595.218,2687.915
280,160,6,456785.269,7319590.150,2693.862
280,160,7,456786.705,7319585.007,2699.897
280,160,8,456788.225,7319579.560,2706.277
280,160,9,456790.541,7319571.273,2716.037
280,160,10,456792.876,7319562.920,2725.918
280,160,11,456794.129,7319558.439,2731.207
280,160,12,456795.907,7319552.077,2738.718
280,160,13,456798.596,7319542.460,2750.099
280,160,14,456801.283,7319532.851,2761.461
280,160,15,456803.679,7319524.280,2771.595
280,160,16,456804.975,7319519.642,2777.072
280,160,17,456805.647,7319517.236,2779.902
280,160,18,456807.549,7319510.463,2788.130
280,160,19,456811.041,7319498.017,2803.137
280,160,20,456817.195,7319476.015,2829.273
280,160,21,456824.618,7319449.443,2860.661
280,170,0,456844.761,7319694.264,2646.640
280,170,1,456847.111,7319685.950,2656.353
280,170,2,456849.428,7319677.752,2665.941
280,170,3,456851.917,7319668.942,2676.252
280,170,4,456853.765,7319662.399,2683.959
280,170,5,456855.204,7319657.304,2689.957
280,170,6,456856.667,7319652.126,2696.054
280,170,7,456858.153,7319646.864,2702.248
280,170,8,456859.721,7319641.311,2708.777
280,170,9,456862.077,7319632.973,2718.653
280,170,10,456864.444,7319624.592,2728.630
280,170,11,456865.723,7319620.064,2734.001
280,170,12,456867.534,7319613.655,2741.612
280,170,13,456870.254,7319604.028,2753.080
280,170,14,456872.935,7319594.539,2764.396
280,170,15,456875.294,7319586.189,2774.373
280,170,16,456876.563,7319581.694,2779.741
280,170,17,456877.219,7319579.373,2782.503
280,170,18,456879.034,7319572.954,2790.439
280,170,19,456882.362,7319561.182,2804.876
280,170,20,456888.203,7319540.507,2829.845
280,170,21,456895.230,7319515.630,2859.718
280,180,0,456911.755,7319760.106,2648.733
280,180,1,456914.510,7319750.815,2659.508
280,180,2,456917.141,7319741.937,2669.853
280,180,3,456919.857,7319732.761,2680.605
280,180,4,456921.812,7319726.154,2688.428
280,180,5,456923.332,7319721.017,2694.511
280,180,6,456924.888,7319715.762,2700.727
280,180,7,456926.479,7319710.387,2707.079
280,180,8,456928.158,7319704.715,2713.772
280,180,9,456930.621,7319696.392,2723.702
280,180,10,456933.067,7319688.126,2733.631
280,180,11,456934.389,7319683.656,2738.979
280,180,12,456936.264,7319677.317,2746.570
280,180,13,456939.071,7319667.824,2757.981
280,180,14,456941.815,7319658.542,2769.163
280,180,15,456944.205,7319650.461,2778.934
280,180,16,456945.481,7319646.145,2784.157
280,180,17,456946.136,7319643.927,2786.833
280,180,18,456947.931,7319637.854,2794.475
280,180,19,456951.209,7319626.761,2808.323
280,180,20,456956.912,7319607.464,2832.062
280,180,21,456963.810,7319584.123,2860.576
280,190,0,456972.967,7319833.874,2649.381
280,190,1,456976.124,7319823.941,2660.790
280,190,2,456979.045,7319814.746,2671.439
280,190,3,456981.992,7319805.471,2682.271
280,190,4,456984.108,7319798.820,2690.123
280,190,5,456985.757,7319793.636,2696.241
280,190,6,456987.473,7319788.244,2702.585
280,190,7,456989.255,7319782.643,2709.153
280,190,8,456991.152,7319776.686,2716.124
280,190,9,456993.964,7319767.862,2726.541
280,190,10,456996.752,7319759.124,2736.929
280,190,11,456998.244,7319754.446,2742.479
280,190,12,457000.324,7319747.926,2750.241
280,190,13,457003.405,7319738.265,2761.801
280,190,14,457006.386,7319728.918,2773.030
280,190,15,457008.969,7319720.814,2782.805
280,190,16,457010.350,7319716.484,2788.032
280,190,17,457011.057,7319714.265,2790.704
280,190,18,457012.962,7319708.297,2798.222
280,190,19,457016.431,7319697.423,2811.818
280,190,20,457022.416,7319678.655,2834.969
280,190,21,457029.600,7319656.108,2862.616
280,200,0,457028.932,7319914.783,2650.402
280,200,1,457032.134,7319905.242,2661.312
280,200,2,457034.939,7319896.889,2671.019
280,200,3,457037.697,7319888.682,2680.683
280,200,4,457039.748,7319882.583,2687.913
280,200,5,457041.377,7319877.740,2693.635
280,200,6,457043.103,7319872.609,2699.663
280,200,7,457044.925,7319867.190,2705.994
280,200,8,457046.919,7319861.261,2712.879
280,200,9,457050.035,7319852.007,2723.645
280,200,10,457053.195,7319842.624,2734.598
280,200,11,457054.980,7319837.327,2740.725
280,200,12,457057.558,7319829.686,2749.550
280,200,13,457061.259,7319818.717,2762.329
280,200,14,457064.708,7319808.493,2774.344
280,200,15,457067.649,7319799.775,2784.655
280,200,16,457069.225,7319795.105,2790.180
280,200,17,457070.027,7319792.727,2792.989
280,200,18,457072.122,7319786.534,2800.668
280,200,19,457075.925,7319775.282,2814.528
280,200,20,457082.445,7319755.978,2838.018
280,200,21,457090.094,7319733.325,2865.533
280,210,0,457081.455,7319996.288,2656.682
280,210,1,457083.963,7319988.940,2665.355
280,210,2,457086.202,7319982.394,2673.217
280,210,3,457088.442,7319975.853,2681.177
280,210,4,457090.193,7319970.739,2687.397
280,210,5,457091.643,7319966.496,2692.502
280,210,6,457093.213,7319961.895,2697.978
280,210,7,457094.901,7319956.937,2703.826
280,210,8,457096.828,7319951.269,2710.426
280,210,9,457100.001,7319941.923,2721.250
280,210,10,457103.303,7319932.196,2732.513
280,210,11,457105.324,7319926.225,2739.300
280,210,12,457108.408,7319917.103,2749.586
280,210,13,457112.727,7319904.347,2764.125
280,210,14,457116.622,7319892.867,2777.371
280,210,15,457119.864,7319883.318,2788.490
280,210,16,457121.591,7319878.236,2794.414
