IL,XL,K,X,Y,Z
40,20,0,453847.719,7319990.274,2969.545
40,20,1,453847.351,7319992.739,2976.292
40,20,2,453846.998,7319995.093,2982.739
40,20,3,453846.650,7319997.421,2989.110
40,20,4,453846.338,7319999.509,2994.821
40,20,5,453846.095,7320001.136,2999.275
40,20,6,453845.849,7320002.783,3003.780
40,20,7,453845.601,7320004.448,3008.336
40,20,8,453845.334,7320006.234,3013.225
40,20,9,453844.835,7320009.578,3022.372
40,20,10,453844.321,7320013.028,3031.811
40,20,11,453844.116,7320014.406,3035.580
40,20,12,453843.864,7320016.089,3040.184
40,20,13,453843.456,7320018.813,3047.641
40,20,14,453843.049,7320021.524,3055.063
40,20,15,453842.674,7320024.025,3061.911
40,20,16,453842.478,7320025.333,3065.492
40,20,17,453842.395,7320025.883,3066.999
40,20,18,453841.597,7320031.230,3081.624
40,20,19,453840.368,7320039.455,3104.130
40,20,20,453838.920,7320049.089,3130.517
40,20,21,453837.475,7320058.625,3156.679
40,30,0,454103.259,7320104.031,2898.340
40,30,1,454102.626,7320106.401,2905.505
40,30,2,454102.006,7320108.713,2912.497
40,30,3,454101.396,7320110.992,2919.387
40,30,4,454100.857,7320113.008,2925.478
40,30,5,454100.440,7320114.572,2930.202
40,30,6,454100.019,7320116.149,2934.967
40,30,7,454099.596,7320117.740,2939.771
40,30,8,454099.142,7320119.444,2944.916
40,30,9,454098.301,7320122.608,2954.470
40,30,10,454097.434,7320125.868,2964.316
40,30,11,454097.084,7320127.183,2968.285
40,30,12,454096.641,7320128.840,2973.293
40,30,13,454095.921,7320131.535,2981.439
40,30,14,454095.202,7320134.225,2989.569
40,30,15,454094.538,7320136.711,2997.082
40,30,16,454094.189,7320138.013,3001.019
40,30,17,454094.041,7320138.566,3002.690
40,30,18,454092.705,7320143.610,3017.919
40,30,19,454090.636,7320151.418,3041.499
40,30,20,454088.151,7320160.793,3069.810
40,30,21,454085.558,7320170.519,3099.218
40,40,0,454339.019,7320257.539,2883.912
40,40,1,454337.744,7320260.231,2891.621
40,40,2,454336.452,7320262.946,2899.384
40,40,3,454335.181,7320265.620,2907.024
40,40,4,454334.062,7320267.973,2913.741
40,40,5,454333.183,7320269.817,2919.001
40,40,6,454332.291,7320271.688,2924.328
40,40,7,454331.384,7320273.584,2929.725
40,40,8,454330.445,7320275.558,2935.358
40,40,9,454328.773,7320279.088,2945.476
40,40,10,454327.054,7320282.718,2955.883
40,40,11,454326.352,7320284.199,2960.124
40,40,12,454325.444,7320286.114,2965.600
40,40,13,454323.970,7320289.219,2974.487
40,40,14,454322.509,7320292.301,2983.313
40,40,15,454321.163,7320295.141,2991.450
40,40,16,454320.458,7320296.630,2995.721
40,40,17,454320.130,7320297.315,2997.666
40,40,18,454317.850,7320302.230,3011.965
40,40,19,454314.493,7320309.524,3033.310
40,40,20,454310.579,7320318.079,3058.448
40,40,21,454306.434,7320327.133,3085.040
40,50,0,454563.813,7320427.965,2924.168
40,50,1,454561.878,7320431.173,2931.588
40,50,2,454559.896,7320434.458,2939.192
40,50,3,454557.955,7320437.676,2946.639
40,50,4,454556.250,7320440.503,2953.181
40,50,5,454554.897,7320442.746,2958.366
40,50,6,454553.508,7320445.048,2963.681
40,50,7,454552.082,7320447.409,2969.126
40,50,8,454550.646,7320449.791,2974.639
40,50,9,454548.173,7320453.897,2984.194
40,50,10,454545.633,7320458.113,2994.010
40,50,11,454544.588,7320459.848,2998.044
40,50,12,454543.215,7320462.125,3003.335
40,50,13,454540.993,7320465.812,3011.908
40,50,14,454538.798,7320469.454,3020.383
40,50,15,454536.788,7320472.790,3028.155
40,50,16,454535.737,7320474.536,3032.226
40,50,17,454535.209,7320475.409,3034.238
40,50,18,454532.314,7320480.245,3045.774
40,50,19,454528.327,7320486.930,3061.914
40,50,20,454523.873,7320494.419,3080.170
40,50,21,454519.105,7320502.433,3099.653
40,60,0,454796.583,7320582.734,2966.496
40,60,1,454794.345,7320586.006,2973.077
40,60,2,454792.041,7320589.373,2979.862
40,60,3,454789.805,7320592.644,2986.445
40,60,4,454787.894,7320595.443,2992.075
40,60,5,454786.408,7320597.626,2996.461
40,60,6,454784.879,7320599.869,3000.967
40,60,7,454783.310,7320602.174,3005.595
40,60,8,454781.694,7320604.541,3010.359
40,60,9,454778.873,7320608.663,3018.693
40,60,10,454775.976,7320612.898,3027.260
40,60,11,454774.768,7320614.662,3030.825
40,60,12,454773.149,7320617.024,3035.602
40,60,13,454770.521,7320620.858,3043.361
40,60,14,454767.916,7320624.656,3051.056
40,60,15,454765.524,7320628.144,3058.130
40,60,16,454764.268,7320629.975,3061.847
40,60,17,454763.671,7320630.850,3063.607
40,60,18,454760.093,7320636.023,3074.256
40,60,19,454754.777,7320643.654,3090.079
40,60,20,454748.228,7320652.987,3109.529
40,60,21,454741.079,7320663.168,3130.705
40,70,0,455028.289,7320735.515,2963.494
40,70,1,455025.952,7320738.477,2969.900
40,70,2,455023.492,7320741.592,2976.657
40,70,3,455021.122,7320744.595,2983.160
40,70,4,455019.169,7320747.073,2988.520
40,70,5,455017.692,7320748.949,2992.574
40,70,6,455016.189,7320750.861,2996.701
40,70,7,455014.659,7320752.808,3000.901
40,70,8,455013.009,7320754.902,3005.429
40,70,9,455010.024,7320758.685,3013.636
40,70,10,455006.955,7320762.573,3022.073
40,70,11,455005.660,7320764.213,3025.628
40,70,12,455003.888,7320766.454,3030.492
40,70,13,455000.997,7320770.109,3038.430
40,70,14,454998.107,7320773.760,3046.365
40,70,15,454995.435,7320777.135,3053.706
40,70,16,454994.024,7320778.917,3057.583
40,70,17,454993.426,7320779.676,3059.224
40,70,18,454989.012,7320785.222,3071.367
40,70,19,454981.840,7320794.196,3091.080
40,70,20,454972.373,7320806.010,3117.045
40,70,21,454962.068,7320818.870,3145.267
40,80,0,455224.892,7320927.687,2952.468
40,80,1,455222.588,7320930.136,2959.030
40,80,2,455220.064,7320932.815,2966.236
40,80,3,455217.648,7320935.376,2973.121
40,80,4,455215.694,7320937.448,2978.690
40,80,5,455214.228,7320939.004,2982.869
40,80,6,455212.747,7320940.576,2987.094
40,80,7,455211.250,7320942.166,2991.364
40,80,8,455209.610,7320943.906,2996.038
40,80,9,455206.604,7320947.099,3004.619
40,80,10,455203.512,7320950.386,3013.453
40,80,11,455202.197,7320951.778,3017.198
40,80,12,455200.368,7320953.715,3022.412
40,80,13,455197.376,7320956.884,3030.946
40,80,14,455194.378,7320960.056,3039.489
40,80,15,455191.614,7320962.981,3047.359
40,80,16,455190.159,7320964.520,3051.498
40,80,17,455189.565,7320965.147,3053.183
40,80,18,455185.152,7320969.839,3065.728
40,80,19,455177.840,7320977.606,3086.500
40,80,20,455168.122,7320987.910,3114.047
40,80,21,455157.629,7320999.025,3143.749
40,90,0,455377.873,7321157.896,2946.653
40,90,1,455375.510,7321159.727,2953.980
40,90,2,455372.862,7321161.784,2962.204
40,90,3,455370.362,7321163.706,2969.945
40,90,4,455368.366,7321165.240,2976.122
40,90,5,455366.872,7321166.389,2980.744
40,90,6,455365.369,7321167.548,2985.399
40,90,7,455363.855,7321168.717,2990.087
40,90,8,455362.202,7321169.984,2995.195
40,90,9,455359.173,7321172.317,3004.569
40,90,10,455356.057,7321174.723,3014.217
40,90,11,455354.737,7321175.730,3018.291
40,90,12,455352.885,7321177.140,3024.008
40,90,13,455349.857,7321179.450,3033.356
40,90,14,455346.838,7321181.747,3042.670
40,90,15,455344.063,7321183.850,3051.220
40,90,16,455342.604,7321184.952,3055.714
40,90,17,455342.011,7321185.397,3057.536
40,90,18,455337.815,7321188.594,3070.463
40,90,19,455330.864,7321193.869,3091.853
40,90,20,455321.673,7321200.780,3120.071
40,90,21,455311.785,7321208.177,3150.389
40,100,0,455507.450,7321310.836,2868.398
40,100,1,455505.025,7321312.631,2876.858
40,100,2,455502.164,7321314.729,2886.832
40,100,3,455499.512,7321316.639,2896.055
40,100,4,455497.459,7321318.117,2903.193
40,100,5,455495.952,7321319.207,2908.435
40,100,6,455494.453,7321320.296,2913.651
40,100,7,455492.963,7321321.385,2918.840
40,100,8,455491.330,7321322.555,2924.514
40,100,9,455488.353,7321324.704,2934.865
40,100,10,455485.313,7321326.908,2945.436
