IL,XL,K,X,Y,Z
220,50,0,455186.423,7319306.977,2829.895
220,50,1,455181.500,7319300.772,2838.392
220,50,2,455176.764,7319294.811,2846.546
220,50,3,455171.572,7319288.271,2855.498
220,50,4,455167.249,7319282.816,2862.974
220,50,5,455163.914,7319278.606,2868.744
220,50,6,455160.568,7319274.382,2874.534
220,50,7,455157.210,7319270.144,2880.342
220,50,8,455153.540,7319265.507,2886.700
220,50,9,455147.431,7319257.782,2897.301
220,50,10,455141.293,7319250.026,2907.940
220,50,11,455138.407,7319246.387,2912.925
220,50,12,455134.487,7319241.452,2919.676
220,50,13,455128.384,7319233.767,2930.191
220,50,14,455122.293,7319226.096,2940.689
220,50,15,455116.815,7319219.194,2950.136
220,50,16,455113.933,7319215.564,2955.105
220,50,17,455112.548,7319213.819,2957.492
220,50,18,455104.944,7319204.150,2970.814
220,50,19,455092.539,7319188.396,2992.499
220,50,20,455075.072,7319166.275,3022.885
220,50,21,455055.722,7319141.802,3056.474
230,50,0,455214.082,7319243.216,2830.544
230,50,1,455209.267,7319236.904,2838.901
230,50,2,455204.668,7319230.884,2846.865
230,50,3,455199.594,7319224.237,2855.662
230,50,4,455195.369,7319218.694,2863.005
230,50,5,455192.108,7319214.415,2868.674
230,50,6,455188.837,7319210.122,2874.362
230,50,7,455185.553,7319205.814,2880.069
230,50,8,455181.956,7319201.092,2886.328
230,50,9,455175.993,7319193.256,2896.721
230,50,10,455170.011,7319185.399,2907.137
230,50,11,455167.181,7319181.688,2912.051
230,50,12,455163.340,7319176.655,2918.711
230,50,13,455157.373,7319168.838,2929.057
230,50,14,455151.413,7319161.027,2939.395
230,50,15,455146.047,7319153.992,2948.710
230,50,16,455143.219,7319150.283,2953.620
230,50,17,455141.849,7319148.487,2955.997
230,50,18,455134.444,7319138.712,2969.001
230,50,19,455122.337,7319122.747,2990.220
230,50,20,455105.119,7319100.098,3020.271
230,50,21,455085.978,7319074.942,3053.620
240,50,0,455243.271,7319180.575,2829.211
240,50,1,455238.610,7319174.210,2837.393
240,50,2,455234.182,7319168.169,2845.155
240,50,3,455229.261,7319161.451,2853.790
240,50,4,455225.162,7319155.849,2860.994
240,50,5,455221.994,7319151.519,2866.564
240,50,6,455218.813,7319147.171,2872.156
240,50,7,455215.619,7319142.805,2877.771
240,50,8,455212.113,7319138.010,2883.938
240,50,9,455206.326,7319130.091,2894.132
240,50,10,455200.522,7319122.149,2904.353
240,50,11,455197.748,7319118.357,2909.230
240,50,12,455193.980,7319113.210,2915.846
240,50,13,455188.143,7319105.236,2926.096
240,50,14,455182.311,7319097.269,2936.338
240,50,15,455177.059,7319090.092,2945.564
240,50,16,455174.286,7319086.303,2950.434
240,50,17,455172.932,7319084.455,2952.810
240,50,18,455165.770,7319074.623,2965.491
240,50,19,455153.998,7319058.474,2986.306
240,50,20,455137.028,7319035.231,3016.227
240,50,21,455118.103,7319009.328,3049.555
250,50,0,455273.341,7319118.321,2826.694
250,50,1,455268.901,7319111.913,2834.725
250,50,2,455264.703,7319105.857,2842.313
250,50,3,455260.000,7319099.071,2850.816
250,50,4,455256.078,7319093.408,2857.915
250,50,5,455253.040,7319089.020,2863.416
250,50,6,455249.986,7319084.609,2868.946
250,50,7,455246.916,7319080.174,2874.506
250,50,8,455243.539,7319075.294,2880.624
250,50,9,455237.995,7319067.278,2890.679
250,50,10,455232.443,7319059.253,2900.746
250,50,11,455229.768,7319055.389,2905.589
250,50,12,455226.132,7319050.138,2912.168
250,50,13,455220.511,7319042.023,2922.336
250,50,14,455214.891,7319033.908,2932.503
250,50,15,455209.833,7319026.605,2941.654
250,50,16,455207.163,7319022.750,2946.483
250,50,17,455205.852,7319020.858,2948.853
250,50,18,455199.074,7319011.045,2961.179
250,50,19,455187.884,7318994.848,2981.517
250,50,20,455171.597,7318971.294,3011.067
250,50,21,455153.423,7318945.030,3044.005
260,50,0,455303.135,7319054.939,2824.293
260,50,1,455299.022,7319048.450,2832.240
260,50,2,455295.159,7319042.355,2839.704
260,50,3,455290.797,7319035.472,2848.134
260,50,4,455287.154,7319029.725,2855.176
260,50,5,455284.324,7319025.265,2860.641
260,50,6,455281.474,7319020.776,2866.141
260,50,7,455278.603,7319016.258,2871.677
260,50,8,455275.438,7319011.279,2877.780
260,50,9,455270.279,7319003.164,2887.727
260,50,10,455265.134,7318995.067,2897.651
260,50,11,455262.640,7318991.141,2902.462
260,50,12,455259.255,7318985.804,2908.998
260,50,13,455254.046,7318977.585,2919.063
260,50,14,455248.840,7318969.365,2929.129
260,50,15,455244.159,7318961.973,2938.182
260,50,16,455241.689,7318958.071,2942.959
260,50,17,455240.469,7318956.146,2945.316
260,50,18,455234.330,7318946.465,2957.192
260,50,19,455224.189,7318930.474,2976.806
260,50,20,455209.297,7318906.980,3005.604
260,50,21,455192.600,7318880.641,3037.884
270,50,0,455370.691,7319003.384,2818.452
270,50,1,455368.014,7318996.029,2826.126
270,50,2,455365.513,7318989.178,2833.277
270,50,3,455362.675,7318981.385,2841.408
270,50,4,455360.298,7318974.841,2848.234
270,50,5,455358.445,7318969.715,2853.575
270,50,6,455356.571,7318964.503,2859.001
270,50,7,455354.675,7318959.206,2864.510
270,50,8,455352.582,7318953.353,2870.595
270,50,9,455349.192,7318943.899,2880.430
270,50,10,455345.823,7318934.527,2890.184
270,50,11,455344.186,7318929.973,2894.924
270,50,12,455341.974,7318923.863,2901.291
270,50,13,455338.595,7318914.594,2910.963
270,50,14,455335.230,7318905.402,2920.563
270,50,15,455332.208,7318897.151,2929.182
270,50,16,455330.613,7318892.796,2933.730
270,50,17,455329.821,7318890.626,2935.995
270,50,18,455325.916,7318880.011,2947.095
270,50,19,455319.466,7318862.481,2965.425
270,50,20,455309.931,7318836.514,2992.566
270,50,21,455299.174,7318807.118,3023.270
280,50,0,455437.685,7318940.453,2814.822
280,50,1,455441.012,7318933.933,2821.715
280,50,2,455444.097,7318927.878,2828.114
280,50,3,455447.622,7318920.973,2835.414
280,50,4,455450.600,7318915.156,2841.569
280,50,5,455452.954,7318910.571,2846.422
280,50,6,455455.374,7318905.873,2851.397
280,50,7,455457.861,7318901.064,2856.494
280,50,8,455460.619,7318895.741,2862.136
280,50,9,455465.067,7318887.166,2871.228
280,50,10,455469.458,7318878.689,2880.212
280,50,11,455471.587,7318874.571,2884.575
280,50,12,455474.399,7318869.093,2890.369
280,50,13,455478.602,7318860.869,2899.064
280,50,14,455482.719,7318852.774,2907.616
280,50,15,455486.402,7318845.521,2915.277
280,50,16,455488.344,7318841.693,2919.320
280,50,17,455489.322,7318839.771,2921.350
280,50,18,455494.035,7318830.515,2931.140
280,50,19,455501.822,7318815.211,2947.323
280,50,20,455513.403,7318792.444,2971.384
280,50,21,455526.599,7318766.543,2998.761
180,60,0,455283.626,7319709.451,2803.513
180,60,1,455278.939,7319704.407,2811.651
180,60,2,455274.256,7319699.369,2819.776
180,60,3,455269.306,7319694.042,2828.372
180,60,4,455265.216,7319689.639,2835.481
180,60,5,455262.078,7319686.263,2840.934
180,60,6,455258.930,7319682.874,2846.405
180,60,7,455255.772,7319679.474,2851.894
180,60,8,455252.357,7319675.798,2857.833
180,60,9,455246.599,7319669.599,2867.852
180,60,10,455240.761,7319663.314,2878.012
180,60,11,455238.065,7319660.410,2882.701
180,60,12,455234.393,7319656.456,2889.082
180,60,13,455228.619,7319650.239,2899.120
180,60,14,455222.849,7319644.025,2909.155
180,60,15,455217.591,7319638.363,2918.301
180,60,16,455214.805,7319635.363,2923.148
180,60,17,455213.519,7319633.977,2925.386
180,60,18,455205.960,7319625.835,2938.584
180,60,19,455193.557,7319612.475,2960.228
180,60,20,455176.437,7319594.029,2990.080
180,60,21,455157.745,7319573.889,3022.656
190,60,0,455311.528,7319641.685,2804.898
190,60,1,455306.763,7319636.299,2813.094
190,60,2,455302.034,7319630.957,2821.222
190,60,3,455297.007,7319625.276,2829.866
190,60,4,455292.857,7319620.585,2837.007
190,60,5,455289.666,7319616.978,2842.496
190,60,6,455286.454,7319613.347,2848.024
190,60,7,455283.220,7319609.692,2853.589
190,60,8,455279.718,7319605.733,2859.618
190,60,9,455273.825,7319599.069,2869.770
190,60,10,455267.843,7319592.303,2880.075
190,60,11,455265.051,7319589.146,2884.883
190,60,12,455261.240,7319584.838,2891.444
190,60,13,455255.262,7319578.080,2901.735
190,60,14,455249.294,7319571.332,2912.013
190,60,15,455243.873,7319565.203,2921.348
190,60,16,455241.002,7319561.957,2926.293
190,60,17,455239.657,7319560.436,2928.610
190,60,18,455231.960,7319551.726,2941.900
190,60,19,455219.308,7319537.410,2963.745
190,60,20,455201.683,7319517.471,2994.164
190,60,21,455182.340,7319495.592,3027.537
200,60,0,455340.901,7319568.850,2808.390
200,60,1,455336.104,7319563.396,2816.335
200,60,2,455331.392,7319558.039,2824.138
