IL,XL,K,X,Y,Z
420,70,0,456566.792,7317856.409,2808.616
420,70,1,456560.814,7317849.502,2816.215
420,70,2,456554.992,7317842.768,2823.624
420,70,3,456547.021,7317833.553,2833.762
420,70,4,456540.677,7317826.218,2841.830
420,70,5,456535.849,7317820.636,2847.971
420,70,6,456531.078,7317815.112,2854.047
420,70,7,456526.362,7317809.648,2860.057
420,70,8,456520.880,7317803.298,2867.041
420,70,9,456513.596,7317794.859,2876.322
420,70,10,456507.251,7317787.505,2884.408
420,70,11,456503.618,7317783.290,2889.041
420,70,12,456498.453,7317777.290,2895.633
420,70,13,456491.217,7317768.878,2904.875
420,70,14,456484.293,7317760.820,2913.725
420,70,15,456478.465,7317754.032,2921.179
420,70,16,456475.440,7317750.506,2925.051
420,70,17,456473.700,7317748.476,2927.279
420,70,18,456470.391,7317744.646,2931.484
420,70,19,456463.791,7317736.983,2939.897
420,70,20,456448.945,7317719.710,2958.863
420,70,21,456429.689,7317697.327,2983.441
410,80,0,456693.578,7318058.241,2799.015
410,80,1,456687.558,7318050.898,2808.052
410,80,2,456681.765,7318043.821,2816.743
410,80,3,456674.182,7318034.560,2828.074
410,80,4,456668.355,7318027.451,2836.753
410,80,5,456663.979,7318022.111,2843.274
410,80,6,456659.669,7318016.848,2849.702
410,80,7,456655.425,7318011.661,2856.038
410,80,8,456650.541,7318005.694,2863.322
410,80,9,456644.015,7317997.722,2873.075
410,80,10,456638.207,7317990.622,2881.795
410,80,11,456634.822,7317986.474,2886.909
410,80,12,456629.992,7317980.551,2894.239
410,80,13,456623.129,7317972.128,2904.696
410,80,14,456616.439,7317963.906,2914.939
410,80,15,456610.724,7317956.878,2923.719
410,80,16,456607.729,7317953.190,2928.332
410,80,17,456606.012,7317951.076,2930.979
410,80,18,456602.745,7317947.104,2935.958
410,80,19,456596.156,7317939.052,2946.064
410,80,20,456581.351,7317920.877,2968.844
410,80,21,456562.361,7317897.576,2997.942
430,70,0,456601.907,7317751.768,2798.529
430,70,1,456595.348,7317744.633,2806.198
430,70,2,456588.924,7317737.633,2813.716
430,70,3,456580.141,7317728.055,2824.006
430,70,4,456573.208,7317720.488,2832.136
430,70,5,456567.919,7317714.715,2838.336
430,70,6,456562.786,7317709.112,2844.359
430,70,7,456557.809,7317703.680,2850.202
430,70,8,456551.960,7317697.297,2857.066
430,70,9,456544.202,7317688.836,2866.166
430,70,10,456537.443,7317681.472,2874.090
430,70,11,456533.493,7317677.178,2878.710
430,70,12,456527.912,7317671.122,2885.229
430,70,13,456520.133,7317662.697,2894.302
430,70,14,456512.678,7317654.639,2902.985
430,70,15,456506.417,7317647.880,2910.270
430,70,16,456503.181,7317644.390,2914.033
430,70,17,456501.316,7317642.380,2916.202
430,70,18,456497.969,7317638.778,2920.095
430,70,19,456491.213,7317631.510,2927.950
430,70,20,456475.422,7317614.459,2946.340
430,70,21,456454.195,7317591.476,2971.074
440,70,0,456634.358,7317650.449,2789.826
440,70,1,456627.575,7317643.025,2797.456
440,70,2,456621.198,7317636.043,2804.649
440,70,3,456612.684,7317626.726,2814.258
440,70,4,456606.150,7317619.578,2821.638
440,70,5,456601.190,7317614.152,2827.241
440,70,6,456596.407,7317608.923,2832.645
440,70,7,456591.800,7317603.889,2837.849
440,70,8,456586.298,7317597.876,2844.062
440,70,9,456578.955,7317589.851,2852.352
440,70,10,456572.440,7317582.732,2859.707
440,70,11,456568.413,7317578.329,2864.247
440,70,12,456562.455,7317571.814,2870.947
440,70,13,456553.870,7317562.424,2880.588
440,70,14,456545.199,7317552.939,2890.302
440,70,15,456537.712,7317544.747,2898.680
