IL,XL,K,X,Y,Z
110,440,0,457746.877,7322877.576,2554.365
110,440,1,457745.507,7322883.514,2565.152
110,440,2,457744.153,7322889.383,2575.815
110,440,3,457743.124,7322893.838,2583.913
110,440,4,457742.423,7322896.875,2589.432
110,440,5,457741.830,7322899.447,2594.105
110,440,6,457741.227,7322902.058,2598.852
110,440,7,457740.615,7322904.709,2603.671
110,440,8,457740.133,7322906.797,2607.466
110,440,9,457739.011,7322911.654,2616.293
110,440,10,457737.704,7322917.313,2626.574
100,440,0,457691.991,7322884.307,2551.312
100,440,1,457690.596,7322890.082,2561.863
100,440,2,457689.228,7322895.749,2572.218
100,440,3,457688.196,7322900.025,2580.035
100,440,4,457687.487,7322902.961,2585.401
100,440,5,457686.884,7322905.458,2589.965
100,440,6,457686.279,7322907.965,2594.547
100,440,7,457685.672,7322910.481,2599.149
100,440,8,457685.188,7322912.488,2602.817
100,440,9,457684.031,7322917.275,2611.565
100,440,10,457682.683,7322922.850,2621.750
110,450,0,457802.411,7322873.212,2554.685
110,450,1,457801.111,7322878.885,2565.619
110,450,2,457799.827,7322884.487,2576.428
110,450,3,457798.849,7322888.753,2584.678
110,450,4,457798.185,7322891.651,2590.273
110,450,5,457797.626,7322894.091,2594.975
110,450,6,457797.059,7322896.564,2599.748
110,450,7,457796.485,7322899.069,2604.590
110,450,8,457796.033,7322901.043,2608.405
110,450,9,457794.979,7322905.640,2617.266
110,450,10,457793.747,7322911.014,2627.626
120,460,0,457910.350,7322933.289,2555.896
120,460,1,457909.047,7322939.293,2567.108
120,460,2,457907.752,7322945.253,2578.236
120,460,3,457906.756,7322949.834,2586.786
120,460,4,457906.090,7322952.895,2592.502
120,460,5,457905.541,7322955.425,2597.226
120,460,6,457904.982,7322957.996,2602.025
120,460,7,457904.413,7322960.606,2606.898
120,460,8,457903.962,7322962.677,2610.764
120,460,9,457902.922,7322967.462,2619.699
120,460,10,457901.701,7322973.077,2630.184
110,460,0,457851.667,7322942.572,2554.894
110,460,1,457850.448,7322948.251,2565.893
110,460,2,457849.240,7322953.873,2576.773
110,460,3,457848.312,7322958.184,2585.107
110,460,4,457847.687,7322961.095,2590.741
110,460,5,457847.166,7322963.521,2595.440
110,460,6,457846.637,7322965.983,2600.204
110,460,7,457846.100,7322968.481,2605.033
110,460,8,457845.674,7322970.461,2608.863
110,460,9,457844.689,7322975.044,2617.736
110,460,10,457843.537,7322980.405,2628.111
130,470,0,458026.267,7322917.905,2554.346
130,470,1,458025.096,7322923.960,2565.595
130,470,2,458023.925,7322930.015,2576.846
130,470,3,458023.009,7322934.743,2585.634
130,470,4,458022.408,7322937.844,2591.397
130,470,5,458021.926,7322940.335,2596.025
130,470,6,458021.432,7322942.881,2600.758
130,470,7,458020.927,7322945.483,2605.596
130,470,8,458020.528,7322947.540,2609.421
130,470,9,458019.605,7322952.308,2618.283
130,470,10,458018.510,7322957.964,2628.795
120,470,0,457967.956,7322925.603,2554.084
