IL,XL,K,X,Y,Z
150,520,0,458430.885,7323039.336,2559.602
150,520,1,458430.824,7323043.506,2570.671
150,520,2,458430.766,7323047.700,2581.734
150,520,3,458430.718,7323051.071,2590.606
150,520,4,458430.686,7323053.205,2596.278
150,520,5,458430.665,7323054.705,2600.233
150,520,6,458430.642,7323056.272,2604.374
150,520,7,458430.617,7323057.907,2608.701
150,520,8,458430.597,7323059.227,2612.206
150,520,9,458430.549,7323062.355,2620.521
150,520,10,458430.492,7323066.173,2630.684
150,520,11,458430.469,7323067.622,2634.551
150,520,12,458430.437,7323069.830,2640.421
150,520,13,458430.381,7323073.732,2650.801
150,520,14,458430.338,7323077.497,2660.743
150,520,15,458430.299,7323080.824,2669.534
150,520,16,458430.266,7323082.859,2674.983
150,520,17,458430.248,7323083.829,2677.593
150,520,18,458430.213,7323085.349,2681.588
150,520,19,458430.133,7323089.813,2693.436
150,520,20,458429.968,7323099.150,2718.447
150,520,21,458429.771,7323109.579,2746.461
160,520,0,458494.774,7323042.855,2558.656
160,520,1,458495.004,7323045.345,2569.497
160,520,2,458495.237,7323047.838,2580.250
160,520,3,458495.426,7323049.850,2588.889
160,520,4,458495.545,7323051.134,2594.479
160,520,5,458495.624,7323052.023,2598.282
160,520,6,458495.707,7323052.955,2602.287
160,520,7,458495.795,7323053.932,2606.495
160,520,8,458495.866,7323054.724,2609.935
160,520,9,458496.038,7323056.599,2618.114
160,520,10,458496.250,7323058.893,2628.146
160,520,11,458496.332,7323059.769,2632.001
160,520,12,458496.457,7323061.096,2637.801
160,520,13,458496.678,7323063.443,2648.071
160,520,14,458496.903,7323065.687,2657.833
160,520,15,458497.099,7323067.670,2666.455
160,520,16,458497.211,7323068.906,2671.880
160,520,17,458497.261,7323069.497,2674.477
160,520,18,458497.308,7323070.376,2678.051
160,520,19,458497.513,7323073.023,2689.331
160,520,20,458498.000,7323078.679,2714.110
160,520,21,458498.554,7323085.056,2742.204
160,530,0,458559.775,7323049.133,2555.734
160,530,1,458560.560,7323049.480,2566.666
160,530,2,458561.282,7323049.922,2576.926
160,530,3,458561.822,7323050.339,2584.770
160,530,4,458562.210,7323050.543,2590.250
160,530,5,458562.464,7323050.697,2593.862
160,530,6,458562.732,7323050.856,2597.684
160,530,7,458563.015,7323051.022,2601.716
160,530,8,458563.251,7323051.148,2605.064
160,530,9,458563.821,7323051.440,2613.104
160,530,10,458564.521,7323051.795,2622.991
160,530,11,458564.794,7323051.925,2626.831
160,530,12,458565.202,7323052.131,2632.564
160,530,13,458565.923,7323052.498,2642.717
160,530,14,458566.612,7323052.872,2652.374
160,530,15,458567.217,7323053.204,2660.871
160,530,16,458567.595,7323053.392,2666.214
160,530,17,458567.772,7323053.479,2668.741
160,530,18,458567.961,7323053.648,2671.675
160,530,19,458568.685,7323054.087,2682.183
160,530,20,458570.403,7323054.910,2706.569
160,530,21,458572.372,7323055.805,2734.460
170,530,0,458628.288,7323049.094,2554.179
170,530,1,458629.270,7323047.954,2564.971
170,530,2,458630.147,7323046.972,2574.756
170,530,3,458630.784,7323046.293,2581.974
170,530,4,458631.261,7323045.753,2587.272
170,530,5,458631.568,7323045.410,2590.693
170,530,6,458631.894,7323045.045,2594.325
170,530,7,458632.239,7323044.658,2598.169
170,530,8,458632.529,7323044.331,2601.392
170,530,9,458633.231,7323043.537,2609.182
170,530,10,458634.096,7323042.557,2618.784
170,530,11,458634.436,7323042.169,2622.547
170,530,12,458634.942,7323041.593,2628.145
170,530,13,458635.837,7323040.574,2638.052
170,530,14,458636.695,7323039.591,2647.500
170,530,15,458637.446,7323038.731,2655.791
170,530,16,458637.913,7323038.202,2660.981
170,530,17,458638.130,7323037.960,2663.406
170,530,18,458638.335,7323037.760,2665.828
170,530,19,458639.200,7323036.815,2675.579
170,530,20,458641.323,7323034.420,2699.199
170,530,21,458643.767,7323031.655,2726.365
180,530,0,458706.349,7322970.089,2539.794
180,530,1,458709.221,7322967.008,2550.696
180,530,2,458711.533,7322964.492,2559.585
180,530,3,458713.022,7322962.845,2565.401
180,530,4,458714.356,7322961.407,2570.488
180,530,5,458715.183,7322960.510,2573.661
180,530,6,458716.067,7322959.554,2577.047
180,530,7,458717.007,7322958.537,2580.645
180,530,8,458717.816,7322957.665,2583.730
180,530,9,458719.790,7322955.539,2591.248
180,530,10,458722.226,7322952.915,2600.523
180,530,11,458723.195,7322951.873,2604.205
180,530,12,458724.615,7322950.341,2609.613
180,530,13,458727.122,7322947.636,2619.163
180,530,14,458729.467,7322945.093,2628.113
180,530,15,458731.521,7322942.866,2635.957
180,530,16,458732.845,7322941.441,2641.000
180,530,17,458733.469,7322940.772,2643.375
180,530,18,458734.010,7322940.193,2645.460
180,530,19,458736.436,7322937.589,2654.712
180,530,20,458742.586,7322930.999,2678.061
180,530,21,458749.735,7322923.350,2705.170
