IL,XL,K,X,Y,Z
60,380,0,457180.216,7322820.679,2535.364
60,380,1,457178.248,7322823.583,2546.547
60,380,2,457176.265,7322826.524,2557.908
60,380,3,457174.796,7322828.719,2566.438
60,380,4,457173.791,7322830.217,2572.246
60,380,5,457172.936,7322831.487,2577.160
60,380,6,457172.041,7322832.820,2582.327
60,380,7,457171.105,7322834.216,2587.746
60,380,8,457170.370,7322835.313,2592.003
60,380,9,457168.707,7322837.777,2601.518
60,380,10,457166.784,7322840.620,2612.479
60,380,11,457166.078,7322841.667,2616.529
60,380,12,457164.880,7322843.451,2623.436
60,380,13,457162.838,7322846.478,2635.129
60,380,14,457160.797,7322849.503,2646.811
60,380,15,457158.944,7322852.244,2657.382
60,380,16,457157.899,7322853.788,2663.335
60,380,17,457157.390,7322854.547,2666.276
60,380,18,457155.624,7322857.157,2676.340
60,380,19,457152.141,7322862.309,2696.221
60,380,20,457146.546,7322870.607,2728.281
60,380,21,457140.628,7322879.390,2762.246
70,390,0,457274.676,7322876.721,2540.106
70,390,1,457273.160,7322879.933,2550.178
70,390,2,457271.600,7322883.225,2560.539
70,390,3,457270.394,7322885.759,2568.552
70,390,4,457269.579,7322887.475,2573.967
70,390,5,457268.896,7322888.919,2578.511
70,390,6,457268.173,7322890.441,2583.310
70,390,7,457267.413,7322892.041,2588.365
70,390,8,457266.798,7322893.341,2592.449
70,390,9,457265.364,7322896.418,2601.966
70,390,10,457263.726,7322899.938,2612.837
70,390,11,457263.113,7322901.251,2616.905
70,390,12,457262.056,7322903.513,2623.919
70,390,13,457260.300,7322907.277,2635.576
70,390,14,457258.585,7322910.939,2646.962
70,390,15,457257.056,7322914.207,2657.115
70,390,16,457256.179,7322916.088,2662.940
70,390,17,457255.729,7322917.049,2665.925
70,390,18,457254.261,7322920.193,2675.671
70,390,19,457251.400,7322926.295,2694.660
70,390,20,457246.674,7322936.388,2726.030
70,390,21,457241.558,7322947.339,2759.982
60,390,0,457228.978,7322887.840,2536.479
60,390,1,457226.893,7322891.041,2547.589
60,390,2,457224.817,7322894.259,2558.747
60,390,3,457223.301,7322896.646,2567.012
60,390,4,457222.268,7322898.269,2572.630
60,390,5,457221.377,7322899.655,2577.435
60,390,6,457220.450,7322901.106,2582.461
60,390,7,457219.486,7322902.621,2587.706
60,390,8,457218.732,7322903.807,2591.812
60,390,9,457216.983,7322906.514,2601.198
60,390,10,457214.950,7322909.646,2612.062
60,390,11,457214.212,7322910.793,2616.038
60,390,12,457212.954,7322912.757,2622.840
60,390,13,457210.801,7322916.094,2634.405
60,390,14,457208.652,7322919.425,2645.949
60,390,15,457206.696,7322922.442,2656.414
60,390,16,457205.588,7322924.150,2662.336
60,390,17,457205.048,7322924.993,2665.256
60,390,18,457203.208,7322927.828,2675.100
60,390,19,457199.558,7322933.461,2694.647
60,390,20,457193.674,7322942.573,2726.250
60,390,21,457187.450,7322952.225,2759.724
80,400,0,457376.373,7322855.581,2536.914
80,400,1,457375.199,7322860.068,2546.582
80,400,2,457374.010,7322864.612,2556.371
80,400,3,457373.106,7322868.065,2563.811
80,400,4,457372.490,7322870.421,2568.885
80,400,5,457371.967,7322872.420,2573.191
80,400,6,457371.420,7322874.511,2577.696
80,400,7,457370.848,7322876.693,2582.398
80,400,8,457370.379,7322878.488,2586.267
80,400,9,457369.232,7322882.874,2595.731
80,400,10,457367.915,7322887.915,2606.608
80,400,11,457367.427,7322889.781,2610.633
80,400,12,457366.588,7322892.988,2617.553
80,400,13,457365.186,7322898.352,2629.126
80,400,14,457363.830,7322903.537,2640.311
80,400,15,457362.618,7322908.172,2650.307
80,400,16,457361.916,7322910.857,2656.100
80,400,17,457361.561,7322912.214,2659.027
80,400,18,457360.402,7322916.648,2668.598
80,400,19,457358.162,7322925.215,2687.078
80,400,20,457354.450,7322939.414,2717.710
80,400,21,457350.410,7322954.868,2751.057
70,400,0,457326.075,7322864.095,2536.395
70,400,1,457324.685,7322868.168,2546.397
70,400,2,457323.265,7322872.334,2556.624
70,400,3,457322.175,7322875.542,2564.494
70,400,4,457321.435,7322877.717,2569.832
70,400,5,457320.811,7322879.549,2574.328
70,400,6,457320.155,7322881.477,2579.060
70,400,7,457319.466,7322883.502,2584.027
70,400,8,457318.908,7322885.135,2588.043
70,400,9,457317.587,7322888.955,2597.475
70,400,10,457316.075,7322893.327,2608.273
70,400,11,457315.511,7322894.959,2612.300
70,400,12,457314.540,7322897.774,2619.246
70,400,13,457312.921,7322902.468,2630.826
70,400,14,457311.342,7322907.059,2642.135
70,400,15,457309.933,7322911.156,2652.228
70,400,16,457309.123,7322913.506,2658.023
70,400,17,457308.710,7322914.704,2660.976
70,400,18,457307.369,7322918.578,2670.554
70,400,19,457304.756,7322926.162,2689.262
70,400,20,457300.438,7322938.682,2720.160
70,400,21,457295.762,7322952.202,2753.566
80,410,0,457429.292,7322849.605,2538.964
80,410,1,457428.083,7322854.122,2548.600
80,410,2,457426.873,7322858.641,2558.238
80,410,3,457425.961,7322862.045,2565.495
80,410,4,457425.337,7322864.378,2570.470
80,410,5,457424.803,7322866.370,2574.719
80,410,6,457424.249,7322868.439,2579.131
80,410,7,457423.675,7322870.584,2583.707
80,410,8,457423.201,7322872.354,2587.484
80,410,9,457422.031,7322876.742,2596.868
80,410,10,457420.682,7322881.800,2607.688
80,410,11,457420.187,7322883.659,2611.661
80,410,12,457419.338,7322886.839,2618.461
80,410,13,457417.912,7322892.185,2629.889
80,410,14,457416.531,7322897.359,2640.941
80,410,15,457415.292,7322901.997,2650.847
80,410,16,457414.574,7322904.690,2656.602
80,410,17,457414.214,7322906.040,2659.485
80,410,18,457413.050,7322910.404,2668.819
80,410,19,457410.786,7322918.889,2686.945
80,410,20,457407.019,7322933.009,2717.112
80,410,21,457402.915,7322948.397,2750.005
90,420,0,457531.738,7322906.655,2547.111
90,420,1,457530.330,7322912.071,2557.406
90,420,2,457528.958,7322917.332,2567.397
90,420,3,457527.933,7322921.252,2574.834
90,420,4,457527.222,7322923.979,2580.011
90,420,5,457526.612,7322926.322,2584.462
90,420,6,457526.000,7322928.663,2588.901
90,420,7,457525.386,7322931.002,2593.330
90,420,8,457524.888,7322932.902,2596.934
90,420,9,457523.668,7322937.586,2605.836
90,420,10,457522.256,7322943.014,2616.156
90,420,11,457521.741,7322944.990,2619.911
90,420,12,457520.860,7322948.371,2626.335
90,420,13,457519.360,7322954.131,2637.283
90,420,14,457517.863,7322959.881,2648.213
90,420,15,457516.510,7322965.080,2658.099
90,420,16,457515.739,7322968.041,2663.730
90,420,17,457515.356,7322969.510,2666.522
90,420,18,457514.179,7322974.030,2675.118
90,420,19,457511.757,7322983.333,2692.816
90,420,20,457507.712,7322998.871,2722.364
90,420,21,457503.382,7323015.501,2753.982
80,420,0,457472.951,7322922.871,2543.855
80,420,1,457472.094,7322927.032,2553.538
80,420,2,457471.240,7322931.154,2563.093
80,420,3,457470.588,7322934.260,2570.243
80,420,4,457470.144,7322936.393,2575.170
80,420,5,457469.766,7322938.214,2579.392
80,420,6,457469.375,7322940.086,2583.715
80,420,7,457468.970,7322942.010,2588.140
80,420,8,457468.647,7322943.574,2591.785
80,420,9,457467.895,7322947.381,2600.889
80,420,10,457467.030,7322951.776,2611.414
80,420,11,457466.711,7322953.388,2615.263
80,420,12,457466.164,7322956.144,2621.836
80,420,13,457465.241,7322960.800,2632.946
80,420,14,457464.323,7322965.380,2643.790
80,420,15,457463.497,7322969.500,2653.550
80,420,16,457463.026,7322971.871,2659.195
80,420,17,457462.789,7322973.055,2662.007
80,420,18,457462.061,7322976.771,2670.945
80,420,19,457460.581,7322984.203,2688.629
80,420,20,457458.120,7322996.583,2718.117
80,420,21,457455.481,7323009.954,2750.111
100,430,0,457637.797,7322891.882,2550.687
100,430,1,457636.331,7322897.712,2561.245
100,430,2,457634.893,7322903.432,2571.606
100,430,3,457633.811,7322907.732,2579.394
100,430,4,457633.066,7322910.696,2584.764
100,430,5,457632.429,7322913.230,2589.355
100,430,6,457631.788,7322915.777,2593.969
100,430,7,457631.144,7322918.335,2598.604
100,430,8,457630.630,7322920.376,2602.301
100,430,9,457629.408,7322925.233,2611.098
100,430,10,457627.991,7322930.868,2621.301
100,430,11,457627.474,7322932.923,2625.023
100,430,12,457626.588,7322936.447,2631.406
100,430,13,457625.077,7322942.458,2642.294
100,430,14,457623.568,7322948.464,2653.171
100,430,15,457622.211,7322953.864,2662.949
100,430,16,457621.440,7322956.930,2668.499
100,430,17,457621.060,7322958.444,2671.241
100,430,18,457619.940,7322962.897,2679.305
100,430,19,457617.575,7322972.312,2696.352
100,430,20,457613.582,7322988.229,2725.194
100,430,21,457609.296,7323005.314,2756.156
90,430,0,457584.228,7322899.489,2548.836
90,430,1,457582.824,7322905.075,2559.322
90,430,2,457581.456,7322910.510,2569.507
90,430,3,457580.433,7322914.573,2577.112
90,430,4,457579.723,7322917.392,2582.394
90,430,5,457579.116,7322919.806,2586.921
90,430,6,457578.509,7322922.215,2591.429
90,430,7,457577.901,7322924.619,2595.918
90,430,8,457577.409,7322926.569,2599.566
90,430,9,457576.204,7322931.361,2608.561
90,430,10,457574.805,7322936.921,2619.002
90,430,11,457574.296,7322938.947,2622.803
90,430,12,457573.427,7322942.398,2629.277
90,430,13,457571.949,7322948.275,2640.305
90,430,14,457570.478,7322954.124,2651.285
90,430,15,457569.154,7322959.396,2661.185
90,430,16,457568.399,7322962.398,2666.820
90,430,17,457568.027,7322963.877,2669.598
90,430,18,457566.905,7322968.342,2677.987
90,430,19,457564.579,7322977.606,2695.393
90,430,20,457560.674,7322993.149,2724.584
90,430,21,457556.490,7323009.800,2755.849
