IL,XL,K,X,Y,Z
110,440,11,457737.225,7322919.385,2630.342
110,440,12,457736.423,7322922.859,2636.658
110,440,13,457735.048,7322928.810,2647.476
110,440,14,457733.665,7322934.795,2658.352
110,440,15,457732.418,7322940.193,2668.162
110,440,16,457731.706,7322943.278,2673.768
110,440,17,457731.357,7322944.789,2676.514
110,440,18,457730.380,7322949.014,2684.192
110,440,19,457728.247,7322958.251,2700.976
110,440,20,457724.760,7322973.292,2728.304
110,440,21,457721.016,7322989.447,2757.654
100,440,11,457682.190,7322924.891,2625.481
100,440,12,457681.348,7322928.375,2631.849
100,440,13,457679.909,7322934.334,2642.740
100,440,14,457678.468,7322940.296,2653.637
100,440,15,457677.171,7322945.664,2663.446
100,440,16,457676.433,7322948.718,2669.029
100,440,17,457676.071,7322950.218,2671.770
100,440,18,457675.026,7322954.535,2679.659
100,440,19,457672.779,7322963.829,2696.644
100,440,20,457668.945,7322979.705,2725.685
100,440,21,457664.822,7322996.775,2756.913
110,450,11,457793.296,7322912.983,2631.429
110,450,12,457792.544,7322916.259,2637.756
110,450,13,457791.252,7322921.896,2648.630
110,450,14,457789.951,7322927.568,2659.570
110,450,15,457788.778,7322932.687,2669.437
110,450,16,457788.106,7322935.616,2675.084
110,450,17,457787.780,7322937.042,2677.831
110,450,18,457786.888,7322940.933,2685.307
110,450,19,457784.906,7322949.586,2701.950
110,450,20,457781.645,7322963.765,2729.326
110,450,21,457778.138,7322979.016,2758.769
120,460,11,457901.252,7322975.143,2634.042
120,460,12,457900.514,7322978.535,2640.377
120,460,13,457899.239,7322984.403,2651.335
120,460,14,457897.957,7322990.296,2662.338
120,460,15,457896.809,7322995.574,2672.191
120,460,16,457896.153,7322998.588,2677.817
120,460,17,457895.839,7323000.027,2680.504
120,460,18,457895.035,7323003.714,2687.387
120,460,19,457893.165,7323012.302,2703.418
120,460,20,457889.935,7323027.100,2731.021
120,460,21,457886.461,7323043.005,2760.689
110,460,11,457843.114,7322982.372,2631.913
110,460,12,457842.428,7322985.525,2637.964
110,460,13,457841.237,7322991.020,2648.539
110,460,14,457840.029,7322996.628,2659.372
110,460,15,457838.943,7323001.672,2669.121
110,460,16,457838.322,7323004.556,2674.696
110,460,17,457838.024,7323005.938,2677.361
110,460,18,457837.232,7323009.623,2684.494
110,460,19,457835.426,7323018.038,2700.791
110,460,20,457832.369,7323032.275,2728.380
110,460,21,457829.071,7323047.659,2758.215
130,470,11,458018.102,7322960.066,2632.703
130,470,12,458017.438,7322963.489,2639.068
130,470,13,458016.288,7322969.419,2650.089
130,470,14,458015.139,7322975.346,2661.106
130,470,15,458014.114,7322980.634,2670.936
130,470,16,458013.527,7322983.660,2676.560
130,470,17,458013.247,7322985.105,2679.246
130,470,18,458012.584,7322988.509,2685.579
130,470,19,458010.995,7322996.683,2700.780
130,470,20,458008.136,7323011.408,2728.168
130,470,21,458005.062,7323027.218,2757.572
120,470,11,457959.373,7322967.263,2632.584
120,470,12,457958.681,7322970.628,2638.929
120,470,13,457957.480,7322976.463,2649.928
120,470,14,457956.272,7322982.324,2660.972
120,470,15,457955.192,7322987.566,2670.850
120,470,16,457954.574,7322990.563,2676.498
120,470,17,457954.281,7322991.984,2679.175
120,470,18,457953.553,7322995.513,2685.824
120,470,19,457951.826,7323003.882,2701.593
120,470,20,457948.812,7323018.473,2729.075
120,470,21,457945.560,7323034.216,2758.723
130,480,11,458077.235,7322953.273,2632.257
130,480,12,458076.596,7322956.582,2638.608
130,480,13,458075.484,7322962.340,2649.657
130,480,14,458074.371,7322968.099,2660.709
130,480,15,458073.382,7322973.222,2670.540
130,480,16,458072.815,7322976.154,2676.169
130,480,17,458072.546,7322977.547,2678.840
130,480,18,458071.941,7322980.687,2684.856
130,480,19,458070.452,7322988.399,2699.643
130,480,20,458067.731,7323002.485,2726.691
130,480,21,458064.798,7323017.641,2755.814
140,490,11,458190.448,7323013.487,2630.281
140,490,12,458189.852,7323016.980,2636.447
140,490,13,458188.807,7323023.095,2647.240
140,490,14,458187.763,7323029.210,2658.033
140,490,15,458186.836,7323034.640,2667.619
140,490,16,458186.302,7323037.771,2673.146
140,490,17,458186.050,7323039.251,2675.760
140,490,18,458185.533,7323042.269,2681.094
140,490,19,458184.198,7323050.088,2694.908
140,490,20,458181.668,7323064.927,2721.113
140,490,21,458178.970,7323080.646,2748.846
130,490,11,458128.954,7323022.375,2631.038
130,490,12,458128.406,7323025.678,2637.238
130,490,13,458127.450,7323031.448,2648.069
130,490,14,458126.493,7323037.225,2658.913
130,490,15,458125.644,7323042.353,2668.544
130,490,16,458125.157,7323045.293,2674.061
130,490,17,458124.926,7323046.685,2676.677
130,490,18,458124.436,7323049.639,2682.225
130,490,19,458123.199,7323057.059,2696.134
130,490,20,458120.887,7323070.938,2722.137
130,490,21,458118.392,7323085.979,2750.363
150,500,11,458314.092,7322996.801,2629.484
150,500,12,458313.600,7323000.385,2635.644
150,500,13,458312.737,7323006.677,2646.459
150,500,14,458311.888,7323012.862,2657.104
150,500,15,458311.139,7323018.313,2666.485
150,500,16,458310.697,7323021.538,2672.020
150,500,17,458310.489,7323023.064,2674.636
150,500,18,458310.105,7323025.822,2679.375
150,500,19,458309.064,7323033.375,2692.351
150,500,20,458307.002,7323048.400,2718.134
150,500,21,458304.739,7323064.926,2746.490
140,500,11,458251.615,7323006.372,2631.954
140,500,12,458251.069,7323009.853,2638.062
140,500,13,458250.114,7323015.949,2648.761
140,500,14,458249.166,7323021.985,2659.361
140,500,15,458248.326,7323027.336,2668.758
140,500,16,458247.836,7323030.471,2674.258
140,500,17,458247.604,7323031.962,2676.871
140,500,18,458247.154,7323034.838,2681.919
140,500,19,458245.964,7323042.456,2695.291
140,500,20,458243.662,7323057.211,2721.171
140,500,21,458241.198,7323072.940,2748.723
150,510,11,458377.791,7322990.867,2630.109
150,510,12,458377.391,7322993.962,2636.152
150,510,13,458376.686,7322999.415,2646.795
150,510,14,458376.016,7323004.657,2656.895
150,510,15,458375.422,7323009.291,2665.837
150,510,16,458375.052,7323012.132,2671.437
150,510,17,458374.872,7323013.501,2674.160
150,510,18,458374.568,7323015.819,2678.735
150,510,19,458373.722,7323022.305,2691.465
150,510,20,458371.994,7323035.523,2717.563
150,510,21,458370.076,7323050.164,2746.621
