IL,XL,K,X,Y,Z
260,420,18,458278.470,7321667.754,2727.161
260,420,19,458278.169,7321667.457,2738.842
260,420,20,458277.547,7321666.578,2765.069
260,420,21,458276.807,7321665.467,2796.828
260,430,18,458345.299,7321733.525,2727.132
260,430,19,458344.846,7321733.414,2738.181
260,430,20,458343.851,7321732.973,2763.782
260,430,21,458342.657,7321732.392,2794.900
260,440,18,458411.036,7321800.448,2729.022
260,440,19,458410.515,7321800.445,2738.799
260,440,20,458409.259,7321800.302,2763.429
260,440,21,458407.732,7321800.090,2793.645
260,450,18,458476.603,7321867.496,2733.659
260,450,19,458476.115,7321867.504,2742.205
260,450,20,458474.797,7321867.472,2765.825
260,450,21,458473.177,7321867.406,2795.078
260,460,18,458542.592,7321933.865,2738.509
260,460,19,458542.131,7321933.862,2746.400
260,460,20,458540.796,7321933.868,2769.186
260,460,21,458539.144,7321933.858,2797.518
260,470,18,458606.336,7322001.663,2742.829
260,470,19,458605.799,7322001.696,2750.367
260,470,20,458604.205,7322001.792,2772.666
260,470,21,458602.229,7322001.895,2800.425
