IL,XL,K,X,Y,Z
240,450,0,458409.291,7321994.767,2577.338
240,450,1,458409.824,7321993.271,2588.054
240,450,2,458410.390,7321991.681,2599.441
240,450,3,458410.902,7321990.238,2609.793
240,450,4,458411.205,7321989.386,2615.901
240,450,5,458411.435,7321988.747,2620.461
240,450,6,458411.691,7321988.031,2625.549
240,450,7,458411.975,7321987.241,2631.166
240,450,8,458412.209,7321986.586,2635.836
240,450,9,458412.635,7321985.400,2644.270
240,460,0,458474.059,7322060.802,2582.287
240,460,1,458474.467,7322059.452,2592.936
240,460,2,458474.897,7322058.027,2604.164
240,460,3,458475.286,7322056.736,2614.362
240,460,4,458475.515,7322055.974,2620.370
240,460,5,458475.688,7322055.408,2624.813
240,460,6,458475.879,7322054.779,2629.740
240,460,7,458476.090,7322054.088,2635.151
240,460,8,458476.263,7322053.516,2639.640
240,460,9,458476.582,7322052.473,2647.789
240,470,0,458537.223,7322128.507,2588.230
240,470,1,458537.541,7322127.252,2598.655
240,470,2,458537.874,7322125.933,2609.622
240,470,3,458538.175,7322124.739,2619.580
240,470,4,458538.353,7322124.033,2625.449
240,470,5,458538.484,7322123.514,2629.760
240,470,6,458538.630,7322122.940,2634.528
240,470,7,458538.790,7322122.310,2639.752
240,470,8,458538.922,7322121.788,2644.093
240,470,9,458539.167,7322120.829,2652.013
240,480,0,458598.411,7322198.481,2596.597
240,480,1,458598.712,7322197.170,2606.793
240,480,2,458599.028,7322195.793,2617.507
240,480,3,458599.314,7322194.544,2627.228
240,480,4,458599.483,7322193.807,2632.970
240,480,5,458599.607,7322193.269,2637.154
240,480,6,458599.743,7322192.675,2641.772
240,480,7,458599.892,7322192.026,2646.825
240,480,8,458600.015,7322191.486,2651.032
240,480,9,458600.245,7322190.492,2658.749
240,490,0,458658.132,7322269.455,2607.457
240,490,1,458658.505,7322268.012,2617.359
240,490,2,458658.896,7322266.498,2627.753
240,490,3,458659.252,7322265.125,2637.178
240,490,4,458659.463,7322264.309,2642.774
240,490,5,458659.615,7322263.720,2646.819
240,490,6,458659.784,7322263.069,2651.281
240,490,7,458659.968,7322262.358,2656.158
240,490,8,458660.121,7322261.766,2660.223
240,490,9,458660.403,7322260.676,2667.709
240,500,0,458717.550,7322339.940,2616.680
240,500,1,458717.968,7322338.477,2626.374
240,500,2,458718.406,7322336.943,2636.546
240,500,3,458718.804,7322335.551,2645.770
240,500,4,458719.041,7322334.720,2651.280
240,500,5,458719.212,7322334.122,2655.244
240,500,6,458719.400,7322333.462,2659.614
240,500,7,458719.606,7322332.742,2664.390
240,500,8,458719.777,7322332.141,2668.371
240,500,9,458720.093,7322331.036,2675.694
240,510,0,458776.783,7322411.558,2621.644
240,510,1,458777.269,7322409.988,2631.557
240,510,2,458777.776,7322408.352,2641.897
240,510,3,458778.228,7322406.890,2651.147
240,510,4,458778.498,7322406.016,2656.680
240,510,5,458778.687,7322405.399,2660.590
240,510,6,458778.896,7322404.721,2664.888
240,510,7,458779.123,7322403.982,2669.574
240,510,8,458779.311,7322403.369,2673.463
240,510,9,458779.665,7322402.220,2680.738
