IL,XL,K,X,Y,Z
240,400,0,458074.877,7321675.288,2570.329
240,400,1,458076.271,7321672.813,2580.589
240,400,2,458077.823,7321670.059,2592.048
240,400,3,458079.227,7321667.569,2602.429
240,400,4,458080.076,7321666.063,2608.706
240,400,5,458080.729,7321664.904,2613.532
240,400,6,458081.477,7321663.577,2619.066
240,400,7,458082.320,7321662.082,2625.307
240,400,8,458083.046,7321660.793,2630.697
240,400,9,458084.367,7321658.448,2640.491
240,400,10,458085.807,7321655.893,2651.133
240,400,11,458086.435,7321654.780,2655.764
240,400,12,458087.464,7321652.954,2663.368
240,400,13,458089.114,7321650.025,2675.549
240,400,14,458090.766,7321647.096,2687.736
240,400,15,458092.306,7321644.364,2699.086
240,400,16,458093.201,7321642.776,2705.676
240,400,17,458093.593,7321642.080,2708.591
240,400,18,458094.571,7321640.343,2715.827
240,410,0,458140.244,7321739.134,2570.390
240,410,1,458141.748,7321736.656,2580.638
240,410,2,458143.412,7321733.915,2592.038
240,410,3,458144.919,7321731.432,2602.387
240,410,4,458145.825,7321729.939,2608.609
240,410,5,458146.523,7321728.790,2613.396
240,410,6,458147.324,7321727.470,2618.900
240,410,7,458148.228,7321725.980,2625.122
240,410,8,458148.998,7321724.711,2630.440
240,410,9,458150.388,7321722.421,2640.029
240,410,10,458151.924,7321719.891,2650.566
240,410,11,458152.600,7321718.777,2655.197
240,410,12,458153.701,7321716.963,2662.747
240,410,13,458155.476,7321714.038,2674.901
240,410,14,458157.253,7321711.111,2687.062
240,410,15,458158.916,7321708.370,2698.430
240,410,16,458159.882,7321706.780,2705.020
240,410,17,458160.289,7321706.109,2707.840
240,410,18,458161.316,7321704.417,2714.905
240,420,0,458207.154,7321803.056,2570.786
240,420,1,458208.546,7321800.749,2581.007
240,420,2,458210.080,7321798.204,2592.352
240,420,3,458211.473,7321795.894,2602.674
240,420,4,458212.305,7321794.512,2608.850
240,420,5,458212.946,7321793.449,2613.603
240,420,6,458213.681,7321792.229,2619.059
240,420,7,458214.509,7321790.855,2625.218
240,420,8,458215.209,7321789.692,2630.456
240,420,9,458216.468,7321787.601,2639.866
240,420,10,458217.875,7321785.267,2650.300
240,420,11,458218.501,7321784.228,2654.925
240,420,12,458219.513,7321782.549,2662.424
240,420,13,458221.153,7321779.828,2674.539
240,420,14,458222.795,7321777.105,2686.662
240,420,15,458224.331,7321774.558,2697.983
240,420,16,458225.219,7321773.086,2704.522
240,420,17,458225.586,7321772.476,2707.282
240,420,18,458226.503,7321770.952,2714.134
240,430,0,458275.378,7321866.176,2571.121
240,430,1,458276.465,7321864.168,2581.449
240,430,2,458277.652,7321861.971,2592.812
240,430,3,458278.731,7321859.975,2603.163
240,430,4,458279.372,7321858.786,2609.328
240,430,5,458279.865,7321857.874,2614.052
240,430,6,458280.426,7321856.836,2619.442
240,430,7,458281.056,7321855.670,2625.497
240,430,8,458281.584,7321854.690,2630.617
240,430,9,458282.534,7321852.929,2639.815
240,430,10,458283.613,7321850.933,2650.162
240,430,11,458284.099,7321850.034,2654.805
240,430,12,458284.877,7321848.594,2662.265
240,430,13,458286.146,7321846.247,2674.384
240,430,14,458287.417,7321843.898,2686.515
240,430,15,458288.601,7321841.710,2697.780
240,430,16,458289.282,7321840.453,2704.256
240,430,17,458289.560,7321839.938,2706.967
240,430,18,458290.218,7321838.725,2713.242
240,440,0,458343.114,7321929.843,2573.427
240,440,1,458343.869,7321928.132,2583.972
240,440,2,458344.682,7321926.288,2595.369
240,440,3,458345.419,7321924.614,2605.742
240,440,4,458345.855,7321923.621,2611.889
240,440,5,458346.188,7321922.867,2616.543
240,440,6,458346.564,7321922.015,2621.794
240,440,7,458346.983,7321921.067,2627.644
240,440,8,458347.331,7321920.276,2632.546
240,440,9,458347.960,7321918.851,2641.368
240,440,10,458348.689,7321917.200,2651.547
240,440,11,458349.022,7321916.444,2656.209
240,440,12,458349.549,7321915.250,2663.584
240,440,13,458350.415,7321913.288,2675.682
240,440,14,458351.283,7321911.323,2687.794
240,440,15,458352.086,7321909.510,2698.925
240,440,16,458352.546,7321908.473,2705.284
240,440,17,458352.730,7321908.052,2707.913
240,440,18,458353.123,7321907.193,2713.004
