IL,XL,K,X,Y,Z
240,400,19,458096.617,7321636.711,2730.917
240,400,20,458100.418,7321629.967,2758.936
240,400,21,458104.816,7321622.165,2791.370
240,410,19,458163.502,7321700.813,2729.867
240,410,20,458167.599,7321694.063,2757.864
240,410,21,458172.350,7321686.236,2790.347
240,420,19,458228.484,7321767.665,2728.794
240,420,20,458232.253,7321761.415,2756.586
240,420,21,458236.663,7321754.102,2789.094
240,430,19,458291.683,7321836.025,2727.143
240,430,20,458294.565,7321830.706,2754.529
240,430,21,458297.968,7321824.426,2786.841
240,440,19,458354.055,7321905.127,2725.408
240,440,20,458355.990,7321900.778,2751.970
240,440,21,458358.285,7321895.611,2783.583
