IL,XL,K,X,Y,Z
230,350,15,457748.852,7321436.315,2694.814
230,350,16,457747.948,7321435.487,2701.197
230,350,17,457747.515,7321435.077,2704.325
230,350,18,457746.439,7321434.023,2712.257
230,350,19,457744.265,7321431.923,2728.148
230,350,20,457740.349,7321428.236,2756.298
230,350,21,457735.833,7321424.003,2788.675
220,360,15,457766.255,7321499.526,2694.781
220,360,16,457764.984,7321498.815,2701.223
220,360,17,457764.366,7321498.469,2704.357
220,360,18,457762.784,7321497.576,2712.395
220,360,19,457759.615,7321495.791,2728.493
220,360,20,457754.022,7321492.655,2756.865
220,360,21,457747.625,7321489.076,2789.290
220,370,15,457840.172,7321597.234,2696.014
220,370,16,457838.942,7321596.448,2702.615
220,370,17,457838.364,7321596.080,2705.710
220,370,18,457836.867,7321595.127,2713.711
220,370,19,457833.838,7321593.195,2729.922
220,370,20,457828.484,7321589.779,2758.619
220,370,21,457822.409,7321585.907,2791.186
210,380,15,457869.783,7321693.317,2695.664
210,380,16,457868.733,7321692.353,2702.431
210,380,17,457868.265,7321691.924,2705.438
210,380,18,457867.061,7321690.821,2713.176
210,380,19,457864.572,7321688.537,2729.195
210,380,20,457860.115,7321684.452,2757.864
210,380,21,457855.090,7321679.859,2790.134
