IL,XL,K,X,Y,Z
170,250,0,456924.649,7321220.782,2558.468
170,250,1,456924.137,7321218.054,2567.963
170,250,2,456923.513,7321214.725,2579.549
170,250,3,456922.925,7321211.594,2590.445
170,250,4,456922.518,7321209.423,2598.000
170,250,5,456922.206,7321207.763,2603.773
170,250,6,456921.878,7321206.015,2609.855
170,250,7,456921.533,7321204.179,2616.247
170,250,8,456921.191,7321202.353,2622.597
170,250,9,456920.580,7321199.093,2633.934
170,250,10,456919.955,7321195.757,2645.537
170,250,11,456919.679,7321194.288,2650.646
170,250,12,456919.252,7321192.008,2658.573
170,250,13,456918.580,7321188.422,2671.049
170,250,14,456917.908,7321184.834,2683.527
170,250,15,456917.292,7321181.549,2694.954
170,250,16,456916.945,7321179.695,2701.403
170,250,17,456916.771,7321178.768,2704.625
170,250,18,456916.154,7321175.482,2716.063
170,250,19,456915.019,7321169.430,2737.126
170,250,20,456913.290,7321160.215,2769.196
170,250,21,456911.356,7321149.903,2805.077
160,260,0,456938.420,7321289.945,2557.343
160,260,1,456937.954,7321287.292,2566.980
160,260,2,456937.389,7321284.078,2578.649
160,260,3,456936.864,7321281.085,2589.508
160,260,4,456936.501,7321279.012,2597.026
160,260,5,456936.224,7321277.431,2602.761
160,260,6,456935.931,7321275.760,2608.821
160,260,7,456935.622,7321274.000,2615.207
160,260,8,456935.319,7321272.274,2621.464
160,260,9,456934.774,7321269.163,2632.743
160,260,10,456934.213,7321265.970,2644.324
160,260,11,456933.970,7321264.582,2649.355
160,260,12,456933.588,7321262.406,2657.248
160,260,13,456932.986,7321258.972,2669.704
160,260,14,456932.384,7321255.537,2682.161
160,260,15,456931.833,7321252.399,2693.546
160,260,16,456931.523,7321250.630,2699.957
160,260,17,456931.367,7321249.740,2703.186
160,260,18,456930.815,7321246.595,2714.599
160,260,19,456929.799,7321240.801,2735.624
160,260,20,456928.248,7321231.960,2767.705
160,260,21,456926.520,7321222.113,2803.421
