IL,XL,K,X,Y,Z
90,530,15,458017.405,7323683.077,2681.793
90,530,16,458020.339,7323680.466,2688.126
90,530,17,458021.591,7323679.356,2690.818
90,530,18,458024.532,7323676.723,2697.193
90,530,19,458031.714,7323670.316,2712.719
90,530,20,458044.884,7323658.562,2741.195
90,530,21,458059.241,7323645.743,2772.247
100,530,15,458077.381,7323677.673,2678.909
100,530,16,458080.450,7323675.118,2685.139
100,530,17,458081.748,7323674.036,2687.776
100,530,18,458084.679,7323671.590,2693.733
100,530,19,458092.027,7323665.467,2708.656
100,530,20,458105.663,7323654.109,2736.331
100,530,21,458120.600,7323641.666,2766.644
100,540,15,458138.842,7323671.176,2677.329
100,540,16,458141.920,7323668.807,2683.450
100,540,17,458143.201,7323667.824,2685.998
100,540,18,458145.978,7323665.674,2691.529
100,540,19,458153.185,7323660.115,2705.875
100,540,20,458166.943,7323649.513,2733.256
100,540,21,458182.054,7323637.862,2763.335
100,550,15,458183.630,7323745.353,2676.842
100,550,16,458186.741,7323742.985,2682.957
100,550,17,458188.013,7323742.018,2685.444
100,550,18,458190.622,7323740.024,2690.622
100,550,19,458197.616,7323734.691,2704.418
100,550,20,458211.296,7323724.269,2731.348
100,550,21,458226.380,7323712.774,2761.065
110,550,15,458246.628,7323737.269,2673.625
110,550,16,458250.119,7323734.724,2679.771
110,550,17,458251.519,7323733.703,2682.238
110,550,18,458254.268,7323731.696,2687.086
110,550,19,458261.819,7323726.187,2700.395
110,550,20,458276.837,7323715.236,2726.849
110,550,21,458293.454,7323703.121,2756.114
110,560,15,458310.640,7323728.692,2672.003
110,560,16,458314.123,7323726.289,2678.099
110,560,17,458315.494,7323725.345,2680.500
110,560,18,458318.006,7323723.600,2684.895
110,560,19,458325.218,7323718.613,2697.517
110,560,20,458339.977,7323708.425,2723.352
110,560,21,458356.428,7323697.066,2752.149
110,570,15,458356.892,7323802.218,2671.960
110,570,16,458360.321,7323799.881,2677.982
110,570,17,458361.635,7323798.987,2680.287
110,570,18,458363.899,7323797.436,2684.290
110,570,19,458370.699,7323792.793,2696.261
110,570,20,458384.967,7323783.068,2721.317
110,570,21,458400.961,7323772.168,2749.394
110,580,15,458403.808,7323875.678,2673.162
110,580,16,458407.247,7323873.381,2679.156
110,580,17,458408.531,7323872.524,2681.382
110,580,18,458410.595,7323871.135,2685.045
110,580,19,458417.132,7323866.756,2696.501
110,580,20,458431.215,7323857.346,2721.038
110,580,21,458447.106,7323846.731,2748.701
120,580,15,458466.673,7323867.921,2668.623
120,580,16,458470.401,7323865.576,2674.520
120,580,17,458471.770,7323864.714,2676.685
120,580,18,458473.817,7323863.422,2679.929
120,580,19,458480.673,7323859.102,2690.779
120,580,20,458495.826,7323849.562,2714.754
120,580,21,458513.084,7323838.700,2742.060
120,590,15,458530.297,7323860.570,2666.954
120,590,16,458534.043,7323858.340,2672.967
120,590,17,458535.406,7323857.530,2675.155
120,590,18,458537.192,7323856.456,2678.011
120,590,19,458543.716,7323852.562,2688.468
120,590,20,458558.620,7323843.687,2712.378
120,590,21,458575.610,7323833.570,2739.635
120,600,15,458576.744,7323934.717,2668.330
120,600,16,458580.529,7323932.557,2674.503
120,600,17,458581.878,7323931.788,2676.698
120,600,18,458583.461,7323930.878,2679.310
120,600,19,458589.741,7323927.287,2689.586
120,600,20,458604.534,7323918.842,2713.732
120,600,21,458621.473,7323909.171,2741.379
120,610,15,458623.476,7324009.167,2670.374
120,610,16,458627.369,7324007.042,2676.657
120,610,17,458628.727,7324006.302,2678.837
120,610,18,458630.147,7324005.516,2681.207
120,610,19,458636.276,7324002.156,2691.192
120,610,20,458651.135,7323994.038,2715.213
120,610,21,458668.207,7323984.714,2742.797
130,610,15,458685.638,7324002.295,2666.893
130,610,16,458689.910,7324000.112,2673.155
130,610,17,458691.388,7323999.355,2675.323
130,610,18,458692.716,7323998.675,2677.274
130,610,19,458699.119,7323995.397,2686.670
130,610,20,458715.092,7323987.223,2710.097
130,610,21,458733.465,7323977.823,2737.040
130,620,15,458748.304,7323995.954,2665.908
130,620,16,458752.547,7323993.854,2672.207
130,620,17,458754.011,7323993.129,2674.383
130,620,18,458755.127,7323992.575,2676.023
130,620,19,458761.098,7323989.618,2684.865
130,620,20,458776.614,7323981.936,2707.891
130,620,21,458794.649,7323973.008,2734.662
130,630,15,458793.879,7324071.420,2668.858
130,630,16,458798.191,7324069.408,2675.238
130,630,17,458799.666,7324068.719,2677.419
130,630,18,458800.651,7324068.258,2678.886
130,630,19,458806.388,7324065.577,2687.390
130,630,20,458821.791,7324058.384,2710.190
130,630,21,458839.918,7324049.921,2737.017
130,640,15,458840.065,7324147.290,2672.355
130,640,16,458844.510,7324145.408,2678.801
130,640,17,458846.023,7324144.768,2680.987
130,640,18,458846.926,7324144.379,2682.330
130,640,19,458852.532,7324141.983,2690.537
130,640,20,458868.048,7324135.390,2713.089
130,640,21,458886.532,7324127.556,2739.897
140,640,15,458901.701,7324141.210,2669.950
140,640,16,458906.466,7324139.437,2676.389
140,640,17,458908.087,7324138.832,2678.580
140,640,18,458908.886,7324138.537,2679.658
140,640,19,458914.685,7324136.384,2687.497
140,640,20,458931.180,7324130.247,2709.792
140,640,21,458950.907,7324122.906,2736.450
140,650,15,458962.511,7324137.664,2669.194
140,650,16,458966.920,7324136.131,2675.524
140,650,17,458968.419,7324135.608,2677.685
140,650,18,458969.168,7324135.346,2678.746
140,650,19,458974.189,7324133.608,2685.852
140,650,20,458988.918,7324128.498,2706.882
140,650,21,459006.998,7324122.213,2732.821
140,660,15,459008.269,7324215.309,2673.773
140,660,16,459012.562,7324214.059,2680.019
140,660,17,459014.026,7324213.631,2682.152
140,660,18,459014.652,7324213.448,2683.059
140,660,19,459019.212,7324212.122,2689.675
140,660,20,459033.186,7324208.055,2709.990
140,660,21,459050.677,7324202.960,2735.440
140,670,15,459052.340,7324293.425,2678.028
140,670,16,459056.505,7324292.424,2684.180
140,670,17,459057.929,7324292.082,2686.282
140,670,18,459058.462,7324291.953,2687.067
140,670,19,459062.630,7324290.949,2693.253
140,670,20,459075.871,7324287.761,2712.855
140,670,21,459092.670,7324283.720,2737.683
140,680,15,459095.726,7324371.971,2682.491
140,680,16,459099.863,7324371.216,2688.612
140,680,17,459101.281,7324370.959,2690.706
140,680,18,459101.796,7324370.865,2691.465
140,680,19,459105.703,7324370.129,2697.322
140,680,20,459118.476,7324367.767,2716.316
140,680,21,459134.915,7324364.761,2740.649
150,680,15,459157.595,7324367.591,2680.838
150,680,16,459161.909,7324367.032,2686.860
150,680,17,459163.389,7324366.838,2688.927
150,680,18,459163.925,7324366.768,2689.675
150,680,19,459167.930,7324366.264,2695.274
150,680,20,459181.130,7324364.571,2713.715
150,680,21,459198.230,7324362.357,2737.593
