IL,XL,K,X,Y,Z
150,690,0,459143.596,7324375.060,2574.082
150,690,1,459151.616,7324374.103,2585.341
150,690,2,459160.241,7324373.064,2597.452
150,690,3,459166.325,7324372.327,2605.994
150,690,4,459169.925,7324371.890,2611.050
150,690,5,459172.213,7324371.613,2614.263
150,690,6,459174.918,7324371.282,2618.061
150,690,7,459178.039,7324370.898,2622.445
150,690,8,459179.925,7324370.665,2625.095
150,690,9,459184.321,7324370.137,2631.266
150,690,10,459190.021,7324369.453,2639.269
150,690,11,459192.092,7324369.202,2642.177
150,690,12,459196.342,7324368.687,2648.144
150,690,13,459203.953,7324367.767,2658.833
150,690,14,459211.559,7324366.846,2669.513
150,690,15,459218.681,7324365.986,2679.513
150,690,16,459222.940,7324365.472,2685.494
150,690,17,459224.412,7324365.293,2687.562
150,690,18,459224.944,7324365.228,2688.309
150,690,19,459228.557,7324364.819,2693.378
150,690,20,459241.094,7324363.343,2710.975
150,690,21,459257.808,7324361.334,2734.442
150,700,0,459188.042,7324452.419,2580.236
150,700,1,459196.070,7324451.738,2591.781
150,700,2,459204.420,7324451.030,2603.788
150,700,3,459210.245,7324450.532,2612.161
150,700,4,459213.692,7324450.235,2617.113
150,700,5,459215.873,7324450.049,2620.248
150,700,6,459218.355,7324449.839,2623.816
150,700,7,459221.140,7324449.603,2627.818
150,700,8,459222.821,7324449.460,2630.233
150,700,9,459227.013,7324449.107,2636.263
150,700,10,459232.469,7324448.647,2644.113
150,700,11,459234.449,7324448.478,2646.958
150,700,12,459238.598,7324448.123,2652.919
150,700,13,459246.033,7324447.487,2663.605
150,700,14,459253.461,7324446.852,2674.280
150,700,15,459260.389,7324446.262,2684.239
150,700,16,459264.519,7324445.910,2690.176
150,700,17,459265.948,7324445.786,2692.229
150,700,18,459266.462,7324445.742,2692.967
150,700,19,459269.775,7324445.493,2697.770
150,700,20,459281.648,7324444.526,2714.894
150,700,21,459297.817,7324443.161,2738.153
150,710,0,459230.681,7324530.993,2585.775
150,710,1,459238.693,7324530.512,2597.477
150,710,2,459246.843,7324530.019,2609.377
150,710,3,459252.421,7324529.676,2617.513
150,710,4,459255.717,7324529.472,2622.320
150,710,5,459257.797,7324529.345,2625.355
150,710,6,459260.157,7324529.202,2628.801
150,710,7,459262.797,7324529.043,2632.657
150,710,8,459264.367,7324528.947,2634.948
150,710,9,459268.388,7324528.707,2640.826
150,710,10,459273.655,7324528.392,2648.523
150,710,11,459275.567,7324528.274,2651.312
150,710,12,459279.653,7324528.023,2657.272
150,710,13,459286.970,7324527.576,2667.948
150,710,14,459294.269,7324527.131,2678.601
150,710,15,459301.041,7324526.720,2688.487
150,710,16,459305.052,7324526.476,2694.341
150,710,17,459306.439,7324526.389,2696.363
150,710,18,459306.935,7324526.359,2697.085
150,710,19,459309.989,7324526.208,2701.603
150,710,20,459321.296,7324525.572,2718.192
150,710,21,459337.051,7324524.633,2741.218
150,720,0,459271.297,7324610.601,2591.011
150,720,1,459279.433,7324610.214,2602.878
150,720,2,459287.530,7324609.825,2614.675
150,720,3,459292.934,7324609.559,2622.535
150,720,4,459296.126,7324609.400,2627.175
150,720,5,459298.135,7324609.303,2630.099
150,720,6,459300.424,7324609.193,2633.435
150,720,7,459302.993,7324609.071,2637.182
150,720,8,459304.494,7324608.999,2639.370
150,720,9,459308.392,7324608.816,2645.058
150,720,10,459313.533,7324608.575,2652.561
150,720,11,459315.403,7324608.484,2655.283
150,720,12,459319.471,7324608.286,2661.206
150,720,13,459326.767,7324607.934,2671.833
150,720,14,459334.066,7324607.583,2682.467
150,720,15,459340.808,7324607.259,2692.289
150,720,16,459344.773,7324607.066,2698.059
150,720,17,459346.142,7324606.997,2700.048
150,720,18,459346.628,7324606.973,2700.753
150,720,19,459349.466,7324606.868,2704.949
150,720,20,459360.408,7324606.386,2720.978
150,720,21,459376.066,7324605.646,2743.822
150,730,0,459309.977,7324691.271,2595.863
150,730,1,459318.269,7324690.902,2607.750
150,730,2,459326.458,7324690.533,2619.479
150,730,3,459331.855,7324690.285,2627.199
150,730,4,459335.055,7324690.137,2631.774
150,730,5,459337.041,7324690.047,2634.619
150,730,6,459339.305,7324689.946,2637.864
150,730,7,459341.847,7324689.833,2641.510
150,730,8,459343.301,7324689.768,2643.595
150,730,9,459347.137,7324689.599,2649.102
150,730,10,459352.240,7324689.374,2656.425
150,730,11,459354.095,7324689.290,2659.084
150,730,12,459358.195,7324689.102,2664.952
150,730,13,459365.580,7324688.765,2675.526
150,730,14,459372.980,7324688.427,2686.124
150,730,15,459379.814,7324688.115,2695.909
150,730,16,459383.839,7324687.930,2701.668
150,730,17,459385.228,7324687.864,2703.653
150,730,18,459385.717,7324687.841,2704.350
150,730,19,459388.424,7324687.747,2708.285
150,730,20,459399.172,7324687.298,2723.756
150,730,21,459414.864,7324686.597,2746.251
150,740,0,459348.198,7324773.142,2601.062
150,740,1,459356.628,7324772.707,2612.980
150,740,2,459364.929,7324772.280,2624.720
150,740,3,459370.376,7324771.997,2632.419
150,740,4,459373.603,7324771.829,2636.979
150,740,5,459375.558,7324771.728,2639.743
150,740,6,459377.783,7324771.614,2642.891
150,740,7,459380.280,7324771.487,2646.423
150,740,8,459381.673,7324771.416,2648.393
150,740,9,459385.404,7324771.229,2653.677
150,740,10,459390.419,7324770.977,2660.777
150,740,11,459392.241,7324770.884,2663.352
150,740,12,459396.325,7324770.671,2669.119
150,740,13,459403.706,7324770.289,2679.545
150,740,14,459411.094,7324769.905,2689.978
150,740,15,459417.923,7324769.552,2699.627
150,740,16,459421.972,7324769.343,2705.349
150,740,17,459423.381,7324769.269,2707.336
150,740,18,459423.872,7324769.243,2708.030
150,740,19,459426.499,7324769.136,2711.801
150,740,20,459437.078,7324768.630,2726.831
150,740,21,459452.762,7324767.834,2749.016
150,750,0,459386.577,7324855.255,2606.230
150,750,1,459394.891,7324854.823,2618.099
150,750,2,459402.988,7324854.404,2629.663
150,750,3,459408.235,7324854.132,2637.154
150,750,4,459411.339,7324853.970,2641.584
150,750,5,459413.191,7324853.874,2644.228
150,750,6,459415.308,7324853.765,2647.251
150,750,7,459417.689,7324853.643,2650.653
150,750,8,459418.980,7324853.576,2652.496
150,750,9,459422.538,7324853.398,2657.588
150,750,10,459427.383,7324853.154,2664.520
150,750,11,459429.145,7324853.063,2667.035
150,750,12,459433.128,7324852.855,2672.715
150,750,13,459440.354,7324852.478,2683.023
150,750,14,459447.590,7324852.100,2693.344
150,750,15,459454.266,7324851.752,2702.870
150,750,16,459458.231,7324851.545,2708.528
150,750,17,459459.621,7324851.472,2710.509
150,750,18,459460.104,7324851.446,2711.198
150,750,19,459462.640,7324851.341,2714.881
150,750,20,459472.937,7324850.840,2729.667
150,750,21,459488.428,7324850.042,2751.802
150,760,0,459425.033,7324937.503,2611.373
150,760,1,459433.032,7324937.161,2623.189
150,760,2,459440.711,7324936.835,2634.536
150,760,3,459445.598,7324936.627,2641.753
150,760,4,459448.503,7324936.502,2646.042
150,760,5,459450.222,7324936.430,2648.583
150,760,6,459452.198,7324936.347,2651.507
150,760,7,459454.433,7324936.253,2654.813
150,760,8,459455.606,7324936.204,2656.549
150,760,9,459458.980,7324936.065,2661.548
150,760,10,459463.645,7324935.873,2668.462
150,760,11,459465.348,7324935.801,2670.980
150,760,12,459469.202,7324935.634,2676.669
150,760,13,459476.204,7324935.332,2687.010
150,760,14,459483.199,7324935.029,2697.335
150,760,15,459489.618,7324934.753,2706.813
150,760,16,459493.420,7324934.590,2712.427
150,760,17,459494.756,7324934.531,2714.398
150,760,18,459495.217,7324934.512,2715.078
150,760,19,459497.609,7324934.433,2718.675
150,760,20,459507.369,7324934.048,2733.175
150,760,21,459522.235,7324933.420,2755.148
150,770,0,459464.088,7325020.618,2618.792
150,770,1,459471.781,7325020.250,2630.612
150,770,2,459479.058,7325019.904,2641.796
150,770,3,459483.598,7325019.688,2648.772
150,770,4,459486.307,7325019.559,2652.935
150,770,5,459487.886,7325019.486,2655.363
150,770,6,459489.715,7325019.401,2658.178
150,770,7,459491.794,7325019.304,2661.379
150,770,8,459492.853,7325019.256,2663.010
150,770,9,459496.008,7325019.112,2667.874
150,770,10,459500.438,7325018.908,2674.704
150,770,11,459502.064,7325018.832,2677.206
150,770,12,459505.746,7325018.656,2682.864
150,770,13,459512.447,7325018.337,2693.163
150,770,14,459519.133,7325018.019,2703.439
150,770,15,459525.252,7325017.729,2712.845
150,770,16,459528.869,7325017.558,2718.407
150,770,17,459530.142,7325017.497,2720.362
150,770,18,459530.577,7325017.476,2721.031
150,770,19,459532.816,7325017.393,2724.538
150,770,20,459542.015,7325016.985,2738.760
150,770,21,459556.239,7325016.313,2760.631
150,780,0,459501.382,7325103.079,2626.236
150,780,1,459508.879,7325102.463,2638.094
150,780,2,459515.874,7325101.891,2649.161
150,780,3,459520.155,7325101.541,2655.930
150,780,4,459522.723,7325101.331,2659.989
150,780,5,459524.196,7325101.211,2662.321
150,780,6,459525.916,7325101.072,2665.046
150,780,7,459527.882,7325100.914,2668.162
150,780,8,459528.868,7325100.835,2669.725
150,780,9,459531.871,7325100.593,2674.489
150,780,10,459536.137,7325100.249,2681.253
150,780,11,459537.712,7325100.121,2683.746
150,780,12,459541.276,7325099.828,2689.378
150,780,13,459547.789,7325099.293,2699.672
150,780,14,459554.306,7325098.756,2709.974
150,780,15,459560.272,7325098.266,2719.409
150,780,16,459563.801,7325097.977,2724.989
150,780,17,459565.045,7325097.874,2726.955
150,780,18,459565.467,7325097.840,2727.624
150,780,19,459567.623,7325097.682,2731.098
150,780,20,459576.525,7325096.974,2745.256
150,780,21,459590.479,7325095.825,2767.322
150,790,0,459542.460,7325191.214,2631.809
150,790,1,459548.863,7325188.856,2643.743
150,790,2,459554.767,7325186.689,2654.743
150,790,3,459558.321,7325185.389,2661.354
150,790,4,459560.460,7325184.608,2665.330
150,790,5,459561.671,7325184.170,2667.581
150,790,6,459563.095,7325183.652,2670.234
150,790,7,459564.733,7325183.054,2673.289
150,790,8,459565.552,7325182.756,2674.816
150,790,9,459568.081,7325181.828,2679.540
150,790,10,459571.694,7325180.500,2686.291
150,790,11,459573.035,7325180.005,2688.792
150,790,12,459576.068,7325178.886,2694.439
150,790,13,459581.630,7325176.830,2704.795
150,790,14,459587.203,7325174.771,2715.172
150,790,15,459592.303,7325172.888,2724.667
150,790,16,459595.319,7325171.775,2730.282
150,790,17,459596.385,7325171.382,2732.265
150,790,18,459596.744,7325171.250,2732.935
150,790,19,459598.569,7325170.586,2736.401
150,790,20,459606.107,7325167.826,2750.518
150,790,21,459618.037,7325163.425,2772.745
150,800,0,459570.895,7325279.763,2637.160
150,800,1,459577.511,7325277.260,2649.283
150,800,2,459583.629,7325274.958,2660.475
150,800,3,459587.341,7325273.573,2667.237
150,800,4,459589.517,7325272.749,2671.221
150,800,5,459590.724,7325272.288,2673.440
150,800,6,459592.161,7325271.743,2676.083
150,800,7,459593.829,7325271.111,2679.150
150,800,8,459594.663,7325270.796,2680.683
150,800,9,459597.275,7325269.810,2685.482
150,800,10,459601.030,7325268.396,2692.378
150,800,11,459602.430,7325267.869,2694.945
150,800,12,459605.590,7325266.678,2700.726
150,800,13,459611.404,7325264.488,2711.359
150,800,14,459617.223,7325262.296,2722.002
150,800,15,459622.523,7325260.295,2731.701
150,800,16,459625.648,7325259.114,2737.420
150,800,17,459626.754,7325258.696,2739.443
150,800,18,459627.125,7325258.556,2740.124
150,800,19,459629.015,7325257.845,2743.644
150,800,20,459636.755,7325254.916,2757.894
150,800,21,459649.186,7325250.229,2780.612
150,810,0,459588.786,7325367.628,2643.079
150,810,1,459596.935,7325366.559,2655.544
150,810,2,459604.662,7325365.541,2667.341
150,810,3,459609.523,7325364.896,2674.733
150,810,4,459612.213,7325364.542,2678.842
150,810,5,459613.683,7325364.349,2681.091
150,810,6,459615.447,7325364.119,2683.795
150,810,7,459617.508,7325363.850,2686.953
150,810,8,459618.538,7325363.715,2688.531
150,810,9,459621.774,7325363.292,2693.488
150,810,10,459626.449,7325362.681,2700.650
150,810,11,459628.197,7325362.452,2703.326
150,810,12,459632.127,7325361.937,2709.333
150,810,13,459639.382,7325360.986,2720.424
150,810,14,459646.640,7325360.036,2731.521
150,810,15,459653.220,7325359.175,2741.585
150,810,16,459657.091,7325358.669,2747.506
150,810,17,459658.466,7325358.489,2749.608
150,810,18,459658.926,7325358.429,2750.312
150,810,19,459661.277,7325358.127,2753.945
150,810,20,459670.850,7325356.880,2768.624
150,810,21,459686.395,7325354.835,2792.354
150,820,0,459615.153,7325458.884,2650.535
150,820,1,459623.619,7325457.833,2663.060
150,820,2,459631.806,7325456.804,2675.155
150,820,3,459637.088,7325456.126,2682.934
150,820,4,459639.886,7325455.774,2687.067
150,820,5,459641.408,7325455.585,2689.318
150,820,6,459643.250,7325455.356,2692.044
150,820,7,459645.413,7325455.088,2695.246
150,820,8,459646.494,7325454.954,2696.846
150,820,9,459649.887,7325454.531,2701.866
150,820,10,459654.823,7325453.917,2709.167
150,820,11,459656.685,7325453.685,2711.922
150,820,12,459660.870,7325453.162,2718.103
150,820,13,459668.611,7325452.195,2729.543
150,820,14,459676.355,7325451.229,2740.992
150,820,15,459683.360,7325450.357,2751.351
150,820,16,459687.471,7325449.844,2757.430
150,820,17,459688.937,7325449.662,2759.597
150,820,18,459689.429,7325449.601,2760.327
150,820,19,459691.875,7325449.303,2763.966
150,820,20,459701.891,7325448.063,2778.805
150,820,21,459718.291,7325446.008,2803.049
150,830,0,459646.057,7325546.956,2661.030
150,830,1,459654.715,7325545.853,2673.564
150,830,2,459663.040,7325544.782,2685.608
150,830,3,459668.304,7325544.092,2693.216
150,830,4,459671.111,7325543.729,2697.277
150,830,5,459672.649,7325543.533,2699.502
150,830,6,459674.526,7325543.294,2702.221
150,830,7,459676.744,7325543.012,2705.433
