IL,XL,K,X,Y,Z
80,480,0,457672.964,7323517.659,2561.874
80,480,1,457676.953,7323513.534,2574.041
80,480,2,457680.805,7323509.551,2585.778
80,480,3,457683.431,7323506.840,2593.782
80,480,4,457685.155,7323505.064,2599.055
80,480,5,457686.638,7323503.536,2603.599
80,480,6,457688.152,7323501.975,2608.230
80,480,7,457689.696,7323500.379,2612.947
80,480,8,457690.907,7323499.131,2616.637
80,480,9,457693.891,7323496.055,2625.739
80,480,10,457697.457,7323492.372,2636.619
80,480,11,457698.704,7323491.084,2640.422
80,480,12,457700.744,7323488.980,2646.641
80,480,13,457704.386,7323485.222,2657.723
80,480,14,457708.050,7323481.441,2668.857
80,480,15,457711.437,7323477.944,2679.148
80,480,16,457713.365,7323475.953,2685.010
80,480,17,457714.205,7323475.085,2687.573
80,480,18,457716.770,7323472.431,2695.422
80,480,19,457722.414,7323466.606,2712.666
80,480,20,457732.104,7323456.602,2742.241
80,480,21,457742.461,7323445.901,2773.861
80,490,0,457730.703,7323508.752,2563.105
80,490,1,457735.101,7323504.562,2575.166
80,490,2,457739.364,7323500.502,2586.860
80,490,3,457742.307,7323497.710,2594.935
80,490,4,457744.241,7323495.879,2600.242
80,490,5,457745.895,7323494.313,2604.782
80,490,6,457747.580,7323492.715,2609.406
80,490,7,457749.295,7323491.085,2614.114
80,490,8,457750.683,7323489.779,2617.932
80,490,9,457754.027,7323486.611,2627.119
80,490,10,457757.973,7323482.859,2637.946
80,490,11,457759.360,7323481.542,2641.755
80,490,12,457761.688,7323479.341,2648.145
80,490,13,457765.892,7323475.375,2659.692
80,490,14,457770.213,7323471.316,2671.568
80,490,15,457774.173,7323467.583,2682.440
80,490,16,457776.393,7323465.483,2688.523
80,490,17,457777.371,7323464.558,2691.202
80,490,18,457780.159,7323461.895,2698.845
80,490,19,457786.444,7323455.928,2716.079
80,490,20,457797.272,7323445.648,2745.778
80,490,21,457808.625,7323434.835,2776.929
80,500,0,457769.360,7323586.379,2561.458
80,500,1,457773.944,7323581.992,2573.684
80,500,2,457778.405,7323577.724,2585.577
80,500,3,457781.455,7323574.811,2593.690
80,500,4,457783.414,7323572.944,2598.896
80,500,5,457785.077,7323571.358,2603.317
80,500,6,457786.787,7323569.726,2607.867
80,500,7,457788.543,7323568.048,2612.546
80,500,8,457789.906,7323566.749,2616.172
80,500,9,457793.274,7323563.533,2625.141
80,500,10,457797.322,7323559.661,2635.939
80,500,11,457798.739,7323558.306,2639.717
80,500,12,457801.110,7323556.048,2646.027
80,500,13,457805.397,7323551.968,2657.430
80,500,14,457809.800,7323547.786,2669.122
80,500,15,457813.898,7323543.892,2680.012
80,500,16,457816.226,7323541.678,2686.201
80,500,17,457817.268,7323540.691,2688.962
80,500,18,457820.075,7323538.007,2696.468
80,500,19,457826.381,7323531.994,2713.293
80,500,20,457837.355,7323521.524,2742.556
80,500,21,457848.897,7323510.478,2773.351
80,510,0,457808.646,7323663.843,2563.452
80,510,1,457813.377,7323659.273,2575.761
80,510,2,457818.000,7323654.809,2587.783
80,510,3,457821.149,7323651.771,2595.948
80,510,4,457823.137,7323649.855,2601.090
80,510,5,457824.803,7323648.249,2605.400
80,510,6,457826.529,7323646.583,2609.876
80,510,7,457828.316,7323644.858,2614.517
80,510,8,457829.661,7323643.559,2618.006
80,510,9,457833.043,7323640.294,2626.788
80,510,10,457837.167,7323636.310,2637.516
80,510,11,457838.606,7323634.919,2641.259
80,510,12,457840.965,7323632.643,2647.373
80,510,13,457845.207,7323628.548,2658.376
80,510,14,457849.498,7323624.409,2669.491
80,510,15,457853.513,7323620.536,2679.899
