IL,XL,K,X,Y,Z
180,470,0,458343.364,7322494.622,2553.036
180,470,1,458345.137,7322492.949,2563.463
180,470,2,458346.972,7322491.218,2574.241
180,470,3,458348.571,7322489.709,2583.601
180,470,4,458349.543,7322488.793,2589.301
180,470,5,458350.258,7322488.118,2593.495
180,470,6,458351.039,7322487.381,2598.063
180,470,7,458351.887,7322486.583,2603.006
180,470,8,458352.578,7322485.931,2607.039
180,470,9,458353.972,7322484.616,2615.240
180,470,10,458355.653,7322483.030,2625.133
180,470,11,458356.375,7322482.348,2629.355
180,470,12,458357.477,7322481.309,2635.788
180,470,13,458359.346,7322479.547,2646.720
180,470,14,458361.216,7322477.784,2657.655
180,470,15,458362.900,7322476.195,2667.490
180,470,16,458363.868,7322475.283,2673.139
180,470,17,458364.269,7322474.904,2675.499
180,470,18,458365.000,7322474.215,2679.838
180,470,19,458367.005,7322472.324,2691.697
180,470,20,458371.238,7322468.331,2716.534
180,470,21,458376.097,7322463.749,2744.947
180,480,0,458408.666,7322557.312,2558.330
180,480,1,458410.366,7322555.667,2568.710
180,480,2,458412.125,7322553.965,2579.438
180,480,3,458413.657,7322552.482,2588.752
180,480,4,458414.588,7322551.582,2594.420
180,480,5,458415.268,7322550.923,2598.562
180,480,6,458416.010,7322550.206,2603.061
180,480,7,458416.812,7322549.431,2607.919
180,480,8,458417.468,7322548.796,2611.893
180,480,9,458418.800,7322547.507,2620.027
180,480,10,458420.409,7322545.949,2629.858
180,480,11,458421.099,7322545.282,2634.041
180,480,12,458422.147,7322544.268,2640.394
180,480,13,458423.930,7322542.544,2651.218
180,480,14,458425.714,7322540.819,2662.044
180,480,15,458427.314,7322539.271,2671.742
180,480,16,458428.233,7322538.383,2677.310
180,480,17,458428.617,7322538.011,2679.655
180,480,18,458429.289,7322537.361,2683.790
180,480,19,458431.168,7322535.541,2695.317
180,480,20,458435.182,7322531.657,2719.745
180,480,21,458439.795,7322527.197,2747.726
180,490,0,458472.872,7322621.090,2562.141
180,490,1,458474.508,7322619.451,2572.471
180,490,2,458476.203,7322617.755,2583.145
180,490,3,458477.681,7322616.277,2592.412
180,490,4,458478.577,7322615.380,2598.050
180,490,5,458479.233,7322614.725,2602.170
180,490,6,458479.947,7322614.010,2606.646
180,490,7,458480.721,7322613.237,2611.477
180,490,8,458481.355,7322612.605,2615.428
180,490,9,458482.636,7322611.321,2623.522
180,490,10,458484.185,7322609.770,2633.303
180,490,11,458484.850,7322609.105,2637.463
180,490,12,458485.862,7322608.095,2643.780
180,490,13,458487.581,7322606.377,2654.544
180,490,14,458489.300,7322604.658,2665.310
180,490,15,458490.844,7322603.116,2674.953
180,490,16,458491.730,7322602.231,2680.490
180,490,17,458492.100,7322601.861,2682.822
180,490,18,458492.742,7322601.215,2686.939
180,490,19,458494.545,7322599.406,2698.409
180,490,20,458498.409,7322595.540,2722.700
180,490,21,458502.854,7322591.098,2750.516
180,500,0,458535.620,7322685.883,2564.981
180,500,1,458537.405,7322684.089,2575.470
180,500,2,458539.216,7322682.276,2586.000
180,500,3,458540.770,7322680.726,2594.916
180,500,4,458541.737,7322679.758,2600.544
180,500,5,458542.436,7322679.059,2604.588
180,500,6,458543.198,7322678.298,2608.978
180,500,7,458544.024,7322677.475,2613.715
180,500,8,458544.702,7322676.799,2617.608
180,500,9,458546.083,7322675.413,2625.694
180,500,10,458547.755,7322673.735,2635.486
180,500,11,458548.472,7322673.018,2639.626
180,500,12,458549.558,7322671.934,2645.881
180,500,13,458551.408,7322670.085,2656.573
180,500,14,458553.238,7322668.259,2667.104
180,500,15,458554.882,7322666.619,2676.538
180,500,16,458555.843,7322665.659,2682.094
180,500,17,458556.249,7322665.250,2684.485
180,500,18,458556.924,7322664.571,2688.480
180,500,19,458558.854,7322662.630,2699.866
