IL,XL,K,X,Y,Z
180,440,0,458153.542,7322301.466,2549.432
180,440,1,458155.244,7322299.707,2559.984
180,440,2,458157.010,7322297.882,2570.919
180,440,3,458158.543,7322296.299,2580.389
180,440,4,458159.485,7322295.325,2586.220
180,440,5,458160.201,7322294.585,2590.655
180,440,6,458160.997,7322293.762,2595.576
180,440,7,458161.872,7322292.858,2600.983
180,440,8,458162.577,7322292.129,2605.339
180,440,9,458163.959,7322290.700,2613.904
180,440,10,458165.601,7322289.003,2624.077
180,440,11,458166.309,7322288.272,2628.450
180,440,12,458167.412,7322287.131,2635.271
180,440,13,458169.259,7322285.223,2646.690
180,440,14,458171.106,7322283.314,2658.110
180,440,15,458172.816,7322281.546,2668.674
180,440,16,458173.806,7322280.523,2674.790
180,440,17,458174.194,7322280.122,2677.194
180,440,18,458175.100,7322279.184,2682.834
180,440,19,458177.359,7322276.848,2696.862
180,440,20,458181.735,7322272.324,2723.963
180,440,21,458186.674,7322267.219,2754.504
180,450,0,458214.272,7322368.130,2548.315
180,450,1,458216.076,7322366.373,2558.861
180,450,2,458217.946,7322364.553,2569.778
180,450,3,458219.571,7322362.970,2579.245
180,450,4,458220.565,7322362.002,2585.046
180,450,5,458221.314,7322361.272,2589.422
180,450,6,458222.142,7322360.466,2594.245
180,450,7,458223.047,7322359.584,2599.515
180,450,8,458223.779,7322358.871,2603.776
180,450,9,458225.224,7322357.463,2612.229
180,450,10,458226.951,7322355.781,2622.326
180,450,11,458227.696,7322355.056,2626.664
180,450,12,458228.848,7322353.933,2633.376
180,450,13,458230.784,7322352.047,2644.664
180,450,14,458232.720,7322350.162,2655.950
180,450,15,458234.495,7322348.433,2666.286
180,450,16,458235.518,7322347.436,2672.247
180,450,17,458235.926,7322347.038,2674.639
180,450,18,458236.815,7322346.172,2679.865
180,450,19,458239.078,7322343.965,2693.153
180,450,20,458243.583,7322339.575,2719.486
180,450,21,458248.699,7322334.591,2749.331
180,460,0,458277.640,7322432.438,2548.988
180,460,1,458279.467,7322430.718,2559.487
180,460,2,458281.358,7322428.937,2570.343
180,460,3,458283.006,7322427.386,2579.767
180,460,4,458284.009,7322426.441,2585.520
180,460,5,458284.756,7322425.737,2589.809
180,460,6,458285.577,7322424.965,2594.505
180,460,7,458286.470,7322424.124,2599.608
180,460,8,458287.196,7322423.440,2603.754
180,460,9,458288.642,7322422.078,2612.073
180,460,10,458290.380,7322420.442,2622.063
180,460,11,458291.129,7322419.737,2626.345
180,460,12,458292.278,7322418.655,2632.914
180,460,13,458294.218,7322416.828,2644.020
180,460,14,458296.159,7322415.001,2655.126
180,460,15,458297.921,7322413.342,2665.197
180,460,16,458298.934,7322412.388,2670.989
180,460,17,458299.347,7322411.999,2673.365
180,460,18,458300.167,7322411.226,2678.122
180,460,19,458302.332,7322409.187,2690.637
180,460,20,458306.777,7322405.001,2716.162
180,460,21,458311.855,7322400.220,2745.242
