IL,XL,K,X,Y,Z
170,550,0,458749.245,7323122.037,2555.240
170,550,1,458751.154,7323119.215,2565.521
170,550,2,458752.856,7323116.634,2575.147
170,550,3,458754.073,7323114.744,2582.343
170,550,4,458754.990,7323113.375,2587.377
170,550,5,458755.579,7323112.486,2590.672
170,550,6,458756.206,7323111.543,2594.169
170,550,7,458756.870,7323110.543,2597.869
170,550,8,458757.425,7323109.716,2600.907
170,550,9,458758.773,7323107.713,2608.244
170,550,10,458760.439,7323105.236,2617.319
170,550,11,458761.095,7323104.265,2620.861
170,550,12,458762.078,7323102.802,2626.225
170,550,13,458763.817,7323100.211,2635.730
170,550,14,458765.509,7323097.680,2645.052
170,550,15,458766.992,7323095.458,2653.245
170,550,16,458767.891,7323094.119,2658.157
170,550,17,458768.301,7323093.512,2660.373
170,550,18,458768.644,7323092.991,2662.323
170,550,19,458770.253,7323090.597,2671.108
170,550,20,458774.292,7323084.634,2692.811
170,550,21,458778.939,7323077.789,2717.667
170,560,0,458798.159,7323198.147,2551.523
170,560,1,458800.188,7323195.153,2562.111
170,560,2,458802.185,7323192.194,2572.645
170,560,3,458803.753,7323189.881,2580.890
170,560,4,458804.782,7323188.376,2586.198
170,560,5,458805.452,7323187.386,2589.718
170,560,6,458806.168,7323186.329,2593.467
170,560,7,458806.932,7323185.206,2597.447
170,560,8,458807.548,7323184.305,2600.621
170,560,9,458808.963,7323182.198,2608.106
170,560,10,458810.720,7323179.582,2617.401
170,560,11,458811.430,7323178.543,2621.058
170,560,12,458812.531,7323176.932,2626.733
170,560,13,458814.464,7323174.094,2636.757
170,560,14,458816.366,7323171.290,2646.683
170,560,15,458818.002,7323168.848,2655.385
170,560,16,458818.951,7323167.420,2660.482
170,560,17,458819.383,7323166.779,2662.756
170,560,18,458819.690,7323166.296,2664.519
170,560,19,458821.051,7323164.080,2672.691
170,560,20,458824.921,7323158.141,2694.027
170,560,21,458829.681,7323151.065,2719.089
170,570,0,458844.919,7323275.931,2550.139
170,570,1,458847.024,7323272.842,2560.819
170,570,2,458849.222,7323269.632,2571.899
170,570,3,458851.030,7323267.035,2580.803
170,570,4,458852.127,7323265.456,2586.221
170,570,5,458852.843,7323264.411,2589.829
170,570,6,458853.614,7323263.290,2593.690
170,570,7,458854.440,7323262.094,2597.804
170,570,8,458855.093,7323261.155,2601.027
170,570,9,458856.537,7323258.991,2608.565
170,570,10,458858.336,7323256.291,2617.969
170,570,11,458859.085,7323255.204,2621.711
170,570,12,458860.276,7323253.477,2627.648
170,570,13,458862.350,7323250.446,2638.098
170,570,14,458864.403,7323247.433,2648.504
170,570,15,458866.143,7323244.821,2657.604
170,570,16,458867.120,7323243.327,2662.845
170,570,17,458867.568,7323242.662,2665.153
170,570,18,458867.812,7323242.259,2666.610
170,570,19,458868.892,7323240.259,2674.072
170,570,20,458872.556,7323234.348,2695.186
170,570,21,458877.388,7323227.034,2720.724
170,580,0,458889.458,7323354.527,2550.886
170,580,1,458891.618,7323351.398,2561.475
170,580,2,458893.859,7323348.159,2572.433
170,580,3,458895.675,7323345.572,2581.140
170,580,4,458896.777,7323344.003,2586.425
170,580,5,458897.494,7323342.967,2589.925
170,580,6,458898.267,7323341.855,2593.682
170,580,7,458899.097,7323340.665,2597.697
170,580,8,458899.752,7323339.728,2600.855
170,580,9,458901.238,7323337.500,2608.475
170,580,10,458903.094,7323334.713,2618.016
170,580,11,458903.863,7323333.591,2621.817
170,580,12,458905.096,7323331.793,2627.914
170,580,13,458907.242,7323328.638,2638.638
170,580,14,458909.368,7323325.501,2649.316
170,580,15,458911.190,7323322.755,2658.721
170,580,16,458912.225,7323321.172,2664.166
170,580,17,458912.693,7323320.479,2666.527
170,580,18,458912.923,7323320.117,2667.788
170,580,19,458914.059,7323318.016,2675.385
170,580,20,458917.962,7323311.647,2697.704
170,580,21,458923.094,7323303.755,2724.885
170,590,0,458931.587,7323434.326,2553.251
170,590,1,458933.901,7323431.108,2563.673
170,590,2,458936.288,7323427.786,2574.430
170,590,3,458938.196,7323425.168,2582.875
170,590,4,458939.352,7323423.584,2587.985
170,590,5,458940.101,7323422.545,2591.348
170,590,6,458940.910,7323421.426,2594.969
170,590,7,458941.780,7323420.225,2598.849
170,590,8,458942.465,7323419.281,2601.901
170,590,9,458944.038,7323416.981,2609.454
170,590,10,458946.008,7323414.095,2618.938
170,590,11,458946.824,7323412.936,2622.716
170,590,12,458948.143,7323411.055,2628.849
170,590,13,458950.437,7323407.757,2639.630
170,590,14,458952.717,7323404.471,2650.382
170,590,15,458954.708,7323401.556,2659.958
170,590,16,458955.858,7323399.859,2665.545
170,590,17,458956.365,7323399.133,2667.916
170,590,18,458956.594,7323398.795,2669.028
170,590,19,458957.762,7323396.634,2676.521
170,590,20,458961.949,7323389.851,2699.373
170,590,21,458967.539,7323381.347,2727.584
170,600,0,458972.101,7323514.884,2555.662
170,600,1,458974.714,7323511.401,2566.293
170,600,2,458977.402,7323507.811,2577.253
170,600,3,458979.523,7323505.019,2585.746
170,600,4,458980.805,7323503.335,2590.864
170,600,5,458981.632,7323502.237,2594.210
170,600,6,458982.527,7323501.050,2597.826
170,600,7,458983.491,7323499.775,2601.710
170,600,8,458984.238,7323498.790,2604.707
170,600,9,458985.937,7323496.406,2612.095
170,600,10,458988.067,7323493.408,2621.394
170,600,11,458988.949,7323492.206,2625.091
170,600,12,458990.379,7323490.240,2631.149
170,600,13,458992.876,7323486.783,2641.821
170,600,14,458995.391,7323483.316,2652.513
170,600,15,458997.629,7323480.200,2662.142
170,600,16,458998.938,7323478.370,2667.804
170,600,17,458999.501,7323477.607,2670.148
170,600,18,458999.741,7323477.276,2671.169
170,600,19,459000.888,7323475.158,2678.165
170,600,20,459005.283,7323468.226,2700.303
170,600,21,459011.330,7323459.353,2728.140
170,610,0,459011.076,7323596.290,2554.712
170,610,1,459014.045,7323592.423,2566.011
170,610,2,459017.101,7323588.427,2577.701
170,610,3,459019.488,7323585.348,2586.664
170,610,4,459020.930,7323583.497,2592.048
170,610,5,459021.855,7323582.297,2595.550
170,610,6,459022.861,7323580.993,2599.351
170,610,7,459023.947,7323579.587,2603.450
170,610,8,459024.766,7323578.536,2606.506
170,610,9,459026.583,7323576.071,2613.803
170,610,10,459028.859,7323572.968,2623.005
170,610,11,459029.798,7323571.728,2626.648
170,610,12,459031.316,7323569.687,2632.671
170,610,13,459033.999,7323566.076,2643.334
170,610,14,459036.758,7323562.414,2654.100
170,610,15,459039.249,7323559.090,2663.887
170,610,16,459040.718,7323557.127,2669.671
170,610,17,459041.336,7323556.325,2672.011
170,610,18,459041.592,7323555.991,2672.987
170,610,19,459042.670,7323554.009,2679.338
170,610,20,459047.141,7323547.203,2700.179
170,610,21,459053.506,7323538.278,2726.877
170,620,0,459049.700,7323678.136,2553.064
170,620,1,459052.915,7323673.968,2564.843
170,620,2,459056.261,7323669.622,2577.133
170,620,3,459058.810,7323666.332,2586.421
170,620,4,459060.346,7323664.354,2591.999
170,620,5,459061.330,7323663.079,2595.605
170,620,6,459062.416,7323661.673,2599.575
170,620,7,459063.606,7323660.137,2603.908
170,620,8,459064.453,7323659.048,2606.978
170,620,9,459066.335,7323656.547,2614.112
170,620,10,459068.716,7323653.376,2623.164
170,620,11,459069.673,7323652.124,2626.714
170,620,12,459071.322,7323649.959,2632.858
170,620,13,459074.241,7323646.124,2643.736
170,620,14,459077.212,7323642.258,2654.673
170,620,15,459079.924,7323638.722,2664.680
170,620,16,459081.530,7323636.627,2670.612
170,620,17,459082.170,7323635.805,2672.928
170,620,18,459082.425,7323635.476,2673.856
170,620,19,459083.589,7323633.606,2679.520
170,620,20,459088.305,7323626.921,2699.001
170,620,21,459094.983,7323617.971,2724.585
170,630,0,459087.914,7323795.996,2557.447
170,630,1,459090.326,7323792.028,2569.240
170,630,2,459092.859,7323787.859,2581.639
170,630,3,459094.750,7323784.744,2590.903
170,630,4,459095.888,7323782.871,2596.472
170,630,5,459096.617,7323781.667,2600.056
170,630,6,459097.433,7323780.320,2604.066
170,630,7,459098.338,7323778.829,2608.501
170,630,8,459098.953,7323777.812,2611.530
170,630,9,459100.351,7323775.481,2618.482
170,630,10,459102.138,7323772.505,2627.357
170,630,11,459102.838,7323771.346,2630.810
170,630,12,459104.116,7323769.248,2637.043
170,630,13,459106.373,7323765.541,2648.059
170,630,14,459108.625,7323761.843,2659.048
170,630,15,459110.688,7323758.451,2669.135
170,630,16,459111.913,7323756.436,2675.125
170,630,17,459112.379,7323755.671,2677.398
170,630,18,459112.559,7323755.373,2678.283
170,630,19,459113.536,7323753.630,2683.572
170,630,20,459117.216,7323747.374,2702.323
170,630,21,459122.275,7323738.975,2727.351
160,640,0,459059.812,7323914.051,2564.635
160,640,1,459062.082,7323910.727,2576.320
160,640,2,459064.489,7323907.204,2588.713
160,640,3,459066.278,7323904.583,2597.934
160,640,4,459067.354,7323903.007,2603.479
160,640,5,459068.045,7323901.997,2607.034
160,640,6,459068.835,7323900.844,2611.098
160,640,7,459069.725,7323899.548,2615.671
160,640,8,459070.318,7323898.682,2618.724
160,640,9,459071.653,7323896.748,2625.546
160,640,10,459073.363,7323894.274,2634.276
160,640,11,459074.023,7323893.310,2637.670
160,640,12,459075.233,7323891.532,2643.918
160,640,13,459077.375,7323888.390,2654.969
160,640,14,459079.517,7323885.250,2666.014
160,640,15,459081.496,7323882.357,2676.193
160,640,16,459082.674,7323880.636,2682.252
160,640,17,459083.113,7323879.990,2684.525
160,640,18,459083.281,7323879.742,2685.395
160,640,19,459084.297,7323878.378,2690.299
160,640,20,459087.909,7323873.260,2708.454
160,640,21,459092.742,7323866.239,2733.206
