IL,XL,K,X,Y,Z
60,780,0,458755.072,7325848.563,2714.151
60,780,1,458754.566,7325849.858,2724.351
60,780,2,458754.043,7325851.195,2734.866
60,780,3,458753.730,7325851.999,2741.207
60,780,4,458753.563,7325852.428,2744.593
60,780,5,458753.442,7325852.737,2747.025
60,780,6,458753.289,7325853.126,2750.077
60,780,7,458753.106,7325853.595,2753.751
60,780,8,458753.014,7325853.829,2755.589
60,780,9,458752.733,7325854.543,2761.180
60,780,10,458752.329,7325855.571,2769.216
60,780,11,458752.189,7325855.927,2772.008
60,780,12,458751.936,7325856.577,2777.126
60,780,13,458751.463,7325857.790,2786.669
60,780,14,458750.989,7325859.001,2796.187
60,780,15,458750.534,7325860.158,2805.255
60,780,16,458750.269,7325860.832,2810.529
60,780,17,458750.180,7325861.059,2812.313
60,780,18,458750.064,7325861.331,2814.286
60,780,19,458749.621,7325862.428,2822.670
60,780,20,458748.655,7325864.860,2841.558
60,780,21,458747.602,7325867.523,2862.337
60,790,0,458782.904,7325928.335,2730.456
60,790,1,458782.343,7325929.295,2740.550
60,790,2,458781.760,7325930.290,2750.973
60,790,3,458781.413,7325930.884,2757.208
60,790,4,458781.231,7325931.199,2760.508
60,790,5,458781.098,7325931.427,2762.886
60,790,6,458780.929,7325931.716,2765.892
60,790,7,458780.724,7325932.066,2769.525
60,790,8,458780.622,7325932.240,2771.341
60,790,9,458780.291,7325932.797,2776.994
60,790,10,458779.811,7325933.603,2785.162
60,790,11,458779.644,7325933.885,2788.021
60,790,12,458779.345,7325934.391,2793.211
60,790,13,458778.788,7325935.334,2802.865
60,790,14,458778.246,7325936.260,2812.373
60,790,15,458777.744,7325937.123,2821.280
60,790,16,458777.457,7325937.619,2826.406
60,790,17,458777.361,7325937.786,2828.141
60,790,18,458777.244,7325937.981,2829.934
60,790,19,458776.783,7325938.772,2837.840
60,790,20,458775.789,7325940.506,2855.657
60,790,21,458774.725,7325942.380,2875.075
70,800,0,458873.743,7326018.312,2745.154
70,800,1,458873.502,7326019.207,2755.603
70,800,2,458873.254,7326020.128,2766.344
70,800,3,458873.109,7326020.665,2772.650
70,800,4,458873.033,7326020.942,2775.926
70,800,5,458872.978,7326021.143,2778.288
70,800,6,458872.909,7326021.399,2781.290
70,800,7,458872.825,7326021.709,2784.932
70,800,8,458872.782,7326021.865,2786.753
70,800,9,458872.658,7326022.325,2792.150
70,800,10,458872.478,7326022.994,2799.976
70,800,11,458872.414,7326023.229,2802.727
70,800,12,458872.298,7326023.651,2807.714
70,800,13,458872.083,7326024.439,2816.998
70,800,14,458871.869,7326025.216,2826.178
70,800,15,458871.668,7326025.947,2834.823
70,800,16,458871.553,7326026.367,2839.793
70,800,17,458871.513,7326026.509,2841.485
70,800,18,458871.478,7326026.648,2843.042
70,800,19,458871.309,7326027.278,2850.419
