IL,XL,K,X,Y,Z
80,610,0,458287.289,7324370.903,2567.764
80,610,1,458285.708,7324371.890,2580.587
80,610,2,458284.046,7324372.927,2594.102
80,610,3,458282.928,7324373.626,2603.333
80,610,4,458282.304,7324374.016,2608.545
80,610,5,458281.859,7324374.294,2612.229
80,610,6,458281.340,7324374.618,2616.500
80,610,7,458280.746,7324374.989,2621.360
80,610,8,458280.365,7324375.227,2624.478
80,610,9,458279.357,7324375.855,2632.700
80,610,10,458278.032,7324376.681,2643.505
80,610,11,458277.572,7324376.968,2647.274
80,610,12,458276.819,7324377.438,2653.469
80,610,13,458275.430,7324378.304,2664.867
80,610,14,458274.041,7324379.171,2676.263
80,610,15,458272.652,7324380.037,2687.647
80,610,16,458271.811,7324380.562,2694.560
80,610,17,458271.558,7324380.719,2696.637
80,610,18,458270.877,7324381.142,2701.936
80,610,19,458269.151,7324382.216,2715.788
80,610,20,458265.726,7324384.349,2743.573
80,610,21,458261.806,7324386.791,2775.333
80,620,0,458335.527,7324441.573,2570.712
80,620,1,458333.880,7324442.661,2583.415
80,620,2,458332.130,7324443.817,2596.930
80,620,3,458330.943,7324444.600,2606.216
80,620,4,458330.276,7324445.039,2611.478
80,620,5,458329.806,7324445.349,2615.156
80,620,6,458329.249,7324445.717,2619.476
80,620,7,458328.604,7324446.142,2624.438
80,620,8,458328.199,7324446.410,2627.558
80,620,9,458327.143,7324447.108,2635.704
80,620,10,458325.752,7324448.027,2646.427
80,620,11,458325.272,7324448.344,2650.147
80,620,12,458324.472,7324448.872,2656.365
80,620,13,458322.999,7324449.845,2667.794
80,620,14,458321.525,7324450.818,2679.221
80,620,15,458320.050,7324451.791,2690.662
80,620,16,458319.154,7324452.383,2697.627
80,620,17,458318.889,7324452.558,2699.680
80,620,18,458318.202,7324453.014,2704.773
80,620,19,458316.412,7324454.198,2718.389
80,620,20,458312.829,7324456.567,2745.897
80,620,21,458308.741,7324459.269,2777.286
80,630,0,458383.059,7324513.864,2574.162
80,630,1,458381.374,7324514.905,2586.671
80,630,2,458379.533,7324516.044,2600.254
80,630,3,458378.280,7324516.818,2609.591
80,630,4,458377.574,7324517.253,2614.889
80,630,5,458377.079,7324517.558,2618.572
80,630,6,458376.468,7324517.938,2623.030
80,630,7,458375.740,7324518.391,2628.263
80,630,8,458375.293,7324518.669,2631.484
80,630,9,458374.186,7324519.355,2639.620
80,630,10,458372.727,7324520.259,2650.331
80,630,11,458372.226,7324520.570,2654.020
80,630,12,458371.376,7324521.095,2660.306
80,630,13,458369.810,7324522.064,2671.863
80,630,14,458368.244,7324523.033,2683.418
80,630,15,458366.678,7324524.002,2694.976
80,630,16,458365.727,7324524.590,2702.014
80,630,17,458365.446,7324524.764,2704.080
80,630,18,458364.750,7324525.200,2709.006
80,630,19,458362.887,7324526.360,2722.503
80,630,20,458359.125,7324528.693,2750.019
80,630,21,458354.855,7324531.340,2781.308
80,640,0,458429.644,7324586.969,2578.572
80,640,1,458427.917,7324587.943,2590.807
80,640,2,458425.985,7324589.040,2604.333
80,640,3,458424.671,7324589.784,2613.600
80,640,4,458423.929,7324590.203,2618.855
80,640,5,458423.412,7324590.495,2622.500
80,640,6,458422.755,7324590.872,2627.012
80,640,7,458421.959,7324591.334,2632.391
80,640,8,458421.478,7324591.611,2635.652
80,640,9,458420.328,7324592.265,2643.678
80,640,10,458418.814,7324593.126,2654.232
80,640,11,458418.299,7324593.420,2657.837
80,640,12,458417.405,7324593.926,2664.106
80,640,13,458415.760,7324594.861,2675.631
80,640,14,458414.114,7324595.795,2687.156
80,640,15,458412.473,7324596.727,2698.651
80,640,16,458411.476,7324597.292,2705.643
80,640,17,458411.181,7324597.460,2707.706
80,640,18,458410.490,7324597.859,2712.374
80,640,19,458408.577,7324598.954,2725.556
80,640,20,458404.662,7324601.184,2752.781
80,640,21,458400.221,7324603.713,2783.712
90,650,0,458532.157,7324658.400,2584.980
90,650,1,458530.582,7324659.126,2597.381
90,650,2,458528.886,7324659.907,2610.730
