IL,XL,K,X,Y,Z
70,560,0,457975.419,7324089.824,2556.839
70,560,1,457972.700,7324092.797,2570.751
70,560,2,457970.200,7324095.533,2583.839
70,560,3,457968.682,7324097.198,2591.986
70,560,4,457967.705,7324098.268,2597.087
70,560,5,457966.948,7324099.096,2601.028
70,560,6,457966.079,7324100.047,2605.522
70,560,7,457965.097,7324101.121,2610.571
70,560,8,457964.414,7324101.869,2614.099
70,560,9,457962.705,7324103.740,2622.972
70,560,10,457960.500,7324106.154,2634.400
70,560,11,457959.723,7324107.004,2638.432
70,560,12,457958.527,7324108.313,2644.667
70,560,13,457956.311,7324110.739,2656.194
70,560,14,457954.091,7324113.169,2667.736
70,560,15,457951.911,7324115.554,2679.034
70,560,16,457950.618,7324116.969,2685.737
70,560,17,457950.178,7324117.452,2688.050
70,560,18,457948.870,7324118.882,2694.725
70,560,19,457945.861,7324122.174,2710.247
70,560,20,457940.026,7324128.557,2740.311
70,560,21,457933.341,7324135.867,2774.599
70,570,0,458024.591,7324159.986,2559.123
70,570,1,458021.539,7324163.189,2572.912
70,570,2,458018.654,7324166.214,2586.170
70,570,3,458016.868,7324168.086,2594.532
70,570,4,458015.764,7324169.243,2599.599
70,570,5,458014.924,7324170.126,2603.451
70,570,6,458013.953,7324171.144,2607.872
70,570,7,458012.854,7324172.297,2612.862
70,570,8,458012.096,7324173.093,2616.307
70,570,9,458010.183,7324175.100,2625.043
70,570,10,458007.701,7324177.704,2636.356
70,570,11,458006.826,7324178.622,2640.351
70,570,12,458005.472,7324180.042,2646.557
70,570,13,458002.960,7324182.677,2658.043
70,570,14,458000.443,7324185.317,2669.546
70,570,15,457997.959,7324187.923,2680.875
70,570,16,457996.478,7324189.475,2687.628
70,570,17,457995.987,7324189.990,2689.887
70,570,18,457994.542,7324191.507,2696.362
70,570,19,457991.174,7324195.041,2711.614
70,570,20,457984.611,7324201.925,2741.358
70,570,21,457977.088,7324209.819,2775.355
70,580,0,458072.409,7324233.330,2562.346
70,580,1,458069.356,7324236.226,2575.823
70,580,2,458066.332,7324239.088,2589.290
70,580,3,458064.398,7324240.914,2598.000
70,580,4,458063.281,7324241.971,2603.006
70,580,5,458062.442,7324242.766,2606.749
70,580,6,458061.472,7324243.685,2611.066
70,580,7,458060.370,7324244.730,2615.956
70,580,8,458059.619,7324245.442,2619.287
70,580,9,458057.684,7324247.276,2627.881
70,580,10,458055.158,7324249.669,2639.082
70,580,11,458054.267,7324250.513,2643.039
70,580,12,458052.876,7324251.830,2649.232
70,580,13,458050.295,7324254.274,2660.702
70,580,14,458047.708,7324256.724,2672.196
70,580,15,458045.139,7324259.157,2683.586
70,580,16,458043.601,7324260.614,2690.413
70,580,17,458043.104,7324261.084,2692.627
70,580,18,458041.652,7324262.464,2698.945
70,580,19,458038.221,7324265.718,2714.029
70,580,20,458031.524,7324272.069,2743.532
70,580,21,458023.863,7324279.337,2777.223
70,590,0,458119.795,7324308.595,2565.522
70,590,1,458116.888,7324310.903,2578.667
70,590,2,458113.900,7324313.273,2592.209
70,590,3,458111.936,7324314.825,2601.171
70,590,4,458110.847,7324315.685,2606.162
70,590,5,458110.042,7324316.321,2609.838
70,590,6,458109.109,7324317.060,2614.088
70,590,7,458108.047,7324317.901,2618.911
70,590,8,458107.333,7324318.466,2622.149
70,590,9,458105.460,7324319.952,2630.638
70,590,10,458103.003,7324321.900,2641.753
70,590,11,458102.136,7324322.588,2645.675
70,590,12,458100.770,7324323.670,2651.880
70,590,13,458098.235,7324325.678,2663.366
70,590,14,458095.694,7324327.693,2674.876
70,590,15,458093.165,7324329.698,2686.315
70,590,16,458091.644,7324330.904,2693.196
70,590,17,458091.162,7324331.286,2695.382
70,590,18,458089.780,7324332.392,2701.504
70,590,19,458086.460,7324335.035,2716.380
70,590,20,458079.973,7324340.192,2745.554
70,590,21,458072.582,7324346.069,2778.777
80,600,0,458229.219,7324376.464,2568.569
80,600,1,458226.799,7324377.900,2581.564
80,600,2,458224.264,7324379.404,2595.173
80,600,3,458222.550,7324380.420,2604.382
80,600,4,458221.589,7324380.990,2609.554
80,600,5,458220.898,7324381.400,2613.267
80,600,6,458220.099,7324381.874,2617.560
80,600,7,458219.192,7324382.411,2622.432
80,600,8,458218.600,7324382.762,2625.612
80,600,9,458217.044,7324383.684,2633.966
80,600,10,458215.005,7324384.892,2644.911
80,600,11,458214.292,7324385.314,2648.739
80,600,12,458213.135,7324386.000,2654.954
80,600,13,458211.004,7324387.263,2666.403
80,600,14,458208.872,7324388.526,2677.851
80,600,15,458206.751,7324389.784,2689.241
80,600,16,458205.468,7324390.544,2696.128
80,600,17,458205.072,7324390.779,2698.255
80,600,18,458204.038,7324391.391,2703.788
80,600,19,458201.397,7324392.955,2717.944
80,600,20,458196.144,7324396.066,2746.129
80,600,21,458190.146,7324399.620,2778.309
70,600,0,458168.718,7324381.630,2568.321
70,600,1,458165.829,7324383.597,2581.318
70,600,2,458162.820,7324385.645,2594.867
70,600,3,458160.810,7324387.009,2603.959
70,600,4,458159.692,7324387.765,2609.036
70,600,5,458158.878,7324388.317,2612.725
70,600,6,458157.932,7324388.959,2616.997
70,600,7,458156.855,7324389.692,2621.852
70,600,8,458156.143,7324390.177,2625.061
70,600,9,458154.262,7324391.459,2633.522
70,600,10,458151.791,7324393.145,2644.622
70,600,11,458150.922,7324393.738,2648.527
70,600,12,458149.532,7324394.684,2654.786
70,600,13,458146.961,7324396.437,2666.351
70,600,14,458144.386,7324398.194,2677.930
70,600,15,458141.821,7324399.945,2689.451
70,600,16,458140.274,7324401.000,2696.402
70,600,17,458139.792,7324401.328,2698.572
70,600,18,458138.451,7324402.256,2704.484
70,600,19,458135.150,7324404.523,2719.183
70,600,20,458128.664,7324408.965,2748.190
70,600,21,458121.282,7324414.018,2781.203
