IL,XL,K,X,Y,Z
280,530,0,459074.981,7322395.443,2670.582
280,530,1,459072.683,7322397.646,2680.053
280,530,2,459070.303,7322399.930,2689.868
280,530,3,459068.170,7322401.982,2698.679
280,530,4,459066.866,7322403.236,2704.055
280,530,5,459065.981,7322404.089,2707.709
280,530,6,459065.021,7322405.014,2711.669
280,530,7,459063.987,7322406.011,2715.935
280,530,8,459063.125,7322406.843,2719.493
280,530,9,459061.647,7322408.262,2725.580
280,530,10,459059.919,7322409.920,2732.702
280,530,11,459059.063,7322410.744,2736.240
280,530,12,459057.658,7322412.098,2742.045
280,530,13,459055.371,7322414.297,2751.485
280,530,14,459053.067,7322416.516,2761.004
280,530,15,459051.166,7322418.344,2768.855
280,530,16,459050.158,7322419.311,2773.021
280,530,17,459049.560,7322419.889,2775.492
280,530,18,459049.098,7322420.343,2777.399
280,530,19,459047.933,7322421.483,2782.199
280,530,20,459043.933,7322425.350,2798.657
280,530,21,459038.422,7322430.669,2821.375
270,530,0,459019.356,7322382.122,2664.680
270,530,1,459017.578,7322383.998,2673.873
270,530,2,459015.724,7322385.953,2683.463
270,530,3,459014.038,7322387.735,2692.200
270,530,4,459013.004,7322388.827,2697.564
270,530,5,459012.291,7322389.582,2701.273
270,530,6,459011.519,7322390.398,2705.288
270,530,7,459010.688,7322391.277,2709.610
270,530,8,459009.994,7322392.011,2713.221
270,530,9,459008.828,7322393.241,2719.281
270,530,10,459007.485,7322394.656,2726.254
270,530,11,459006.814,7322395.366,2729.735
270,530,12,459005.702,7322396.542,2735.506
270,530,13,459003.909,7322398.437,2744.800
270,530,14,459002.093,7322400.357,2754.219
270,530,15,459000.617,7322401.917,2761.874
270,530,16,458999.855,7322402.721,2765.818
270,530,17,458999.364,7322403.241,2768.368
270,530,18,458998.929,7322403.707,2770.632
270,530,19,458997.771,7322404.928,2776.814
270,530,20,458994.317,7322408.566,2795.049
270,530,21,458989.783,7322413.355,2818.753
280,540,0,459126.840,7322409.053,2674.529
280,540,1,459124.861,7322410.521,2684.465
280,540,2,459122.818,7322412.037,2694.729
280,540,3,459121.001,7322413.386,2703.886
280,540,4,459119.894,7322414.210,2709.429
280,540,5,459119.152,7322414.763,2713.158
280,540,6,459118.343,7322415.365,2717.225
280,540,7,459117.468,7322416.015,2721.631
280,540,8,459116.738,7322416.556,2725.325
280,540,9,459115.472,7322417.493,2731.702
280,540,10,459113.974,7322418.599,2739.288
280,540,11,459113.231,7322419.145,2743.089
280,540,12,459112.020,7322420.038,2749.241
280,540,13,459110.037,7322421.498,2759.336
280,540,14,459108.047,7322422.964,2769.459
280,540,15,459106.378,7322424.186,2778.015
280,540,16,459105.468,7322424.846,2782.732
280,540,17,459104.974,7322425.216,2785.191
280,540,18,459104.656,7322425.470,2786.657
280,540,19,459103.950,7322426.072,2789.631
280,540,20,459100.861,7322428.450,2804.499
280,540,21,459096.313,7322431.860,2827.135
280,550,0,459191.254,7322476.325,2678.348
280,550,1,459188.842,7322477.610,2688.344
280,550,2,459186.363,7322478.931,2698.624
280,550,3,459184.175,7322480.093,2707.707
280,550,4,459182.850,7322480.799,2713.201
280,550,5,459181.971,7322481.266,2716.851
280,550,6,459181.011,7322481.776,2720.835
280,550,7,459179.972,7322482.328,2725.153
280,550,8,459179.104,7322482.788,2728.769
280,550,9,459177.589,7322483.593,2735.055
280,550,10,459175.775,7322484.558,2742.595
280,550,11,459174.869,7322485.037,2746.376
280,550,12,459173.402,7322485.814,2752.495
280,550,13,459170.985,7322487.094,2762.576
280,550,14,459168.567,7322488.375,2772.659
280,550,15,459166.516,7322489.459,2781.231
280,550,16,459165.373,7322490.063,2786.022
280,550,17,459164.795,7322490.370,2788.422
280,550,18,459164.480,7322490.541,2789.692
280,550,19,459163.973,7322490.829,2791.585
280,550,20,459160.708,7322492.583,2804.914
280,550,21,459155.467,7322495.371,2826.622
280,560,0,459258.340,7322542.127,2681.185
280,560,1,459255.933,7322543.709,2691.389
280,560,2,459253.469,7322545.328,2701.833
280,560,3,459251.319,7322546.739,2710.960
280,560,4,459250.018,7322547.593,2716.477
280,560,5,459249.166,7322548.151,2720.094
280,560,6,459248.236,7322548.760,2724.040
280,560,7,459247.230,7322549.419,2728.315
280,560,8,459246.390,7322549.968,2731.885
280,560,9,459244.918,7322550.934,2738.131
280,560,10,459243.138,7322552.102,2745.676
280,560,11,459242.249,7322552.684,2749.461
280,560,12,459240.807,7322553.627,2755.596
280,560,13,459238.421,7322555.189,2765.744
280,560,14,459236.041,7322556.747,2775.871
280,560,15,459234.011,7322558.075,2784.513
280,560,16,459232.865,7322558.825,2789.395
280,560,17,459232.307,7322559.191,2791.770
280,560,18,459232.038,7322559.367,2792.901
280,560,19,459231.772,7322559.545,2793.920
280,560,20,459228.915,7322561.418,2805.925
280,560,21,459223.974,7322564.652,2826.875
280,570,0,459323.622,7322609.946,2682.302
280,570,1,459321.239,7322611.929,2692.818
280,570,2,459318.809,7322613.951,2703.541
280,570,3,459316.705,7322615.699,2712.830
280,570,4,459315.433,7322616.757,2718.448
280,570,5,459314.609,7322617.442,2722.089
280,570,6,459313.711,7322618.188,2726.056
280,570,7,459312.739,7322618.995,2730.349
280,570,8,459311.931,7322619.665,2733.922
280,570,9,459310.512,7322620.845,2740.176
280,570,10,459308.790,7322622.278,2747.763
280,570,11,459307.926,7322622.995,2751.581
280,570,12,459306.520,7322624.162,2757.803
280,570,13,459304.189,7322626.098,2768.112
280,570,14,459301.867,7322628.025,2778.379
280,570,15,459299.883,7322629.672,2787.155
280,570,16,459298.754,7322630.609,2792.151
280,570,17,459298.215,7322631.057,2794.540
280,570,18,459297.976,7322631.255,2795.595
280,570,19,459297.860,7322631.355,2796.058
280,570,20,459295.335,7322633.455,2807.120
280,570,21,459290.691,7322637.310,2827.605
280,580,0,459384.070,7322682.343,2681.570
280,580,1,459381.603,7322684.808,2692.160
280,580,2,459379.092,7322687.317,2702.939
280,580,3,459376.930,7322689.475,2712.222
280,580,4,459375.618,7322690.785,2717.856
280,580,5,459374.772,7322691.629,2721.491
280,580,6,459373.850,7322692.550,2725.452
280,580,7,459372.853,7322693.547,2729.740
280,580,8,459372.026,7322694.372,2733.294
280,580,9,459370.587,7322695.809,2739.460
280,580,10,459368.842,7322697.553,2746.933
280,580,11,459367.961,7322698.433,2750.720
280,580,12,459366.510,7322699.881,2756.964
280,580,13,459364.109,7322702.278,2767.291
280,580,14,459361.722,7322704.661,2777.556
280,580,15,459359.686,7322706.693,2786.312
280,580,16,459358.526,7322707.852,2791.303
280,580,17,459357.970,7322708.406,2793.697
280,580,18,459357.728,7322708.648,2794.743
280,580,19,459357.674,7322708.702,2794.958
280,580,20,459355.261,7322711.112,2805.251
280,580,21,459350.622,7322715.744,2825.152
280,590,0,459441.573,7322757.228,2678.781
280,590,1,459438.821,7322760.304,2689.148
280,590,2,459436.023,7322763.432,2699.683
280,590,3,459433.634,7322766.101,2708.684
280,590,4,459432.176,7322767.730,2714.177
280,590,5,459431.239,7322768.778,2717.714
280,590,6,459430.215,7322769.922,2721.576
280,590,7,459429.104,7322771.162,2725.764
280,590,8,459428.191,7322772.182,2729.214
280,590,9,459426.617,7322773.941,2735.137
280,590,10,459424.712,7322776.069,2742.301
280,590,11,459423.744,7322777.151,2745.952
280,590,12,459422.125,7322778.960,2752.066
280,590,13,459419.449,7322781.950,2762.164
280,590,14,459416.789,7322784.922,2772.205
280,590,15,459414.521,7322787.457,2780.764
280,590,16,459413.226,7322788.903,2785.647
280,590,17,459412.604,7322789.598,2788.001
280,590,18,459412.333,7322789.901,2789.027
280,590,19,459412.318,7322789.917,2789.081
