IL,XL,K,X,Y,Z
330,610,0,459843.429,7322659.920,2685.616
330,610,1,459843.189,7322655.925,2697.833
330,610,2,459842.951,7322651.912,2710.099
330,610,3,459842.755,7322648.528,2720.435
330,610,4,459842.631,7322646.418,2726.880
330,610,5,459842.552,7322645.048,2731.064
330,610,6,459842.464,7322643.543,2735.661
330,610,7,459842.369,7322641.903,2740.671
330,610,8,459842.295,7322640.564,2744.754
330,610,9,459842.202,7322638.792,2750.145
330,610,10,459842.098,7322636.779,2756.266
330,610,11,459842.032,7322635.516,2760.109
330,610,12,459841.898,7322633.069,2767.566
330,610,13,459841.685,7322629.182,2779.412
330,610,14,459841.473,7322625.283,2791.288
330,610,15,459841.294,7322621.992,2801.312
330,610,16,459841.193,7322620.131,2806.983
330,610,17,459841.139,7322619.141,2809.997
330,610,18,459841.114,7322618.677,2811.411
330,610,19,459841.114,7322618.677,2811.411
330,610,20,459841.080,7322617.532,2814.845
330,610,21,459840.779,7322611.849,2832.143
340,610,0,459892.011,7322568.019,2697.574
340,610,1,459893.444,7322562.693,2709.913
340,610,2,459894.887,7322557.329,2722.341
340,610,3,459896.121,7322552.748,2732.950
340,610,4,459896.883,7322549.916,2739.510
340,610,5,459897.380,7322548.067,2743.794
340,610,6,459897.926,7322546.038,2748.494
340,610,7,459898.520,7322543.831,2753.611
340,610,8,459899.017,7322541.989,2757.875
340,610,9,459899.673,7322539.545,2763.541
340,610,10,459900.413,7322536.779,2769.957
340,610,11,459900.894,7322535.002,2774.067
340,610,12,459901.826,7322531.567,2782.006
340,610,13,459903.296,7322526.138,2794.558
340,610,14,459904.765,7322520.706,2807.122
340,610,15,459906.002,7322516.129,2817.715
340,610,16,459906.698,7322513.549,2823.687
340,610,17,459907.071,7322512.171,2826.874
340,610,18,459907.249,7322511.517,2828.385
340,610,19,459907.249,7322511.517,2828.385
340,610,20,459907.641,7322509.974,2832.017
340,610,21,459909.693,7322502.290,2849.866
320,620,0,459853.978,7322754.989,2672.503
320,620,1,459852.429,7322752.165,2684.706
320,620,2,459850.877,7322749.336,2696.929
320,620,3,459849.586,7322746.977,2707.114
320,620,4,459848.779,7322745.501,2713.486
320,620,5,459848.259,7322744.547,2717.596
320,620,6,459847.687,7322743.500,2722.115
320,620,7,459847.064,7322742.358,2727.041
320,620,8,459846.564,7322741.439,2731.000
320,620,9,459845.878,7322740.215,2736.328
320,620,10,459845.086,7322738.817,2742.434
320,620,11,459844.611,7322737.956,2746.164
320,620,12,459843.696,7322736.280,2753.394
320,620,13,459842.231,7322733.607,2764.938
320,620,14,459840.767,7322730.932,2776.485
320,620,15,459839.532,7322728.675,2786.227
320,620,16,459838.832,7322727.397,2791.750
320,620,17,459838.466,7322726.722,2794.651
320,620,18,459838.298,7322726.409,2795.995
320,620,19,459838.298,7322726.409,2795.995
320,620,20,459837.762,7322725.598,2799.747
320,620,21,459835.548,7322721.650,2816.935
310,630,0,459874.710,7322879.017,2657.538
310,630,1,459871.181,7322878.022,2669.616
310,630,2,459867.647,7322877.028,2681.704
310,630,3,459864.754,7322876.208,2691.625
310,630,4,459862.938,7322875.693,2697.852
310,630,5,459861.777,7322875.361,2701.841
310,630,6,459860.498,7322874.996,2706.232
310,630,7,459859.102,7322874.598,2711.025
310,630,8,459858.002,7322874.284,2714.806
310,630,9,459856.484,7322873.878,2719.962
310,630,10,459854.722,7322873.416,2725.921
310,630,11,459853.680,7322873.130,2729.481
310,630,12,459851.640,7322872.559,2736.458
310,630,13,459848.358,7322871.651,2747.662
310,630,14,459845.082,7322870.743,2758.849
310,630,15,459842.313,7322869.979,2768.295
310,630,16,459840.737,7322869.545,2773.667
310,630,17,459839.926,7322869.316,2776.448
310,630,18,459839.557,7322869.210,2777.716
310,630,19,459839.557,7322869.210,2777.716
310,630,20,459838.352,7322868.984,2781.585
310,630,21,459833.386,7322867.659,2798.423
300,640,0,459894.358,7322967.993,2654.396
300,640,1,459889.570,7322968.884,2666.026
300,640,2,459884.776,7322969.784,2677.669
300,640,3,459880.900,7322970.513,2687.086
300,640,4,459878.459,7322970.969,2693.018
300,640,5,459876.905,7322971.259,2696.798
300,640,6,459875.193,7322971.578,2700.962
300,640,7,459873.322,7322971.927,2705.512
300,640,8,459871.877,7322972.202,2709.027
300,640,9,459869.949,7322972.613,2713.675
300,640,10,459867.723,7322973.100,2719.030
300,640,11,459866.384,7322973.375,2722.266
300,640,12,459863.679,7322973.911,2728.821
300,640,13,459859.329,7322974.785,2739.351
300,640,14,459854.983,7322975.659,2749.870
300,640,15,459851.310,7322976.403,2758.759
300,640,16,459849.216,7322976.829,2763.822
300,640,17,459848.137,7322977.041,2766.440
300,640,18,459847.648,7322977.135,2767.629
300,640,19,459847.648,7322977.135,2767.629
300,640,20,459846.349,7322977.560,2770.630
300,640,21,459839.917,7322978.918,2786.148
