IL,XL,K,X,Y,Z
200,950,0,460832.269,7326107.075,2814.177
200,950,1,460834.559,7326106.086,2821.946
200,950,2,460837.356,7326104.875,2831.507
200,950,3,460839.049,7326104.140,2837.316
200,950,4,460839.786,7326103.821,2839.834
200,950,5,460840.180,7326103.650,2841.180
200,950,6,460840.659,7326103.443,2842.808
200,950,7,460841.224,7326103.199,2844.718
200,950,8,460841.506,7326103.077,2845.673
200,950,9,460841.708,7326102.993,2846.267
200,950,10,460842.113,7326102.824,2847.498
200,950,11,460842.416,7326102.695,2848.483
200,950,12,460844.086,7326101.971,2854.194
200,950,13,460847.229,7326100.610,2864.929
200,950,14,460850.379,7326099.246,2875.672
200,950,15,460853.261,7326097.999,2885.490
200,950,16,460854.887,7326097.296,2891.021
200,950,17,460855.415,7326097.067,2892.818
200,950,18,460855.625,7326096.976,2893.532
200,950,19,460855.625,7326096.976,2893.532
200,950,20,460856.374,7326096.660,2895.889
200,950,21,460859.131,7326095.478,2904.977
200,960,0,460891.201,7326186.826,2808.587
200,960,1,460893.584,7326185.965,2816.520
200,960,2,460896.566,7326184.885,2826.532
200,960,3,460898.366,7326184.233,2832.607
200,960,4,460899.130,7326183.955,2835.178
200,960,5,460899.537,7326183.807,2836.547
200,960,6,460900.033,7326183.628,2838.205
200,960,7,460900.618,7326183.416,2840.153
200,960,8,460900.911,7326183.311,2841.127
200,960,9,460901.067,7326183.258,2841.574
200,960,10,460901.407,7326183.140,2842.574
200,960,11,460901.693,7326183.038,2843.475
200,960,12,460903.442,7326182.403,2849.362
200,960,13,460906.733,7326181.208,2860.432
200,960,14,460910.020,7326180.015,2871.482
200,960,15,460913.027,7326178.925,2881.580
200,960,16,460914.718,7326178.311,2887.254
200,960,17,460915.262,7326178.114,2889.078
200,960,18,460915.480,7326178.035,2889.808
200,960,19,460915.480,7326178.035,2889.808
200,960,20,460916.143,7326177.800,2891.858
200,960,21,460918.809,7326176.842,2900.588
210,960,0,460981.099,7326181.352,2799.350
210,960,1,460982.831,7326180.805,2807.008
210,960,2,460985.061,7326180.104,2816.910
210,960,3,460986.418,7326179.676,2822.937
210,960,4,460986.984,7326179.496,2825.438
210,960,5,460987.283,7326179.400,2826.761
210,960,6,460987.644,7326179.286,2828.358
210,960,7,460988.068,7326179.152,2830.231
210,960,8,460988.279,7326179.085,2831.167
210,960,9,460988.321,7326179.068,2831.323
210,960,10,460988.459,7326179.020,2831.889
210,960,11,460988.633,7326178.964,2832.642
210,960,12,460989.946,7326178.550,2838.462
210,960,13,460992.411,7326177.773,2849.401
210,960,14,460994.867,7326176.998,2860.298
210,960,15,460997.110,7326176.292,2870.246
210,960,16,460998.366,7326175.896,2875.821
210,960,17,460998.768,7326175.769,2877.597
210,960,18,460998.928,7326175.719,2878.309
210,960,19,460998.928,7326175.719,2878.309
210,960,20,460999.286,7326175.602,2879.839
210,960,21,461001.049,7326175.034,2887.576
210,970,0,461070.955,7326175.450,2796.207
210,970,1,461071.965,7326175.514,2803.563
210,970,2,461073.270,7326175.623,2813.312
210,970,3,461074.055,7326175.697,2819.256
210,970,4,461074.376,7326175.726,2821.675
210,970,5,461074.546,7326175.740,2822.948
210,970,6,461074.755,7326175.756,2824.490
210,970,7,461075.002,7326175.772,2826.301
210,970,8,461075.125,7326175.781,2827.207
210,970,9,461075.152,7326175.771,2827.309
210,970,10,461075.242,7326175.748,2827.717
210,970,11,461075.346,7326175.740,2828.344
210,970,12,461076.104,7326175.805,2834.011
210,970,13,461077.532,7326175.924,2844.682
210,970,14,461078.955,7326176.043,2855.314
210,970,15,461080.259,7326176.150,2865.034
210,970,16,461080.990,7326176.209,2870.473
210,970,17,461081.221,7326176.227,2872.190
210,970,18,461081.314,7326176.235,2872.884
210,970,19,461081.314,7326176.235,2872.884
210,970,20,461081.533,7326176.210,2874.141
210,970,21,461082.559,7326176.260,2881.504
210,980,0,461128.583,7326256.594,2785.841
210,980,1,461129.529,7326256.906,2793.024
210,980,2,461130.785,7326257.339,2802.720
210,980,3,461131.541,7326257.607,2808.627
210,980,4,461131.845,7326257.714,2810.993
210,980,5,461132.005,7326257.770,2812.233
210,980,6,461132.201,7326257.836,2813.738
210,980,7,461132.433,7326257.914,2815.511
210,980,8,461132.550,7326257.952,2816.397
210,980,9,461132.556,7326257.952,2816.426
210,980,10,461132.607,7326257.954,2816.688
210,980,11,461132.690,7326257.971,2817.232
210,980,12,461133.415,7326258.220,2822.821
210,980,13,461134.786,7326258.688,2833.368
210,980,14,461136.152,7326259.156,2843.886
210,980,15,461137.406,7326259.584,2853.530
210,980,16,461138.108,7326259.824,2858.929
210,980,17,461138.328,7326259.899,2860.621
210,980,18,461138.417,7326259.930,2861.308
210,980,19,461138.417,7326259.930,2861.308
210,980,20,461138.585,7326259.959,2862.361
210,980,21,461139.517,7326260.269,2869.464
210,990,0,461186.216,7326337.357,2773.111
210,990,1,461187.161,7326337.872,2780.470
210,990,2,461188.444,7326338.585,2790.575
210,990,3,461189.216,7326339.021,2796.720
210,990,4,461189.518,7326339.194,2799.142
210,990,5,461189.676,7326339.284,2800.404
210,990,6,461189.871,7326339.393,2801.943
210,990,7,461190.103,7326339.520,2803.757
210,990,8,461190.218,7326339.584,2804.664
210,990,9,461190.219,7326339.584,2804.670
210,990,10,461190.253,7326339.592,2804.850
210,990,11,461190.324,7326339.623,2805.336
210,990,12,461191.052,7326340.029,2811.088
210,990,13,461192.434,7326340.796,2821.968
210,990,14,461193.815,7326341.562,2832.837
210,990,15,461195.087,7326342.266,2842.832
210,990,16,461195.799,7326342.660,2848.429
210,990,17,461196.020,7326342.783,2850.171
210,990,18,461196.110,7326342.833,2850.880
210,990,19,461196.110,7326342.833,2850.880
210,990,20,461196.252,7326342.889,2851.810
210,990,21,461197.181,7326343.400,2859.082
220,990,0,461296.011,7326367.229,2755.193
220,990,1,461296.525,7326368.163,2762.007
220,990,2,461297.258,7326369.517,2771.743
220,990,3,461297.703,7326370.339,2777.682
220,990,4,461297.873,7326370.647,2779.952
220,990,5,461297.960,7326370.803,2781.116
220,990,6,461298.066,7326370.996,2782.538
220,990,7,461298.193,7326371.226,2784.218
220,990,8,461298.256,7326371.340,2785.058
220,990,9,461298.256,7326371.340,2785.058
220,990,10,461298.260,7326371.342,2785.093
220,990,11,461298.284,7326371.380,2785.406
220,990,12,461298.687,7326372.115,2790.786
220,990,13,461299.454,7326373.513,2800.992
220,990,14,461300.221,7326374.915,2811.207
220,990,15,461300.931,7326376.212,2820.637
220,990,16,461301.328,7326376.939,2825.916
220,990,17,461301.450,7326377.160,2827.537
220,990,18,461301.500,7326377.251,2828.199
220,990,19,461301.500,7326377.251,2828.199
220,990,20,461301.539,7326377.302,2828.683
220,990,21,461302.044,7326378.215,2835.377
220,1000,0,461406.133,7326398.976,2733.487
220,1000,1,461406.003,7326400.408,2739.792
220,1000,2,461405.772,7326402.571,2749.141
220,1000,3,461405.616,7326403.898,2754.843
220,1000,4,461405.559,7326404.386,2756.958
220,1000,5,461405.529,7326404.632,2758.028
220,1000,6,461405.497,7326404.933,2759.341
220,1000,7,461405.463,7326405.287,2760.896
220,1000,8,461405.445,7326405.464,2761.673
220,1000,9,461405.445,7326405.464,2761.674
220,1000,10,461405.448,7326405.467,2761.702
220,1000,11,461405.440,7326405.527,2761.980
220,1000,12,461405.325,7326406.667,2766.966
220,1000,13,461405.114,7326408.827,2776.436
220,1000,14,461404.907,7326410.987,2785.908
220,1000,15,461404.722,7326412.982,2794.661
220,1000,16,461404.620,7326414.097,2799.555
220,1000,17,461404.588,7326414.435,2801.042
220,1000,18,461404.575,7326414.574,2801.652
220,1000,19,461404.575,7326414.574,2801.652
220,1000,20,461404.579,7326414.632,2801.990
220,1000,21,461404.461,7326416.009,2808.079
220,1010,0,461553.107,7326617.023,2675.378
