IL,XL,K,X,Y,Z
280,700,0,460210.124,7323517.178,2652.218
280,700,1,460207.184,7323520.993,2663.420
280,700,2,460204.048,7323525.027,2675.331
280,700,3,460201.696,7323528.069,2684.286
280,700,4,460200.322,7323529.867,2689.542
280,700,5,460199.482,7323530.971,2692.760
280,700,6,460198.565,7323532.178,2696.277
280,700,7,460197.570,7323533.490,2700.093
280,700,8,460196.901,7323534.397,2702.693
280,700,9,460195.974,7323535.651,2706.272
280,700,10,460194.839,7323537.167,2710.625
280,700,11,460194.150,7323538.088,2713.279
280,700,12,460192.279,7323540.508,2720.406
280,700,13,460189.181,7323544.503,2732.188
280,700,14,460186.111,7323548.468,2743.867
280,700,15,460183.458,7323551.886,2753.947
280,700,16,460181.941,7323553.840,2759.709
280,700,17,460181.254,7323554.741,2762.342
280,700,18,460180.964,7323555.125,2763.459
280,700,19,460180.964,7323555.125,2763.459
280,700,20,460180.202,7323556.060,2766.218
280,700,21,460176.416,7323560.998,2780.614
270,710,0,460196.268,7323584.319,2649.631
270,710,1,460192.668,7323587.522,2661.052
270,710,2,460188.827,7323590.942,2673.261
270,710,3,460185.945,7323593.513,2682.423
270,710,4,460184.257,7323595.020,2687.782
270,710,5,460183.227,7323595.940,2691.053
270,710,6,460182.102,7323596.946,2694.627
270,710,7,460180.880,7323598.038,2698.505
270,710,8,460180.060,7323598.774,2701.104
270,710,9,460178.893,7323599.796,2704.748
270,710,10,460177.456,7323601.045,2709.224
270,710,11,460176.603,7323601.802,2711.913
270,710,12,460174.304,7323603.862,2719.240
270,710,13,460170.477,7323607.281,2731.418
270,710,14,460166.675,7323610.678,2743.516
270,710,15,460163.377,7323613.620,2754.002
270,710,16,460161.486,7323615.304,2760.008
270,710,17,460160.636,7323616.067,2762.716
270,710,18,460160.280,7323616.389,2763.854
270,710,19,460160.280,7323616.389,2763.854
270,710,20,460159.210,7323617.223,2767.007
270,710,21,460154.390,7323621.435,2782.112
270,720,0,460239.156,7323696.905,2648.534
270,720,1,460234.760,7323700.084,2660.645
270,720,2,460229.943,7323703.568,2673.924
270,720,3,460226.380,7323706.143,2683.743
270,720,4,460224.358,7323707.606,2689.313
270,720,5,460223.138,7323708.487,2692.671
270,720,6,460221.811,7323709.447,2696.325
270,720,7,460220.376,7323710.484,2700.276
270,720,8,460219.482,7323711.130,2702.733
270,720,9,460218.276,7323712.002,2706.037
270,720,10,460216.746,7323713.109,2710.227
270,720,11,460215.802,7323713.791,2712.822
270,720,12,460212.932,7323715.867,2720.730
270,720,13,460208.147,7323719.328,2733.910
270,720,14,460203.435,7323722.737,2746.886
270,720,15,460199.338,7323725.700,2758.163
270,720,16,460196.997,7323727.394,2764.608
270,720,17,460195.979,7323728.130,2767.408
270,720,18,460195.560,7323728.433,2768.564
270,720,19,460195.560,7323728.433,2768.564
270,720,20,460194.423,7323729.257,2771.650
270,720,21,460188.884,7323733.265,2786.849
260,730,0,460222.140,7323810.592,2645.913
260,730,1,460217.371,7323814.191,2658.251
260,730,2,460212.128,7323818.138,2671.795
260,730,3,460208.276,7323821.040,2681.750
260,730,4,460206.106,7323822.680,2687.368
260,730,5,460204.803,7323823.665,2690.743
260,730,6,460203.384,7323824.739,2694.417
260,730,7,460201.851,7323825.900,2698.393
260,730,8,460200.923,7323826.605,2700.802
260,730,9,460199.657,7323827.581,2704.122
260,730,10,460198.023,7323828.838,2708.405
260,730,11,460197.022,7323829.601,2711.011
260,730,12,460193.883,7323831.968,2719.128
260,730,13,460188.619,7323835.941,2732.753
260,730,14,460183.424,7323839.866,2746.207
260,730,15,460178.889,7323843.294,2757.960
260,730,16,460176.293,7323845.257,2764.690
260,730,17,460175.183,7323846.097,2767.567
260,730,18,460174.730,7323846.439,2768.740
260,730,19,460174.730,7323846.439,2768.740
260,730,20,460173.396,7323847.486,2772.293
260,730,21,460167.270,7323852.166,2788.283
260,740,0,460272.601,7323888.788,2655.487
260,740,1,460267.828,7323892.304,2667.644
260,740,2,460262.559,7323896.176,2681.043
260,740,3,460258.700,7323899.013,2690.859
260,740,4,460256.535,7323900.610,2696.375
260,740,5,460255.239,7323901.566,2699.679
260,740,6,460253.828,7323902.609,2703.278
260,740,7,460252.303,7323903.737,2707.170
260,740,8,460251.397,7323904.410,2709.489
260,740,9,460250.162,7323905.344,2712.680
260,740,10,460248.554,7323906.559,2716.835
260,740,11,460247.566,7323907.297,2719.369
260,740,12,460244.400,7323909.628,2727.429
260,740,13,460239.077,7323913.555,2740.995
260,740,14,460233.822,7323917.437,2754.397
260,740,15,460229.232,7323920.830,2766.108
260,740,16,460226.607,7323922.771,2772.807
260,740,17,460225.494,7323923.594,2775.647
260,740,18,460225.042,7323923.928,2776.800
260,740,19,460225.042,7323923.928,2776.800
260,740,20,460223.709,7323924.963,2780.297
260,740,21,460217.576,7323929.559,2796.065
260,750,0,460314.794,7324008.130,2665.235
260,750,1,460310.136,7324011.663,2677.161
260,750,2,460304.975,7324015.570,2690.369
260,750,3,460301.205,7324018.426,2700.014
260,750,4,460299.098,7324020.025,2705.407
260,750,5,460297.839,7324020.980,2708.628
260,750,6,460296.469,7324022.021,2712.136
260,750,7,460294.987,7324023.148,2715.931
260,750,8,460294.121,7324023.808,2718.150
260,750,9,460292.940,7324024.719,2721.188
260,750,10,460291.386,7324025.917,2725.188
260,750,11,460290.432,7324026.647,2727.636
260,750,12,460287.313,7324029.012,2735.618
260,750,13,460282.051,7324033.008,2749.095
260,750,14,460276.856,7324036.956,2762.403
260,750,15,460272.321,7324040.404,2774.023
260,750,16,460269.732,7324042.373,2780.656
260,750,17,460268.644,7324043.200,2783.442
260,750,18,460268.205,7324043.534,2784.568
260,750,19,460268.205,7324043.534,2784.568
260,750,20,460266.876,7324044.577,2788.016
260,750,21,460260.870,7324049.182,2803.447
250,760,0,460292.755,7324127.142,2669.184
250,760,1,460288.804,7324130.286,2681.532
250,760,2,460284.415,7324133.773,2695.156
250,760,3,460281.245,7324136.292,2704.982
250,760,4,460279.495,7324137.683,2710.430
250,760,5,460278.458,7324138.508,2713.660
250,760,6,460277.330,7324139.405,2717.176
250,760,7,460276.112,7324140.374,2720.979
250,760,8,460275.427,7324140.919,2723.126
250,760,9,460274.510,7324141.657,2726.123
250,760,10,460273.275,7324142.649,2730.160
250,760,11,460272.509,7324143.261,2732.592
250,760,12,460269.896,7324145.337,2740.703
250,760,13,460265.480,7324148.848,2754.456
250,760,14,460261.140,7324152.300,2768.002
250,760,15,460257.353,7324155.313,2779.836
250,760,16,460255.194,7324157.032,2786.594
250,760,17,460254.299,7324157.744,2789.390
250,760,18,460253.940,7324158.029,2790.505
250,760,19,460253.940,7324158.029,2790.505
250,760,20,460252.867,7324158.901,2794.216
250,760,21,460247.991,7324162.803,2809.863
250,770,0,460334.940,7324211.382,2676.808
250,770,1,460331.049,7324214.379,2689.021
250,770,2,460326.723,7324217.705,2702.531
250,770,3,460323.613,7324220.094,2712.230
250,770,4,460321.905,7324221.408,2717.575
250,770,5,460320.895,7324222.184,2720.732
250,770,6,460319.797,7324223.029,2724.169
250,770,7,460318.611,7324223.942,2727.885
250,770,8,460317.959,7324224.444,2729.931
250,770,9,460317.085,7324225.127,2732.764
250,770,10,460315.890,7324226.061,2736.644
250,770,11,460315.148,7324226.635,2739.001
250,770,12,460312.566,7324228.620,2747.066
250,770,13,460308.192,7324231.988,2760.775
250,770,14,460303.896,7324235.298,2774.261
250,770,15,460300.146,7324238.188,2786.043
250,770,16,460298.010,7324239.836,2792.765
250,770,17,460297.131,7324240.512,2795.523
250,770,18,460296.781,7324240.782,2796.618
250,770,19,460296.781,7324240.782,2796.618
250,770,20,460295.717,7324241.630,2800.226
250,770,21,460290.921,7324245.358,2815.598
250,780,0,460383.002,7324291.626,2686.265
250,780,1,460379.200,7324294.531,2697.724
250,780,2,460374.952,7324297.771,2710.473
250,780,3,460371.909,7324300.089,2719.589
250,780,4,460370.249,7324301.355,2724.577
250,780,5,460369.271,7324302.101,2727.512
