IL,XL,K,X,Y,Z
430,990,0,462890.225,7325081.802,2617.903
430,990,1,462895.348,7325079.122,2624.739
430,990,2,462907.496,7325072.774,2641.011
430,990,3,462916.716,7325067.959,2653.392
430,990,4,462919.653,7325066.426,2657.338
430,990,5,462921.139,7325065.652,2659.337
430,990,6,462922.623,7325064.879,2661.331
430,990,7,462924.103,7325064.106,2663.320
430,990,8,462924.844,7325063.720,2664.314
430,990,9,462924.844,7325063.720,2664.314
430,990,10,462924.844,7325063.720,2664.314
430,990,11,462925.469,7325063.394,2665.161
430,990,12,462930.450,7325060.792,2671.850
430,990,13,462939.067,7325056.287,2683.406
430,990,14,462947.428,7325051.917,2694.644
430,990,15,462954.710,7325048.111,2704.444
430,990,16,462958.575,7325046.090,2709.647
430,990,17,462959.876,7325045.412,2711.406
430,990,18,462960.492,7325045.090,2712.239
430,990,19,462960.492,7325045.090,2712.239
430,990,20,462960.492,7325045.090,2712.239
430,990,21,462963.611,7325043.459,2716.411
420,1000,0,462850.593,7325289.965,2592.744
420,1000,1,462855.908,7325287.006,2599.399
420,1000,2,462868.414,7325280.048,2615.067
420,1000,3,462877.880,7325274.784,2626.923
420,1000,4,462880.886,7325273.112,2630.675
420,1000,5,462882.347,7325272.300,2632.494
420,1000,6,462883.834,7325271.473,2634.346
420,1000,7,462885.349,7325270.630,2636.232
420,1000,8,462886.107,7325270.208,2637.175
420,1000,9,462886.107,7325270.208,2637.175
420,1000,10,462886.107,7325270.208,2637.175
420,1000,11,462886.733,7325269.860,2637.959
420,1000,12,462892.132,7325266.854,2644.688
420,1000,13,462901.763,7325261.488,2656.674
420,1000,14,462911.287,7325256.179,2668.532
420,1000,15,462919.651,7325251.517,2678.960
420,1000,16,462924.125,7325249.022,2684.540
420,1000,17,462925.582,7325248.211,2686.356
420,1000,18,462926.261,7325247.833,2687.202
420,1000,19,462926.261,7325247.833,2687.202
420,1000,20,462926.261,7325247.833,2687.202
420,1000,21,462929.887,7325245.809,2691.701
420,1010,0,463006.215,7325509.567,2538.086
420,1010,1,463010.028,7325507.365,2544.752
420,1010,2,463018.878,7325502.257,2560.230
420,1010,3,463025.483,7325498.444,2571.767
420,1010,4,463027.529,7325497.263,2575.318
420,1010,5,463028.481,7325496.714,2576.970
420,1010,6,463029.469,7325496.144,2578.683
420,1010,7,463030.492,7325495.552,2580.456
420,1010,8,463031.003,7325495.257,2581.343
420,1010,9,463031.003,7325495.257,2581.343
420,1010,10,463031.003,7325495.257,2581.343
420,1010,11,463031.418,7325495.018,2582.068
420,1010,12,463035.223,7325492.816,2588.684
420,1010,13,463042.097,7325488.837,2600.609
420,1010,14,463049.097,7325484.782,2612.730
420,1010,15,463055.482,7325481.081,2623.770
420,1010,16,463058.951,7325479.070,2629.761
420,1010,17,463060.054,7325478.430,2631.669
420,1010,18,463060.558,7325478.138,2632.540
420,1010,19,463060.558,7325478.138,2632.540
420,1010,20,463060.558,7325478.138,2632.540
420,1010,21,463063.373,7325476.505,2637.354
420,1020,0,463160.539,7325727.394,2473.648
420,1020,1,463162.936,7325725.960,2479.804
420,1020,2,463168.401,7325722.687,2493.895
420,1020,3,463172.396,7325720.296,2504.181
420,1020,4,463173.593,7325719.580,2507.213
420,1020,5,463174.134,7325719.257,2508.571
420,1020,6,463174.708,7325718.913,2510.008
420,1020,7,463175.317,7325718.549,2511.526
420,1020,8,463175.621,7325718.367,2512.284
420,1020,9,463175.621,7325718.367,2512.284
420,1020,10,463175.621,7325718.367,2512.284
420,1020,11,463175.862,7325718.223,2512.897
420,1020,12,463178.243,7325716.799,2518.829
420,1020,13,463182.603,7325714.191,2529.606
420,1020,14,463187.109,7325711.496,2540.640
420,1020,15,463191.285,7325708.999,2550.779
420,1020,16,463193.569,7325707.633,2556.306
420,1020,17,463194.284,7325707.205,2558.045
420,1020,18,463194.603,7325707.014,2558.820
420,1020,19,463194.603,7325707.014,2558.820
420,1020,20,463194.603,7325707.014,2558.820
420,1020,21,463196.432,7325705.920,2563.160
420,1030,0,463323.333,7325939.259,2418.467
420,1030,1,463324.815,7325938.341,2423.866
420,1030,2,463328.142,7325936.277,2436.124
420,1030,3,463330.505,7325934.810,2444.883
420,1030,4,463331.159,7325934.404,2447.288
