IL,XL,K,X,Y,Z
50,880,0,458954.099,7326898.240,2984.597
50,880,1,458951.319,7326904.933,2995.886
50,880,2,458948.344,7326912.097,3007.971
50,880,3,458946.755,7326915.926,3014.426
50,880,4,458946.004,7326917.735,3017.474
50,880,5,458945.459,7326919.046,3019.684
50,880,6,458944.714,7326920.836,3022.701
50,880,7,458943.771,7326923.104,3026.523
50,880,8,458943.299,7326924.238,3028.434
50,880,9,458941.849,7326927.716,3034.294
50,880,10,458939.671,7326932.942,3043.100
50,880,11,458938.906,7326934.782,3046.200
50,880,12,458937.515,7326938.129,3051.839
50,880,13,458934.819,7326944.621,3062.779
50,880,14,458932.147,7326951.055,3073.617
50,880,15,458929.595,7326957.197,3083.960
50,880,16,458928.139,7326960.703,3089.864
50,880,17,458927.678,7326961.813,3091.732
50,880,18,458927.067,7326963.251,3094.157
50,880,19,458924.722,7326968.854,3103.595
50,880,20,458919.907,7326980.416,3123.063
50,880,21,458914.706,7326992.925,3144.120
40,880,0,458850.517,7326922.661,2999.938
40,880,1,458847.629,7326928.926,3010.668
40,880,2,458844.555,7326935.601,3022.097
40,880,3,458842.921,7326939.162,3028.184
40,880,4,458842.144,7326940.858,3031.084
40,880,5,458841.574,7326942.101,3033.209
40,880,6,458840.797,7326943.794,3036.104
40,880,7,458839.814,7326945.938,3039.770
40,880,8,458839.322,7326947.010,3041.603
40,880,9,458837.776,7326950.365,3047.348
40,880,10,458835.461,7326955.392,3055.956
40,880,11,458834.656,7326957.147,3058.956
40,880,12,458833.227,7326960.278,3064.303
40,880,13,458830.451,7326966.356,3074.685
40,880,14,458827.699,7326972.393,3084.991
40,880,15,458825.053,7326978.198,3094.904
40,880,16,458823.538,7326981.524,3100.583
40,880,17,458823.062,7326982.573,3102.371
40,880,18,458822.291,7326984.187,3105.167
40,880,19,458819.666,7326989.846,3114.880
40,880,20,458814.515,7327001.095,3134.117
40,880,21,458808.995,7327013.182,3154.768
60,890,0,459107.426,7326896.837,2973.853
60,890,1,459106.592,7326902.785,2985.378
60,890,2,459105.699,7326909.171,2997.751
60,890,3,459105.222,7326912.572,3004.338
60,890,4,459104.996,7326914.155,3007.402
60,890,5,459104.834,7326915.285,3009.586
60,890,6,459104.614,7326916.815,3012.544
60,890,7,459104.337,7326918.746,3016.277
60,890,8,459104.198,7326919.711,3018.143
60,890,9,459103.782,7326922.579,3023.682
60,890,10,459103.154,7326926.913,3032.057
60,890,11,459102.930,7326928.466,3035.058
60,890,12,459102.513,7326931.394,3040.720
60,890,13,459101.704,7326937.067,3051.694
60,890,14,459100.898,7326942.720,3062.627
60,890,15,459100.125,7326948.126,3073.079
60,890,16,459099.683,7326951.213,3079.047
60,890,17,459099.542,7326952.198,3080.951
60,890,18,459099.401,7326953.085,3082.654
60,890,19,459098.744,7326957.493,3091.154
60,890,20,459097.306,7326967.328,3110.145
60,890,21,459095.721,7326978.248,3131.241
50,890,0,459024.363,7326901.262,2982.164
50,890,1,459022.508,7326907.490,2993.388
50,890,2,459020.523,7326914.158,3005.408
50,890,3,459019.481,7326917.701,3011.801
50,890,4,459018.994,7326919.362,3014.798
50,890,5,459018.640,7326920.558,3016.956
50,890,6,459018.161,7326922.177,3019.874
50,890,7,459017.556,7326924.218,3023.554
