IL,XL,K,X,Y,Z
420,1040,0,463497.470,7326310.749,2357.688
420,1040,1,463498.363,7326310.023,2362.647
420,1040,2,463500.334,7326308.418,2373.614
420,1040,3,463501.689,7326307.317,2381.139
420,1040,4,463502.029,7326307.043,2382.991
420,1040,5,463502.155,7326306.944,2383.660
420,1040,6,463502.300,7326306.828,2384.440
420,1040,7,463502.466,7326306.696,2385.329
420,1040,8,463502.549,7326306.630,2385.774
420,1040,9,463502.549,7326306.630,2385.774
420,1040,10,463502.549,7326306.630,2385.774
420,1040,11,463502.608,7326306.582,2386.099
420,1040,12,463503.339,7326305.991,2390.115
420,1040,13,463504.691,7326304.899,2397.532
420,1040,14,463506.052,7326303.802,2404.972
420,1040,15,463507.287,7326302.806,2411.727
420,1040,16,463507.961,7326302.263,2415.409
420,1040,17,463508.161,7326302.102,2416.498
420,1040,18,463508.243,7326302.036,2416.945
420,1040,19,463508.243,7326302.036,2416.945
420,1040,20,463508.243,7326302.036,2416.945
420,1040,21,463508.733,7326301.647,2419.549
380,1050,0,463296.332,7326784.589,2352.342
380,1050,1,463297.396,7326783.679,2357.275
380,1050,2,463299.639,7326781.762,2367.665
380,1050,3,463301.103,7326780.512,2374.438
380,1050,4,463301.443,7326780.224,2376.005
380,1050,5,463301.554,7326780.131,2376.509
380,1050,6,463301.699,7326780.008,2377.179
380,1050,7,463301.880,7326779.855,2378.013
380,1050,8,463301.971,7326779.778,2378.430
380,1050,9,463301.971,7326779.778,2378.430
380,1050,10,463301.971,7326779.778,2378.430
380,1050,11,463302.015,7326779.741,2378.631
380,1050,12,463302.842,7326779.038,2382.441
380,1050,13,463304.417,7326777.700,2389.693
380,1050,14,463306.008,7326776.348,2397.014
380,1050,15,463307.490,7326775.091,2403.821
380,1050,16,463308.311,7326774.396,2407.588
380,1050,17,463308.539,7326774.202,2408.637
380,1050,18,463308.629,7326774.126,2409.049
380,1050,19,463308.629,7326774.126,2409.049
380,1050,20,463308.629,7326774.126,2409.049
380,1050,21,463309.274,7326773.582,2411.999
390,1050,0,463334.866,7326756.893,2345.139
390,1050,1,463335.942,7326755.992,2350.168
390,1050,2,463338.217,7326754.087,2360.795
390,1050,3,463339.710,7326752.839,2367.753
390,1050,4,463340.062,7326752.546,2369.380
390,1050,5,463340.179,7326752.450,2369.915
390,1050,6,463340.331,7326752.324,2370.611
390,1050,7,463340.517,7326752.170,2371.469
390,1050,8,463340.610,7326752.092,2371.898
390,1050,9,463340.610,7326752.092,2371.898
