IL,XL,X,Y,Z_CONFORM,Z_POLY,DIST
0,0,403762.0,7266123.7,4709.36,3391.78,67210.7
1,0,404762.0,7266123.7,4714.38,3391.78,66507.1
2,0,405762.0,7266123.7,4945.64,3391.78,65810.9
3,0,406762.0,7266123.7,4993.48,3391.78,65122.2
4,0,407762.0,7266123.7,4952.06,3391.78,64441.2
5,0,408762.0,7266123.7,4599.58,3391.78,63768.1
6,0,409762.0,7266123.7,3650.84,3391.78,63103.3
7,0,410762.0,7266123.7,3467.02,3391.78,62446.9
8,0,411762.0,7266123.7,3299.32,3391.78,61799.3
9,0,412762.0,7266123.7,3332.71,3391.78,61160.7
10,0,413762.0,7266123.7,3646.57,3391.78,60531.2
11,0,414762.0,7266123.7,3906.16,3391.78,59911.4
12,0,415762.0,7266123.7,4006.46,3391.78,59301.3
13,0,416762.0,7266123.7,4070.18,3391.78,58701.3
14,0,417762.0,7266123.7,3833.61,3391.78,58111.7
15,0,418762.0,7266123.7,4052.09,3391.78,57532.8
16,0,419762.0,7266123.7,3750.22,3391.78,56964.9
17,0,420762.0,7266123.7,3360.20,3391.78,56408.3
18,0,421762.0,7266123.7,3197.08,3391.77,55863.3
19,0,422762.0,7266123.7,3047.08,3391.77,55330.3
20,0,423762.0,7266123.7,2841.32,3391.77,54809.5
21,0,424762.0,7266123.7,2698.10,3391.77,54301.4
22,0,425762.0,7266123.7,2338.50,3391.77,53806.2
23,0,426762.0,7266123.7,2502.59,3391.76,53324.3
24,0,427762.0,7266123.7,2201.26,3391.76,52856.0
25,0,428762.0,7266123.7,1854.66,3391.76,52401.7
26,0,429762.0,7266123.7,1766.90,3391.75,51961.7
27,0,430762.0,7266123.7,1714.37,3391.75,51536.4
28,0,431762.0,7266123.7,1619.37,3391.74,51126.0
29,0,432762.0,7266123.7,1592.72,3391.74,50731.0
30,0,433762.0,7266123.7,1431.02,3391.73,50351.6
31,0,434762.0,7266123.7,1537.14,3336.14,49988.3
32,0,435762.0,7266123.7,1508.21,3280.55,49641.3
33,0,436762.0,7266123.7,1547.63,3224.97,49311.0
34,0,437762.0,7266123.7,1544.58,3169.38,48997.6
35,0,438762.0,7266123.7,1576.76,3113.79,48701.5
36,0,439762.0,7266123.7,1867.78,3058.20,48423.0
37,0,440762.0,7266123.7,2113.53,3002.61,48162.4
38,0,441762.0,7266123.7,1893.86,2947.02,47919.8
39,0,442762.0,7266123.7,2197.88,2891.43,47695.7
40,0,443762.0,7266123.7,2285.52,2835.84,47490.2
41,0,444762.0,7266123.7,2435.70,2780.25,47303.5
42,0,445762.0,7266123.7,2530.12,2724.66,47136.0
43,0,446762.0,7266123.7,2637.66,2669.07,46987.6
44,0,447762.0,7266123.7,2972.10,2613.48,46858.7
45,0,448762.0,7266123.7,3218.39,2557.89,46749.4
46,0,449762.0,7266123.7,2944.33,2502.31,46659.7
47,0,450762.0,7266123.7,3125.32,2446.72,46589.9
48,0,451762.0,7266123.7,3006.01,2391.14,46540.0
49,0,452762.0,7266123.7,2850.13,2335.56,46510.0
50,0,453762.0,7266123.7,2534.96,2279.98,46500.0
51,0,454762.0,7266123.7,2165.52,2224.40,46510.0
52,0,455762.0,7266123.7,2076.55,2168.82,46540.0
53,0,456762.0,7266123.7,2188.68,2113.24,46589.9
54,0,457762.0,7266123.7,2316.92,2057.67,46659.7
55,0,458762.0,7266123.7,3210.08,2002.09,46749.4
56,0,459762.0,7266123.7,3506.98,1946.52,46858.7
57,0,460762.0,7266123.7,3492.82,1890.95,46987.6
58,0,461762.0,7266123.7,3389.40,1835.38,47136.0
59,0,462762.0,7266123.7,3102.56,1779.81,47303.5
60,0,463762.0,7266123.7,3041.96,1724.24,47490.2
61,0,464762.0,7266123.7,2894.41,1668.67,47695.7
62,0,465762.0,7266123.7,2285.84,1613.10,47919.8
63,0,466762.0,7266123.7,2317.47,1557.53,48162.4
64,0,467762.0,7266123.7,2178.40,1501.96,48423.0
65,0,468762.0,7266123.7,2067.27,1446.39,48701.5
66,0,469762.0,7266123.7,1927.54,1390.82,48997.6
67,0,470762.0,7266123.7,1834.67,1335.25,49311.0
68,0,471762.0,7266123.7,2004.18,1279.67,49641.3
69,0,472762.0,7266123.7,2124.86,1224.10,49988.3
70,0,473762.0,7266123.7,1772.19,1168.53,50351.6
71,0,474762.0,7266123.7,1933.92,1112.96,50731.0
72,0,475762.0,7266123.7,1870.97,1057.38,51126.0
73,0,476762.0,7266123.7,1865.06,1001.81,51536.4
74,0,477762.0,7266123.7,1802.51,946.23,51961.7
