IL,XL,X,Y,Z
0,0,453215.789,7320008.994,3040.032
0,10,453380.430,7320263.131,3083.703
0,20,453548.092,7320513.186,3130.398
0,30,453716.857,7320762.612,3188.975
0,40,453885.033,7321014.043,3243.330
0,50,454051.788,7321265.481,3278.681
0,60,454214.720,7321513.578,3308.212
0,70,454376.373,7321761.039,3332.941
0,80,454539.518,7322010.227,3343.546
0,90,454702.513,7322258.579,3358.150
0,100,454818.373,7322434.787,3368.039
0,110,454887.632,7322539.714,3359.492
0,120,454942.696,7322623.816,3347.530
0,130,454982.894,7322687.204,3343.705
0,140,455022.910,7322750.588,3341.306
0,150,455063.045,7322813.971,3340.082
0,160,455103.468,7322877.599,3336.907
0,170,455144.032,7322941.103,3327.829
0,180,455184.689,7323004.606,3313.300
0,190,455225.358,7323068.231,3299.549
0,200,455266.050,7323131.851,3288.333
0,210,455306.795,7323195.472,3277.019
0,220,455347.498,7323259.099,3267.136
0,230,455388.091,7323322.974,3260.339
0,240,455428.473,7323387.092,3258.405
0,250,455468.600,7323451.338,3262.938
0,260,455508.568,7323515.586,3272.608
0,270,455548.433,7323579.955,3285.769
0,280,455588.256,7323644.573,3299.970
0,290,455628.146,7323709.070,3307.604
0,300,455668.044,7323773.565,3309.720
0,310,455707.829,7323838.183,3316.232
0,320,455747.543,7323902.804,3325.747
0,330,455787.254,7323967.551,3332.093
0,340,455826.940,7324032.173,3336.178
0,350,455866.603,7324096.800,3340.212
0,360,455906.286,7324161.548,3339.912
0,370,455945.993,7324226.295,3335.759
0,380,455985.808,7324291.044,3330.969
0,390,456025.747,7324355.796,3324.483
0,400,456065.602,7324420.546,3321.518
0,410,456105.284,7324485.290,3324.102
0,420,456144.942,7324550.036,3325.631
0,430,456184.725,7324614.783,3324.833
0,440,456224.375,7324679.651,3331.734
0,450,456263.840,7324744.392,3347.132
0,460,456303.477,7324809.012,3357.092
0,470,456343.263,7324873.633,3361.550
0,480,456382.988,7324937.999,3369.918
0,490,456422.720,7325002.368,3377.588
0,500,456462.645,7325066.741,3376.693
0,510,456502.662,7325130.986,3372.513
0,520,456542.662,7325195.233,3371.316
0,530,456582.724,7325259.484,3371.577
0,540,456622.808,7325323.736,3370.196
0,550,456662.861,7325387.989,3366.783
0,560,456702.912,7325452.242,3363.358
0,570,456742.955,7325516.494,3360.768
0,580,456782.998,7325580.746,3357.132
0,590,456823.088,7325645.002,3351.331
0,600,456863.169,7325709.136,3346.579
0,610,456903.154,7325773.270,3344.270
0,620,456943.078,7325837.522,3342.517
0,630,456982.910,7325901.900,3341.910
0,640,457022.524,7325966.281,3345.709
0,650,457061.860,7326030.658,3352.627
0,660,457101.093,7326095.033,3357.893
0,670,457140.429,7326159.292,3362.279
0,680,457179.597,7326223.798,3370.726
0,690,457218.405,7326288.420,3382.915
0,700,457257.159,7326352.920,3390.210
0,710,457295.949,7326417.420,3394.238
0,720,457334.688,7326481.795,3401.036
0,730,457373.456,7326546.049,3406.538
0,740,457412.280,7326610.055,3408.193
0,750,457451.250,7326673.935,3405.773
0,760,457490.328,7326737.691,3400.026
0,770,457529.568,7326801.073,3390.305
0,780,457568.827,7326864.318,3379.334
0,790,457608.312,7326927.070,3362.886
0,800,457650.772,7326996.200,3336.872
0,810,457695.831,7327071.842,3309.248
0,820,457741.026,7327146.997,3279.984
0,830,457786.318,7327221.646,3250.113
0,840,457831.626,7327295.921,3216.073
0,850,457877.009,7327369.948,3175.483
0,860,457922.481,7327443.475,3134.154
0,870,457967.875,7327516.992,3101.006
0,880,458013.051,7327590.877,3081.259
0,890,458058.135,7327664.761,3068.845
0,900,458103.251,7327738.521,3058.446
0,910,458148.367,7327812.277,3052.157
0,920,458193.400,7327886.156,3052.766
0,930,458238.412,7327960.149,3054.767
0,940,458283.498,7328033.900,3050.415
0,950,458328.628,7328107.409,3039.018
0,960,458373.715,7328180.909,3023.728
0,970,458418.692,7328254.537,3013.142
0,980,458463.579,7328328.539,3012.904
0,990,458508.453,7328402.914,3019.725
0,1000,458592.690,7328540.917,3019.329
0,1010,458716.328,7328742.539,3016.018
0,1020,458840.201,7328944.783,3030.442
0,1030,458964.332,7329147.522,3048.805
0,1040,459088.552,7329349.888,3053.200
0,1050,459212.872,7329552.011,3051.008
0,1060,459337.380,7329754.127,3050.484
0,1070,459462.160,7329956.116,3050.484
0,1080,459602.352,7330182.735,3050.484
0,1090,459758.181,7330433.621,3050.484
0,1100,459914.809,7330684.145,3050.484
0,1110,460072.195,7330934.430,3050.484
10,0,453260.370,7319925.544,3024.970
10,10,453434.676,7320170.616,3068.642
10,20,453617.206,7320403.668,3104.034
10,30,453803.046,7320632.707,3133.206
10,40,453986.712,7320866.514,3150.821
10,50,454166.919,7321101.842,3163.357
10,60,454339.331,7321333.568,3210.620
10,70,454504.881,7321564.165,3279.004
10,80,454670.759,7321796.520,3319.387
10,90,454839.086,7322027.311,3335.490
10,100,454962.589,7322194.999,3337.796
10,110,455041.078,7322300.802,3334.226
10,120,455102.075,7322384.969,3322.154
10,130,455144.640,7322447.998,3309.029
10,140,455186.644,7322511.141,3308.003
10,150,455228.465,7322574.652,3313.201
10,160,455270.608,7322638.287,3316.338
10,170,455313.090,7322701.671,3316.943
10,180,455355.945,7322764.927,3312.382
10,190,455398.907,7322828.304,3304.984
10,200,455441.969,7322891.671,3294.971
10,210,455485.004,7322955.286,3283.830
10,220,455527.644,7323019.284,3275.183
10,230,455570.264,7323083.406,3263.573
10,240,455612.819,7323147.653,3251.528
10,250,455654.777,7323212.397,3248.241
10,260,455696.148,7323277.640,3253.052
10,270,455737.005,7323343.503,3263.718
10,280,455777.527,7323409.736,3276.773
10,290,455818.184,7323475.849,3281.249
10,300,455858.648,7323542.219,3284.145
10,310,455898.733,7323608.839,3290.863
10,320,455938.822,7323675.330,3294.735
10,330,455978.877,7323742.070,3297.985
10,340,456019.025,7323808.692,3300.844
10,350,456059.385,7323874.946,3301.594
10,360,456099.655,7323941.451,3301.025
10,370,456139.498,7324008.336,3302.030
10,380,456179.120,7324075.592,3301.611
10,390,456219.018,7324142.597,3296.093
10,400,456259.439,7324209.106,3286.003
10,410,456299.863,7324275.609,3279.292
10,420,456340.093,7324342.109,3275.680
10,430,456380.354,7324408.857,3270.515
10,440,456420.133,7324475.969,3274.446
10,450,456459.450,7324543.197,3289.069
10,460,456499.029,7324610.170,3302.650
10,470,456538.919,7324676.897,3314.176
10,480,456578.909,7324743.254,3330.149
10,490,456619.100,7324809.235,3347.318
10,500,456659.746,7324875.096,3355.668
10,510,456700.876,7324940.593,3354.785
10,520,456742.042,7325005.965,3355.129
10,530,456783.128,7325071.460,3358.673
10,540,456824.382,7325136.841,3358.342
10,550,456865.623,7325202.229,3357.707
10,560,456906.767,7325267.618,3358.721
10,570,456947.933,7325332.884,3357.429
10,580,456989.192,7325398.031,3353.266
10,590,457030.628,7325463.179,3344.795
10,600,457071.972,7325528.204,3337.042
10,610,457113.076,7325592.982,3333.727
10,620,457153.906,7325658.121,3331.971
10,630,457194.383,7325723.637,3331.187
10,640,457234.282,7325789.281,3334.969
10,650,457273.255,7325855.286,3346.709
10,660,457311.805,7325921.536,3358.737
10,670,457350.776,7325987.418,3361.962
10,680,457389.231,7326053.541,3366.554
10,690,457426.913,7326119.911,3376.848
10,700,457464.898,7326185.555,3380.524
10,710,457502.399,7326251.455,3384.838
10,720,457538.763,7326318.089,3401.105
10,730,457574.720,7326384.835,3418.152
10,740,457611.223,7326450.702,3424.828
10,750,457648.841,7326515.094,3420.293
10,760,457686.727,7326578.857,3411.566
10,770,457724.829,7326641.962,3399.005
10,780,457764.217,7326703.326,3379.794
10,790,457804.468,7326763.224,3356.217
10,800,457846.859,7326832.995,3324.338
10,810,457891.971,7326911.506,3285.571
10,820,457937.628,7326988.448,3245.324
10,830,457981.954,7327066.155,3213.276
10,840,458025.282,7327144.169,3190.356
10,850,458069.008,7327221.159,3168.013
10,860,458113.301,7327296.904,3144.324
10,870,458157.925,7327371.770,3123.597
10,880,458202.512,7327446.515,3110.839
10,890,458246.792,7327521.530,3104.607
10,900,458291.498,7327595.783,3095.161
10,910,458336.755,7327669.014,3081.884
10,920,458381.847,7327742.264,3069.351
10,930,458426.687,7327815.765,3057.319
10,940,458471.172,7327889.758,3047.445
10,950,458515.597,7327963.501,3033.951
10,960,458559.904,7328037.101,3018.646
10,970,458603.789,7328111.575,3012.227
10,980,458647.349,7328186.809,3015.291
10,990,458690.809,7328262.415,3024.381
10,1000,458773.373,7328402.038,3026.973
10,1010,458895.202,7328605.536,3017.814
10,1020,459017.495,7328810.021,3019.149
10,1030,459140.342,7329015.882,3038.020
10,1040,459263.550,7329221.248,3052.255
10,1050,459387.109,7329425.502,3052.227
10,1060,459511.187,7329629.508,3050.175
10,1070,459635.976,7329833.378,3050.484
10,1080,459776.489,7330061.768,3050.484
10,1090,459933.405,7330314.079,3050.484
10,1100,460092.732,7330565.062,3050.484
10,1110,460254.551,7330814.727,3050.484
20,0,453304.898,7319841.770,3022.654
20,10,453488.295,7320077.890,3055.687
20,20,453685.957,7320291.901,3081.051
20,30,453889.636,7320495.448,3091.892
20,40,454086.848,7320708.024,3100.840
20,50,454278.789,7320925.374,3109.166
20,60,454464.187,7321142.323,3142.882
20,70,454641.653,7321358.657,3196.294
20,80,454814.636,7321576.042,3230.153
20,90,454984.002,7321796.220,3246.525
20,100,455110.681,7321957.416,3248.130
20,110,455195.454,7322059.594,3248.903
20,120,455260.368,7322141.881,3245.683
20,130,455306.536,7322203.316,3231.237
20,140,455352.440,7322264.728,3220.437
20,150,455398.050,7322326.462,3212.815
20,160,455443.264,7322388.840,3210.005
20,170,455487.497,7322452.624,3220.017
20,180,455531.974,7322516.533,3229.970
20,190,455577.244,7322579.771,3232.337
20,200,455622.655,7322643.000,3231.783
20,210,455667.502,7322707.234,3237.131
20,220,455711.590,7322772.335,3247.599
20,230,455755.711,7322837.450,3247.834
20,240,455799.895,7322902.571,3238.712
20,250,455843.834,7322967.892,3227.506
20,260,455887.119,7323033.960,3217.946
20,270,455930.055,7323100.216,3210.362
20,280,455973.554,7323165.347,3200.309
20,290,456017.485,7323229.961,3183.676
20,300,456060.910,7323295.208,3168.418
20,310,456103.593,7323361.083,3156.227
20,320,456145.921,7323427.325,3142.325
20,330,456187.736,7323494.334,3133.277
20,340,456229.124,7323562.033,3129.618
20,350,456270.522,7323629.750,3125.020
20,360,456311.545,7323697.802,3124.414
20,370,456351.861,7323766.624,3132.809
20,380,456391.621,7323835.979,3146.688
20,390,456428.392,7323908.686,3171.801
20,400,456462.856,7323984.237,3199.116
20,410,456499.244,7324057.488,3215.487
20,420,456538.029,7324127.885,3220.863
20,430,456577.296,7324197.796,3221.951
20,440,456615.971,7324268.264,3227.947
20,450,456654.084,7324339.450,3241.170
20,460,456692.267,7324410.616,3258.348
20,470,456731.282,7324480.886,3276.247
20,480,456771.713,7324549.561,3289.970
20,490,456813.097,7324617.041,3301.083
20,500,456854.851,7324684.278,3310.911
20,510,456897.333,7324751.011,3312.491
20,520,456940.002,7324817.391,3312.565
20,530,456982.534,7324883.888,3307.467
20,540,457025.211,7324950.503,3297.162
20,550,457067.735,7325017.261,3302.298
20,560,457110.056,7325084.272,3314.488
20,570,457152.350,7325151.180,3322.114
20,580,457195.419,7325216.776,3321.928
20,590,457239.349,7325281.246,3313.634
20,600,457282.854,7325346.055,3308.326
20,610,457325.123,7325411.974,3310.184
20,620,457367.173,7325477.779,3309.870
20,630,457408.665,7325543.954,3309.190
20,640,457448.672,7325611.597,3316.770
20,650,457488.359,7325678.868,3325.859
20,660,457527.642,7325746.024,3333.286
20,670,457566.701,7325813.185,3334.683
20,680,457604.942,7325880.568,3333.830
20,690,457642.394,7325948.032,3334.315
20,700,457679.747,7326015.015,3332.423
20,710,457714.617,7326084.025,3343.443
20,720,457746.792,7326155.383,3375.685
20,730,457778.566,7326226.481,3409.336
20,740,457810.659,7326296.682,3430.362
20,750,457845.391,7326363.179,3430.851
20,760,457884.017,7326424.012,3410.172
20,770,457922.845,7326483.917,3384.235
20,780,457961.444,7326543.419,3354.765
20,790,458000.956,7326600.900,3321.627
20,800,458043.606,7326670.206,3283.293
20,810,458089.239,7326751.042,3238.658
