IL,XL,X,Y,Z
0.0,0.0,453215.79,7320008.99,3040.032
0.0,2.6,453257.90,7320075.18,3051.853
0.0,5.2,453300.30,7320140.92,3063.131
0.0,7.7,453342.96,7320206.28,3074.125
0.0,10.3,453385.85,7320271.32,3085.094
0.0,12.9,453428.94,7320336.09,3096.297
0.0,15.5,453472.19,7320400.66,3107.993
0.0,18.1,453515.58,7320465.08,3120.442
0.0,20.7,453559.07,7320529.41,3133.901
0.0,23.2,453602.63,7320593.71,3148.425
0.0,25.8,453646.21,7320658.05,3163.676
0.0,28.4,453689.79,7320722.48,3179.273
0.0,31.0,453733.32,7320787.08,3194.834
0.0,33.6,453776.79,7320851.85,3209.973
0.0,36.1,453820.20,7320916.77,3224.294
0.0,38.7,453863.56,7320981.80,3237.404
0.0,41.3,453906.89,7321046.88,3248.926
0.0,43.9,453950.13,7321111.96,3258.883
0.0,46.5,453993.22,7321176.91,3267.691
0.0,49.0,454036.05,7321241.65,3275.785
0.0,51.6,454078.55,7321306.06,3283.582
0.0,54.2,454120.74,7321370.19,3291.267
0.0,56.8,454162.71,7321434.14,3298.863
0.0,59.4,454204.55,7321498.03,3306.390
0.0,62.0,454246.35,7321561.97,3313.835
0.0,64.5,454288.13,7321625.92,3320.927
0.0,67.1,454329.86,7321689.82,3327.261
0.0,69.7,454371.50,7321753.58,3332.430
0.0,72.3,454413.08,7321817.19,3336.151
0.0,74.9,454454.81,7321880.96,3338.820
0.0,77.4,454496.99,7321945.35,3341.080
0.0,80.0,454539.91,7322010.82,3343.571
0.0,82.6,454583.58,7322077.41,3346.776
0.0,85.2,454626.95,7322143.50,3350.556
0.0,87.8,454668.71,7322207.11,3354.623
0.0,90.3,454707.54,7322266.24,3358.689
0.0,92.9,454742.48,7322319.41,3362.441
0.0,95.5,454773.48,7322366.58,3365.504
0.0,98.1,454800.67,7322407.90,3367.490
0.0,100.7,454824.16,7322443.57,3368.015
0.0,103.3,454844.34,7322474.15,3366.954
0.0,105.8,454862.03,7322500.95,3364.674
0.0,108.4,454878.15,7322525.35,3361.593
0.0,111.0,454893.58,7322548.73,3358.132
0.0,113.6,454908.69,7322571.68,3354.641
0.0,116.2,454923.16,7322593.75,3351.385
0.0,118.7,454936.62,7322614.42,3348.620
0.0,121.3,454948.73,7322633.20,3346.593
0.0,123.9,454959.56,7322650.18,3345.298
0.0,126.5,454969.60,7322666.07,3344.489
0.0,129.1,454979.35,7322681.57,3343.908
0.0,131.7,454989.29,7322697.37,3343.313
0.0,134.2,454999.54,7322713.61,3342.650
0.0,136.8,455009.97,7322730.12,3341.993
0.0,139.4,455020.46,7322746.71,3341.420
0.0,142.0,455030.89,7322763.20,3340.997
0.0,144.6,455041.25,7322779.57,3340.693
0.0,147.1,455051.58,7322795.88,3340.427
0.0,149.7,455061.92,7322812.20,3340.121
0.0,152.3,455072.31,7322828.58,3339.693
0.0,154.9,455082.74,7322845.01,3339.064
0.0,157.5,455093.19,7322861.45,3338.153
0.0,160.0,455103.66,7322877.90,3336.880
0.0,162.6,455114.12,7322894.31,3335.179
0.0,165.2,455124.59,7322910.71,3333.029
0.0,167.8,455135.06,7322927.09,3330.425
0.0,170.4,455145.54,7322943.46,3327.358
0.0,173.0,455156.03,7322959.85,3323.863
0.0,175.5,455166.53,7322976.24,3320.078
0.0,178.1,455177.03,7322992.63,3316.157
0.0,180.7,455187.53,7323009.04,3312.256
0.0,183.3,455198.03,7323025.46,3308.488
0.0,185.9,455208.52,7323041.89,3304.891
0.0,188.4,455219.02,7323058.32,3301.492
0.0,191.0,455229.52,7323074.74,3298.320
0.0,193.6,455240.02,7323091.17,3295.353
0.0,196.2,455250.52,7323107.59,3292.507
0.0,198.8,455261.03,7323124.01,3289.692
0.0,201.3,455271.54,7323140.43,3286.823
0.0,203.9,455282.06,7323156.86,3283.885
0.0,206.5,455292.58,7323173.28,3280.932
0.0,209.1,455303.10,7323189.70,3278.021
0.0,211.7,455313.62,7323206.12,3275.207
0.0,214.3,455324.13,7323222.54,3272.525
0.0,216.8,455334.63,7323238.96,3269.995
0.0,219.4,455345.13,7323255.39,3267.640
0.0,222.0,455355.63,7323271.85,3265.481
0.0,224.6,455366.11,7323288.33,3263.545
0.0,227.2,455376.59,7323304.82,3261.862
0.0,229.7,455387.05,7323321.34,3260.461
0.0,232.3,455397.50,7323337.87,3259.375
0.0,234.9,455407.94,7323354.41,3258.643
0.0,237.5,455418.36,7323370.97,3258.308
0.0,240.1,455428.75,7323387.54,3258.414
0.0,242.7,455439.13,7323404.12,3258.990
0.0,245.2,455449.50,7323420.70,3260.010
0.0,247.8,455459.85,7323437.29,3261.438
0.0,250.4,455470.18,7323453.88,3263.236
0.0,253.0,455480.51,7323470.46,3265.368
0.0,255.6,455490.83,7323487.05,3267.803
0.0,258.1,455501.14,7323503.63,3270.508
0.0,260.7,455511.44,7323520.22,3273.453
0.0,263.3,455521.74,7323536.82,3276.613
0.0,265.9,455532.03,7323553.43,3279.981
0.0,268.5,455542.32,7323570.06,3283.552
0.0,271.0,455552.60,7323586.71,3287.317
0.0,273.6,455562.88,7323603.39,3291.188
0.0,276.2,455573.16,7323620.07,3294.975
0.0,278.8,455583.44,7323636.76,3298.480
0.0,281.4,455593.72,7323653.43,3301.513
0.0,284.0,455604.02,7323670.09,3303.983
0.0,286.5,455614.32,7323686.73,3305.896
0.0,289.1,455624.62,7323703.37,3307.261
0.0,291.7,455634.92,7323720.01,3308.099
0.0,294.3,455645.23,7323736.65,3308.580
0.0,296.9,455655.53,7323753.30,3308.973
0.0,299.4,455665.82,7323769.96,3309.546
0.0,302.0,455676.10,7323786.63,3310.543
0.0,304.6,455686.38,7323803.31,3311.998
0.0,307.2,455696.64,7323820.00,3313.846
0.0,309.8,455706.90,7323836.68,3316.022
0.0,312.3,455717.16,7323853.36,3318.450
0.0,314.9,455727.41,7323870.03,3320.995
0.0,317.5,455737.66,7323886.71,3323.505
0.0,320.1,455747.91,7323903.41,3325.826
0.0,322.7,455758.16,7323920.11,3327.840
0.0,325.3,455768.42,7323936.83,3329.560
0.0,327.8,455778.67,7323953.55,3331.027
0.0,330.4,455788.92,7323970.26,3332.284
0.0,333.0,455799.16,7323986.95,3333.382
0.0,335.6,455809.41,7324003.63,3334.398
0.0,338.2,455819.65,7324020.31,3335.413
0.0,340.7,455829.89,7324036.98,3336.505
0.0,343.3,455840.13,7324053.65,3337.682
0.0,345.9,455850.37,7324070.33,3338.820
0.0,348.5,455860.61,7324087.02,3339.784
0.0,351.1,455870.85,7324103.72,3340.438
0.0,353.7,455881.09,7324120.43,3340.716
0.0,356.2,455891.33,7324137.15,3340.634
0.0,358.8,455901.58,7324153.87,3340.213
0.0,361.4,455911.82,7324170.58,3339.477
0.0,364.0,455922.07,7324187.30,3338.490
