IL,XL,X,Y,Z
0,0,453210.172,7320015.926,3178.643
0,10,453374.335,7320263.365,3226.397
0,20,453539.978,7320508.732,3271.925
0,30,453705.754,7320752.883,3319.693
0,40,453870.600,7320999.154,3353.518
0,50,454034.142,7321245.898,3378.605
0,60,454195.893,7321491.078,3398.853
0,70,454355.846,7321735.368,3421.670
0,80,454515.618,7321980.551,3444.680
0,90,454677.721,7322227.867,3457.247
0,100,454797.674,7322410.877,3467.474
0,110,454874.467,7322528.574,3471.482
0,120,454933.535,7322619.713,3468.963
0,130,454974.353,7322684.039,3460.579
0,140,455015.057,7322748.125,3454.525
0,150,455055.584,7322812.094,3456.904
0,160,455096.242,7322875.957,3463.263
0,170,455136.961,7322939.696,3463.540
0,180,455177.746,7323003.434,3451.275
0,190,455218.769,7323067.058,3431.618
0,200,455259.837,7323130.443,3415.049
0,210,455300.802,7323193.830,3404.803
0,220,455341.653,7323257.575,3396.904
0,230,455382.267,7323321.451,3394.586
0,240,455422.708,7323385.220,3397.214
0,250,455463.109,7323449.232,3400.947
0,260,455503.494,7323513.364,3402.023
0,270,455543.762,7323577.384,3402.790
0,280,455583.827,7323641.652,3409.156
0,290,455623.761,7323706.032,3420.310
0,300,455663.720,7323770.295,3425.507
0,310,455703.725,7323834.565,3423.028
0,320,455743.651,7323899.069,3426.278
0,330,455783.422,7323963.701,3434.815
0,340,455823.095,7324028.209,3436.190
0,350,455862.722,7324092.953,3431.643
0,360,455902.291,7324157.701,3427.949
0,370,455941.853,7324222.333,3424.935
0,380,455981.471,7324287.082,3422.262
0,390,456021.135,7324351.951,3420.262
0,400,456060.862,7324416.704,3416.419
0,410,456100.661,7324481.215,3411.941
0,420,456140.480,7324545.844,3410.076
0,430,456180.299,7324610.476,3410.246
0,440,456220.039,7324674.998,3416.257
0,450,456259.745,7324739.391,3428.048
0,460,456299.600,7324803.780,3434.338
0,470,456339.606,7324868.174,3430.159
0,480,456379.613,7324932.305,3428.970
0,490,456419.620,7324996.439,3433.180
0,500,456459.721,7325060.699,3431.204
0,510,456499.824,7325124.827,3428.739
0,520,456539.846,7325188.957,3432.752
0,530,456579.842,7325253.209,3438.407
0,540,456619.876,7325317.577,3439.692
0,550,456659.857,7325381.947,3437.722
0,560,456699.741,7325446.316,3436.538
0,570,456739.609,7325510.683,3436.045
0,580,456779.493,7325575.048,3435.359
0,590,456819.409,7325639.536,3432.420
0,600,456859.243,7325704.021,3428.417
0,610,456898.923,7325768.502,3426.523
0,620,456938.570,7325832.869,3426.064
