IL,XL,X,Y,Z
0.0,0.0,453210.17,7320015.93,3178.643
0.0,2.6,453252.23,7320079.84,3191.798
0.0,5.2,453294.46,7320143.63,3204.234
0.0,7.7,453336.83,7320207.28,3216.151
0.0,10.3,453379.32,7320270.80,3227.745
0.0,12.9,453421.90,7320334.18,3239.214
0.0,15.5,453464.55,7320397.42,3250.757
0.0,18.0,453507.26,7320460.51,3262.571
0.0,20.6,453549.99,7320523.46,3274.853
0.0,23.2,453592.72,7320586.30,3287.577
0.0,25.8,453635.43,7320649.11,3300.265
0.0,28.3,453678.11,7320712.00,3312.385
0.0,30.9,453720.72,7320775.07,3323.413
0.0,33.5,453763.25,7320838.34,3333.127
0.0,36.1,453805.72,7320901.79,3341.764
0.0,38.6,453848.10,7320965.34,3349.592
0.0,41.2,453890.41,7321028.96,3356.880
0.0,43.8,453932.64,7321092.58,3363.758
0.0,46.4,453974.76,7321156.16,3370.218
0.0,48.9,454016.77,7321219.63,3376.241
0.0,51.5,454058.65,7321282.96,3381.817
0.0,54.1,454100.39,7321346.15,3387.051
0.0,56.7,454142.02,7321409.25,3392.140
0.0,59.2,454183.56,7321472.32,3397.284
0.0,61.8,454225.02,7321535.41,3402.670
0.0,64.4,454266.37,7321598.47,3408.353
0.0,67.0,454307.55,7321661.40,3414.312
0.0,69.5,454348.50,7321724.10,3420.525
0.0,72.1,454389.19,7321786.53,3426.939
0.0,74.7,454429.89,7321849.05,3433.289
0.0,77.3,454471.01,7321912.18,3439.223
0.0,79.8,454512.94,7321976.45,3444.388
0.0,82.4,454555.84,7322042.05,3448.526
0.0,85.0,454598.79,7322107.59,3451.843
0.0,87.6,454640.52,7322171.19,3454.684
0.0,90.1,454679.76,7322230.97,3457.396
0.0,92.7,454715.50,7322285.46,3460.217
0.0,95.3,454747.68,7322334.53,3463.026
0.0,97.9,454776.41,7322378.38,3465.624
0.0,100.4,454801.79,7322417.17,3467.811
0.0,103.0,454824.10,7322451.31,3469.456
0.0,105.6,454843.99,7322481.80,3470.587
0.0,108.2,454862.18,7322509.70,3471.257
0.0,110.7,454879.35,7322536.08,3471.518
0.0,113.3,454895.87,7322561.48,3471.390
0.0,115.9,454911.46,7322585.49,3470.836
0.0,118.5,454925.77,7322607.63,3469.812
0.0,121.0,454938.48,7322627.43,3468.278
0.0,123.6,454949.65,7322644.97,3466.291
0.0,126.2,454959.84,7322661.07,3464.028
0.0,128.8,454969.64,7322676.59,3461.678
0.0,131.3,454979.62,7322692.35,3459.426
0.0,133.9,454989.98,7322708.67,3457.431
0.0,136.5,455000.57,7322725.33,3455.830
0.0,139.1,455011.23,7322742.10,3454.757
0.0,141.6,455021.81,7322758.77,3454.334
0.0,144.2,455032.27,7322775.29,3454.557
0.0,146.8,455042.67,7322791.71,3455.328
0.0,149.4,455053.05,7322808.10,3456.550
0.0,151.9,455063.47,7322824.52,3458.116
0.0,154.5,455073.94,7322840.97,3459.861
0.0,157.1,455084.42,7322857.43,3461.587
0.0,159.7,455094.92,7322873.88,3463.098
0.0,162.3,455105.41,7322890.32,3464.201
0.0,164.8,455115.90,7322906.73,3464.741
0.0,167.4,455126.38,7322923.14,3464.574
0.0,170.0,455136.87,7322939.55,3463.554
0.0,172.6,455147.35,7322955.96,3461.579
0.0,175.1,455157.85,7322972.38,3458.717
0.0,177.7,455168.36,7322988.80,3455.081
0.0,180.3,455178.89,7323005.21,3450.782
0.0,182.9,455189.43,7323021.61,3445.957
0.0,185.4,455200.00,7323038.00,3440.818
0.0,188.0,455210.57,7323054.38,3435.588
0.0,190.6,455221.15,7323070.74,3430.494
0.0,193.2,455231.73,7323087.08,3425.709
0.0,195.7,455242.31,7323103.40,3421.312
0.0,198.3,455252.89,7323119.72,3417.367
0.0,200.9,455263.45,7323136.03,3413.935
0.0,203.5,455274.01,7323152.33,3411.001
0.0,206.0,455284.56,7323168.65,3408.423
0.0,208.6,455295.10,7323184.99,3406.052
0.0,211.2,455305.64,7323201.35,3403.742
0.0,213.8,455316.18,7323217.75,3401.473
0.0,216.3,455326.70,7323234.17,3399.368
0.0,218.9,455337.21,7323250.61,3397.553
0.0,221.5,455347.70,7323267.06,3396.153
0.0,224.1,455358.17,7323283.52,3395.206
0.0,226.6,455368.63,7323299.97,3394.683
0.0,229.2,455379.07,7323316.42,3394.552
0.0,231.8,455389.50,7323332.85,3394.781
0.0,234.4,455399.92,7323349.26,3395.314
0.0,236.9,455410.33,7323365.68,3396.084
0.0,239.5,455420.74,7323382.11,3397.023
0.0,242.1,455431.14,7323398.56,3398.062
0.0,244.7,455441.55,7323415.04,3399.115
0.0,247.2,455451.95,7323431.53,3400.091
0.0,249.8,455462.36,7323448.04,3400.898
0.0,252.4,455472.76,7323464.56,3401.463
0.0,255.0,455483.17,7323481.08,3401.806
0.0,257.5,455493.57,7323497.60,3401.977
0.0,260.1,455503.96,7323514.11,3402.023
0.0,262.7,455514.35,7323530.59,3402.011
0.0,265.3,455524.72,7323547.07,3402.065
0.0,267.8,455535.09,7323563.56,3402.321
0.0,270.4,455545.44,7323580.06,3402.915
0.0,273.0,455555.77,7323596.59,3403.952
0.0,275.6,455566.10,7323613.14,3405.454
0.0,278.1,455576.40,7323629.71,3407.431
0.0,280.7,455586.70,7323646.28,3409.892
0.0,283.3,455596.99,7323662.87,3412.756
0.0,285.9,455607.27,7323679.45,3415.780
0.0,288.4,455617.55,7323696.03,3418.703
0.0,291.0,455627.84,7323712.60,3421.268
0.0,293.6,455638.12,7323729.16,3423.293
0.0,296.2,455648.41,7323745.71,3424.703
0.0,298.7,455658.71,7323762.25,3425.425
0.0,301.3,455669.01,7323778.79,3425.400
0.0,303.9,455679.31,7323795.33,3424.780
0.0,306.5,455689.62,7323811.88,3423.922
0.0,309.0,455699.92,7323828.44,3423.192
0.0,311.6,455710.22,7323845.02,3422.941
0.0,314.2,455720.51,7323861.62,3423.303
0.0,316.8,455730.79,7323878.24,3424.263
0.0,319.4,455741.06,7323894.87,3425.801
0.0,321.9,455751.32,7323911.52,3427.875
0.0,324.5,455761.57,7323928.17,3430.253
0.0,327.1,455771.81,7323944.82,3432.602
0.0,329.7,455782.04,7323961.45,3434.592
0.0,332.2,455792.26,7323978.07,3435.933
0.0,334.8,455802.48,7323994.68,3436.599
0.0,337.4,455812.70,7324011.28,3436.665
0.0,340.0,455822.91,7324027.91,3436.203
0.0,342.5,455833.12,7324044.56,3435.301
0.0,345.1,455843.33,7324061.23,3434.109
0.0,347.7,455853.53,7324077.92,3432.795
0.0,350.3,455863.73,7324094.61,3431.524
0.0,352.8,455873.93,7324111.29,3430.416
0.0,355.4,455884.12,7324127.97,3429.451
0.0,358.0,455894.31,7324144.64,3428.587
0.0,360.6,455904.49,7324161.30,3427.776
0.0,363.1,455914.68,7324177.95,3426.987
0.0,365.7,455924.87,7324194.59,3426.211
0.0,368.3,455935.06,7324211.23,3425.444
0.0,370.9,455945.25,7324227.88,3424.681
0.0,373.4,455955.45,7324244.55,3423.929
0.0,376.0,455965.65,7324261.22,3423.218
