IL,XL,X,Y,Z
0,0,453212.918,7320012.610,3106.247
0,10,453377.432,7320263.271,3153.822
0,20,453544.133,7320511.020,3199.464
0,30,453711.477,7320757.900,3252.379
0,40,453878.001,7321006.783,3296.902
0,50,454043.080,7321255.852,3327.999
0,60,454205.547,7321502.660,3352.489
0,70,454366.370,7321748.558,3376.179
0,80,454527.728,7321995.592,3393.418
0,90,454690.280,7322243.453,3407.115
0,100,454808.093,7322422.974,3417.548
0,110,454880.997,7322534.152,3415.714
0,120,454938.060,7322621.780,3408.268
0,130,454978.637,7322685.644,3401.701
0,140,455018.989,7322749.370,3397.715
0,150,455059.284,7322813.047,3398.702
0,160,455099.813,7322876.793,3400.470
0,170,455140.456,7322940.424,3395.963
0,180,455181.191,7323004.049,3382.325
0,190,455222.048,7323067.664,3365.568
0,200,455262.937,7323131.158,3351.673
0,210,455303.796,7323194.659,3340.866
0,220,455344.562,7323258.351,3332.097
0,230,455385.155,7323322.230,3327.718
0,240,455425.560,7323386.172,3328.238
0,250,455465.826,7323450.296,3332.390
0,260,455506.008,7323514.488,3337.626
0,270,455546.076,7323578.686,3344.505
0,280,455586.014,7323643.125,3354.942
0,290,455625.921,7323707.558,3364.526
0,300,455665.853,7323771.939,3368.122
0,310,455705.752,7323836.380,3370.084
0,320,455745.568,7323900.928,3376.627
0,330,455785.307,7323965.617,3384.104
0,340,455824.989,7324030.188,3386.730
0,350,455864.631,7324094.870,3386.510
0,360,455904.250,7324159.608,3384.661
0,370,455943.875,7324224.295,3381.198
0,380,455983.580,7324289.036,3377.673
0,390,456023.375,7324353.848,3373.534
0,400,456063.165,7324418.612,3370.053
0,410,456102.902,7324483.222,3369.160
0,420,456142.639,7324547.892,3369.099
0,430,456182.443,7324612.578,3368.764
0,440,456222.147,7324677.279,3375.057
0,450,456261.728,7324741.834,3388.743
0,460,456301.473,7324806.336,3396.885
0,470,456341.380,7324870.862,3396.755
0,480,456381.241,7324935.067,3400.444
0,490,456421.107,7324999.287,3406.497
0,500,456461.122,7325063.613,3405.023
0,510,456501.175,7325127.772,3401.939
0,520,456541.181,7325191.949,3403.562
0,530,456581.209,7325256.203,3406.636
0,540,456621.264,7325320.507,3406.729
0,550,456661.275,7325384.820,3404.127
0,560,456701.234,7325449.133,3401.952
0,570,456741.178,7325513.430,3400.642
0,580,456781.129,7325577.720,3398.780
0,590,456821.123,7325642.099,3394.533
0,600,456861.070,7325706.433,3390.118
0,610,456900.884,7325770.750,3388.160
0,620,456940.651,7325835.054,3387.268
0,630,456980.378,7325899.491,3385.992
0,640,457019.916,7325963.993,3388.669
0,650,457059.230,7326028.424,3394.647
0,660,457098.430,7326092.792,3398.919
0,670,457137.568,7326157.237,3405.851
0,680,457176.588,7326221.871,3416.892
0,690,457215.448,7326286.423,3426.680
0,700,457254.287,7326350.911,3430.528
0,710,457293.095,7326415.406,3432.861
0,720,457331.742,7326479.771,3440.653
0,730,457370.368,7326544.093,3448.230
0,740,457409.100,7326608.234,3450.708
0,750,457447.869,7326672.228,3452.521
0,760,457486.686,7326736.126,3451.921
0,770,457525.801,7326799.685,3442.236
0,780,457565.227,7326862.869,3429.098
0,790,457604.922,7326925.641,3412.631
0,800,457647.406,7326995.136,3385.361
0,810,457692.559,7327071.222,3356.633
0,820,457737.856,7327146.901,3330.258
0,830,457783.225,7327222.216,3304.937
0,840,457828.571,7327297.212,3278.801
0,850,457873.938,7327372.007,3248.741
0,860,457919.510,7327446.293,3216.199
0,870,457965.137,7327520.378,3187.688
0,880,458010.630,7327594.614,3170.998
0,890,458056.077,7327668.886,3165.457
0,900,458101.581,7327743.037,3158.848
0,910,458147.150,7327817.008,3147.584
0,920,458192.706,7327891.026,3140.425
0,930,458238.329,7327964.862,3131.873
0,940,458283.931,7328038.731,3122.884
0,950,458329.506,7328112.591,3115.165
0,960,458375.138,7328186.160,3098.703
0,970,458420.661,7328259.989,3085.374
0,980,458466.050,7328334.202,3090.184
0,990,458511.443,7328408.655,3105.121
0,1000,458596.280,7328546.732,3102.007
0,1010,458720.278,7328748.092,3091.594
0,1020,458844.218,7328950.001,3105.539
0,1030,458968.212,7329152.272,3125.354
0,1040,459092.142,7329354.243,3138.885
0,1050,459216.169,7329556.233,3150.499
0,1060,459340.201,7329758.058,3155.513
0,1070,459464.210,7329959.708,3155.513
0,1080,459603.330,7330186.123,3155.513
0,1090,459757.512,7330437.348,3155.513
0,1100,459911.569,7330688.617,3155.513
0,1110,460065.436,7330939.987,3155.513
10,0,453253.451,7319938.517,3110.232
10,10,453430.041,7320178.382,3142.132
