IL,XL,X,Y,Z
0.0,0.0,453212.92,7320012.61,3106.247
0.0,2.6,453255.00,7320077.53,3119.596
0.0,5.2,453297.29,7320142.18,3132.008
0.0,7.7,453339.78,7320206.59,3143.764
0.0,10.3,453382.44,7320270.78,3155.144
0.0,12.9,453425.23,7320334.78,3166.429
0.0,15.5,453468.15,7320398.62,3177.899
0.0,18.0,453511.15,7320462.32,3189.835
0.0,20.6,453554.23,7320525.91,3202.515
0.0,23.2,453597.34,7320589.42,3215.993
0.0,25.8,453640.46,7320652.95,3229.865
0.0,28.3,453683.55,7320716.56,3243.673
0.0,30.9,453726.59,7320780.33,3256.961
0.0,33.5,453769.56,7320844.30,3269.430
0.0,36.1,453812.45,7320908.41,3281.008
0.0,38.6,453855.27,7320972.63,3291.647
0.0,41.2,453898.02,7321036.89,3301.299
0.0,43.8,453940.68,7321101.15,3310.005
0.0,46.4,453983.22,7321165.34,3317.909
0.0,48.9,454025.58,7321229.37,3325.155
0.0,51.5,454067.74,7321293.20,3331.889
0.0,54.1,454109.69,7321356.83,3338.270
0.0,56.7,454151.48,7321420.34,3344.463
0.0,59.2,454193.17,7321483.79,3350.634
0.0,61.8,454234.78,7321547.26,3356.927
0.0,64.4,454276.32,7321610.72,3363.261
0.0,67.0,454317.72,7321674.06,3369.423
0.0,69.5,454358.96,7321737.21,3375.197
0.0,72.1,454400.02,7321800.12,3380.398
0.0,74.7,454441.15,7321863.13,3385.052
0.0,77.3,454482.70,7321926.74,3389.274
0.0,79.8,454525.03,7321991.46,3393.180
0.0,82.4,454568.24,7322057.45,3396.875
0.0,85.0,454611.39,7322123.25,3400.424
0.0,87.6,454653.18,7322186.93,3403.882
0.0,90.1,454692.31,7322246.54,3407.300
0.0,92.7,454727.76,7322300.55,3410.663
0.0,95.3,454759.45,7322348.85,3413.722
0.0,97.9,454787.51,7322391.61,3416.180
0.0,100.4,454812.05,7322429.00,3417.738
0.0,103.0,454833.37,7322461.50,3418.236
0.0,105.6,454852.20,7322490.22,3417.841
0.0,108.2,454869.36,7322516.39,3416.769
0.0,110.7,454885.64,7322541.25,3415.238
0.0,113.3,454901.45,7322565.42,3413.427
0.0,115.9,454916.50,7322588.50,3411.457
0.0,118.5,454930.44,7322609.98,3409.441
0.0,121.0,454942.93,7322629.36,3407.493
0.0,123.6,454954.00,7322646.69,3405.674
0.0,126.2,454964.15,7322662.71,3403.982
0.0,128.8,454973.94,7322678.20,3402.411
0.0,131.3,454983.88,7322693.93,3400.956
0.0,133.9,454994.15,7322710.17,3399.658
0.0,136.5,455004.64,7322726.72,3398.604
0.0,139.1,455015.20,7322743.38,3397.879
0.0,141.6,455025.68,7322759.95,3397.562
0.0,144.2,455036.08,7322776.38,3397.629
0.0,146.8,455046.42,7322792.73,3397.989
0.0,149.4,455056.76,7322809.07,3398.547
0.0,151.9,455067.15,7322825.44,3399.205
0.0,154.5,455077.57,7322841.86,3399.838
0.0,157.1,455088.03,7322858.29,3400.309
0.0,159.7,455098.49,7322874.72,3400.477
0.0,162.3,455108.96,7322891.13,3400.212
0.0,164.8,455119.42,7322907.52,3399.425
0.0,167.4,455129.89,7322923.90,3398.040
0.0,170.0,455140.36,7322940.28,3395.985
0.0,172.6,455150.84,7322956.66,3393.220
0.0,175.1,455161.33,7322973.04,3389.850
0.0,177.7,455171.82,7322989.43,3386.017
0.0,180.3,455182.33,7323005.82,3381.865
0.0,182.9,455192.84,7323022.21,3377.530
0.0,185.4,455203.36,7323038.60,3373.136
0.0,188.0,455213.89,7323054.98,3368.804
0.0,190.6,455224.42,7323071.35,3364.656
0.0,193.2,455234.95,7323087.71,3360.771
0.0,195.7,455245.48,7323104.06,3357.147
0.0,198.3,455256.01,7323120.41,3353.768
0.0,200.9,455266.54,7323136.75,3350.621
0.0,203.5,455277.07,7323153.10,3347.680
0.0,206.0,455287.59,7323169.45,3344.906
0.0,208.6,455298.11,7323185.81,3342.259
0.0,211.2,455308.63,7323202.18,3339.698
0.0,213.8,455319.13,7323218.57,3337.236
0.0,216.3,455329.63,7323234.98,3334.940
0.0,218.9,455340.12,7323251.39,3332.881
0.0,221.5,455350.60,7323267.83,3331.126
0.0,224.1,455361.07,7323284.27,3329.708
0.0,226.6,455371.52,7323300.73,3328.626
0.0,229.2,455381.96,7323317.19,3327.879
0.0,231.8,455392.39,7323333.65,3327.468
0.0,234.4,455402.80,7323350.11,3327.380
0.0,236.9,455413.20,7323366.57,3327.599
0.0,239.5,455423.60,7323383.05,3328.110
0.0,242.1,455433.98,7323399.55,3328.892
0.0,244.7,455444.35,7323416.06,3329.893
0.0,247.2,455454.72,7323432.58,3331.050
0.0,249.8,455465.08,7323449.10,3332.298
0.0,252.4,455475.44,7323465.64,3333.583
0.0,255.0,455485.79,7323482.17,3334.902
0.0,257.5,455496.13,7323498.70,3336.267
0.0,260.1,455506.47,7323515.23,3337.692
0.0,262.7,455516.81,7323531.76,3339.200
0.0,265.3,455527.13,7323548.28,3340.853
0.0,267.8,455537.44,7323564.82,3342.722
0.0,270.4,455547.75,7323581.37,3344.877
0.0,273.0,455558.04,7323597.95,3347.343
0.0,275.6,455568.33,7323614.55,3350.040
0.0,278.1,455578.61,7323631.16,3352.872
0.0,280.7,455588.88,7323647.76,3355.741
0.0,283.3,455599.16,7323664.36,3358.538
0.0,285.9,455609.44,7323680.96,3361.130
0.0,288.4,455619.72,7323697.55,3363.385
0.0,291.0,455630.00,7323714.13,3365.170
0.0,293.6,455640.28,7323730.71,3366.455
0.0,296.2,455650.57,7323747.29,3367.334
0.0,298.7,455660.85,7323763.87,3367.916
0.0,301.3,455671.13,7323780.46,3368.305
0.0,303.9,455681.41,7323797.05,3368.634
0.0,306.5,455691.69,7323813.64,3369.060
0.0,309.0,455701.96,7323830.25,3369.738
0.0,311.6,455712.22,7323846.85,3370.816
0.0,314.2,455722.48,7323863.47,3372.298
0.0,316.8,455732.74,7323880.09,3374.091
0.0,319.4,455742.98,7323896.73,3376.098
0.0,321.9,455753.23,7323913.38,3378.220
0.0,324.5,455763.46,7323930.05,3380.326
0.0,327.1,455773.70,7323946.71,3382.273
0.0,329.7,455783.93,7323963.37,3383.914
0.0,332.2,455794.15,7323980.01,3385.129
0.0,334.8,455804.37,7323996.63,3385.947
0.0,337.4,455814.59,7324013.26,3386.451
0.0,340.0,455824.80,7324029.89,3386.727
0.0,342.5,455835.02,7324046.53,3386.846
0.0,345.1,455845.23,7324063.19,3386.836
0.0,347.7,455855.44,7324079.85,3386.710
0.0,350.3,455865.64,7324096.52,3386.483
0.0,352.8,455875.85,7324113.20,3386.163
0.0,355.4,455886.05,7324129.87,3385.736
0.0,358.0,455896.25,7324146.54,3385.187
0.0,360.6,455906.46,7324163.21,3384.500
0.0,363.1,455916.66,7324179.87,3383.678
0.0,365.7,455926.86,7324196.53,3382.768
0.0,368.3,455937.07,7324213.19,3381.822
0.0,370.9,455947.28,7324229.85,3380.893
0.0,373.4,455957.50,7324246.52,3380.000
0.0,376.0,455967.72,7324263.19,3379.114
0.0,378.6,455977.95,7324279.87,3378.200
0.0,381.2,455988.19,7324296.55,3377.224
0.0,383.7,455998.44,7324313.24,3376.182
0.0,386.3,456008.69,7324329.94,3375.100
0.0,388.9,456018.94,7324346.63,3374.005
0.0,391.5,456029.19,7324363.32,3372.925
0.0,394.0,456039.44,7324380.01,3371.904
0.0,396.6,456049.69,7324396.69,3370.993
0.0,399.2,456059.94,7324413.36,3370.246
0.0,401.8,456070.18,7324430.01,3369.711
0.0,404.3,456080.41,7324446.65,3369.380
0.0,406.9,456090.64,7324463.29,3369.210
0.0,409.5,456100.87,7324479.92,3369.160
0.0,412.1,456111.10,7324496.57,3369.184
0.0,414.6,456121.33,7324513.22,3369.226
0.0,417.2,456131.57,7324529.88,3369.223
0.0,419.8,456141.81,7324546.54,3369.114
0.0,422.4,456152.06,7324563.20,3368.868
0.0,424.9,456162.31,7324579.86,3368.612
0.0,427.5,456172.56,7324596.52,3368.523
0.0,430.1,456182.81,7324613.18,3368.781
0.0,432.7,456193.05,7324629.85,3369.541
0.0,435.2,456203.28,7324646.51,3370.879
0.0,437.8,456213.50,7324663.18,3372.850
0.0,440.4,456223.71,7324679.83,3375.512
0.0,443.0,456233.90,7324696.47,3378.823
0.0,445.5,456244.09,7324713.09,3382.497
0.0,448.1,456254.28,7324729.71,3386.204
0.0,450.7,456264.49,7324746.32,3389.619
0.0,453.3,456274.71,7324762.93,3392.498
0.0,455.8,456284.94,7324779.54,3394.753
0.0,458.4,456295.19,7324796.15,3396.308
0.0,461.0,456305.45,7324812.78,3397.097
0.0,463.6,456315.72,7324829.41,3397.216
0.0,466.1,456326.01,7324846.03,3396.991
0.0,468.7,456336.29,7324862.64,3396.764
0.0,471.3,456346.56,7324879.22,3396.866
0.0,473.9,456356.83,7324895.77,3397.440
0.0,476.5,456367.10,7324912.30,3398.446
0.0,479.0,456377.36,7324928.82,3399.831
0.0,481.6,456387.62,7324945.34,3401.537
0.0,484.2,456397.88,7324961.87,3403.372
0.0,486.8,456408.14,7324978.41,3405.050
0.0,489.3,456418.42,7324994.96,3406.284
0.0,491.9,456428.71,7325011.53,3406.817
0.0,494.5,456439.01,7325028.10,3406.683
0.0,497.1,456449.32,7325044.67,3406.070
0.0,499.6,456459.63,7325061.23,3405.166
0.0,502.2,456469.95,7325077.77,3404.156
0.0,504.8,456480.27,7325094.29,3403.190
0.0,507.4,456490.58,7325110.81,3402.408
0.0,509.9,456500.90,7325127.33,3401.946
0.0,512.5,456511.20,7325143.85,3401.907
0.0,515.1,456521.51,7325160.37,3402.240
0.0,517.7,456531.81,7325176.90,3402.849
0.0,520.2,456542.11,7325193.44,3403.638
0.0,522.8,456552.41,7325209.98,3404.514
0.0,525.4,456562.72,7325226.53,3405.385
0.0,528.0,456573.03,7325243.08,3406.156
0.0,530.5,456583.35,7325259.63,3406.736
0.0,533.1,456593.66,7325276.19,3407.062
0.0,535.7,456603.98,7325292.75,3407.137
0.0,538.3,456614.30,7325309.32,3406.972
0.0,540.8,456624.61,7325325.88,3406.577
0.0,543.4,456634.92,7325342.44,3405.989
