IL,XL,X,Y,Z
0,0,453214.778,7320010.271,3063.299
0,10,453379.379,7320263.185,3108.255
0,20,453546.708,7320512.430,3154.533
0,30,453714.978,7320760.963,3211.125
0,40,453882.582,7321011.512,3262.012
0,50,454048.736,7321262.112,3295.964
0,60,454211.524,7321509.773,3323.668
0,70,454372.885,7321756.681,3348.030
0,80,454535.377,7322005.082,3361.060
0,90,454698.200,7322253.252,3375.430
0,100,454814.723,7322430.600,3385.637
0,110,454885.276,7322537.736,3379.437
0,120,454941.052,7322623.097,3369.014
0,130,454981.391,7322686.653,3364.173
0,140,455021.524,7322750.156,3361.266
0,150,455061.707,7322813.643,3360.928
0,160,455102.164,7322877.313,3359.566
0,170,455142.756,7322940.863,3352.100
0,180,455183.443,7323004.411,3337.845
0,190,455224.181,7323068.030,3323.019
0,200,455264.944,7323131.603,3310.858
0,210,455305.730,7323195.181,3299.726
0,220,455346.453,7323258.832,3290.274
0,230,455387.043,7323322.709,3284.377
0,240,455427.431,7323386.765,3283.361
0,250,455467.608,7323450.967,3287.767
0,260,455507.652,7323515.195,3295.834
0,270,455547.590,7323579.503,3306.752
0,280,455587.452,7323644.057,3319.648
0,290,455627.347,7323708.531,3328.015
0,300,455667.258,7323772.985,3330.647
0,310,455707.083,7323837.539,3335.532
0,320,455746.833,7323902.131,3344.027
0,330,455786.554,7323966.857,3350.781
0,340,455826.239,7324031.463,3354.318
0,350,455865.893,7324096.108,3356.846
0,360,455905.552,7324160.850,3356.032
0,370,455945.228,7324225.576,3352.151
0,380,455985.002,7324290.321,3347.845
0,390,456024.888,7324355.094,3342.211
0,400,456064.720,7324419.853,3339.043
0,410,456104.421,7324484.545,3340.395
0,420,456144.107,7324549.261,3341.376
0,430,456183.901,7324613.986,3340.703
0,440,456223.573,7324678.796,3347.338
0,450,456263.076,7324743.470,3362.165
0,460,456302.752,7324808.048,3371.473
0,470,456342.583,7324872.636,3374.253
0,480,456382.356,7324936.936,3380.970
0,490,456422.135,7325001.250,3388.062
0,500,456462.093,7325065.610,3386.952
0,510,456502.122,7325129.819,3383.208
0,520,456542.123,7325194.039,3383.046
0,530,456582.173,7325258.294,3384.306
0,540,456622.247,7325322.564,3383.461
0,550,456662.285,7325386.840,3380.338
0,560,456702.302,7325451.117,3377.362
0,570,456742.309,7325515.382,3375.255
