IL,XL,X,Y,Z
0.0,0.0,453214.78,7320010.27,3063.299
0.0,2.6,453256.91,7320076.06,3075.645
0.0,5.2,453299.31,7320141.47,3087.307
0.0,7.7,453341.95,7320206.55,3098.555
0.0,10.3,453384.79,7320271.34,3109.656
0.0,12.9,453427.82,7320335.90,3120.880
0.0,15.5,453470.99,7320400.26,3132.493
0.0,18.1,453514.28,7320464.48,3144.766
0.0,20.7,453557.66,7320528.60,3157.963
0.0,23.2,453601.09,7320592.68,3172.136
0.0,25.8,453644.55,7320656.78,3186.919
0.0,28.4,453687.99,7320720.98,3201.897
0.0,31.0,453731.39,7320785.34,3216.660
0.0,33.6,453774.72,7320849.89,3230.852
0.0,36.1,453817.98,7320914.59,3244.201
0.0,38.7,453861.19,7320979.38,3256.441
0.0,41.3,453904.35,7321044.23,3267.316
0.0,43.9,453947.42,7321109.07,3276.857
0.0,46.5,453990.34,7321173.80,3285.374
0.0,49.0,454033.04,7321238.34,3293.190
0.0,51.6,454075.45,7321302.60,3300.617
0.0,54.2,454117.59,7321366.61,3307.834
0.0,56.8,454159.53,7321430.46,3314.920
0.0,59.4,454201.36,7321494.25,3321.955
0.0,62.0,454243.13,7321558.08,3328.989
0.0,64.5,454284.86,7321621.91,3335.812
0.0,67.1,454326.50,7321685.66,3342.086
0.0,69.7,454368.03,7321749.25,3347.473
0.0,72.3,454409.45,7321812.65,3351.724
0.0,74.9,454451.01,7321876.20,3355.108
0.0,77.4,454493.01,7321940.39,3358.079
0.0,80.0,454535.77,7322005.68,3361.089
0.0,82.6,454579.32,7322072.12,3364.485
0.0,85.2,454622.63,7322138.13,3368.202
0.0,87.8,454664.37,7322201.73,3372.078
0.0,90.3,454703.24,7322260.92,3375.946
0.0,92.9,454738.27,7322314.26,3379.595
0.0,95.5,454769.42,7322361.69,3382.683
0.0,98.1,454796.82,7322403.38,3384.846
0.0,100.7,454820.59,7322439.52,3385.723
0.0,103.3,454841.09,7322470.66,3385.185
0.0,105.8,454859.14,7322498.05,3383.536
0.0,108.4,454875.60,7322523.04,3381.132
0.0,111.0,454891.33,7322546.94,3378.323
0.0,113.6,454906.68,7322570.32,3375.402
0.0,116.2,454921.33,7322592.72,3372.581
0.0,118.7,454934.93,7322613.62,3370.065
0.0,121.3,454947.12,7322632.54,3368.053
0.0,123.9,454958.01,7322649.60,3366.561
0.0,126.5,454968.07,7322665.51,3365.429
0.0,129.1,454977.84,7322681.02,3364.494
0.0,131.7,454987.81,7322696.82,3363.600
0.0,134.2,454998.08,7322713.10,3362.729
0.0,136.8,455008.55,7322729.65,3361.959
0.0,139.4,455019.07,7322746.27,3361.369
0.0,142.0,455029.52,7322762.79,3361.028
0.0,144.6,455039.90,7322779.20,3360.898
0.0,147.1,455050.24,7322795.53,3360.893
0.0,149.7,455060.59,7322811.87,3360.926
0.0,152.3,455070.98,7322828.26,3360.907
0.0,154.9,455081.42,7322844.70,3360.740
0.0,157.5,455091.88,7322861.16,3360.320
0.0,160.0,455102.35,7322877.61,3359.548
0.0,162.6,455112.83,7322894.04,3358.334
0.0,165.2,455123.30,7322910.44,3356.636
0.0,167.8,455133.78,7322926.83,3354.425
0.0,170.4,455144.27,7322943.23,3351.668
0.0,173.0,455154.76,7322959.62,3348.382
0.0,175.5,455165.26,7322976.02,3344.700
0.0,178.1,455175.77,7322992.43,3340.775
0.0,180.7,455186.28,7323008.85,3336.759
0.0,183.3,455196.80,7323025.27,3332.775
0.0,185.9,455207.31,7323041.69,3328.890
0.0,188.4,455217.83,7323058.12,3325.165
0.0,191.0,455228.35,7323074.54,3321.659
0.0,193.6,455238.87,7323090.95,3318.382
