IL,XL,X,Y,Z
0,0,453211.719,7320014.091,3139.833
0,10,453376.128,7320263.311,3184.374
0,20,453542.375,7320510.050,3230.101
0,30,453709.056,7320755.773,3280.874
0,40,453874.878,7321003.560,3320.802
0,50,454039.306,7321251.657,3349.369
0,60,454201.513,7321497.824,3371.900
0,70,454362.004,7321743.076,3395.062
0,80,454522.705,7321989.331,3414.679
0,90,454685.099,7322236.996,3427.778
0,100,454803.802,7322417.973,3438.104
0,110,454878.303,7322531.840,3438.754
0,120,454936.202,7322620.927,3433.243
0,130,454976.897,7322684.981,3425.763
0,140,455017.392,7322748.851,3420.957
0,150,455057.775,7322812.647,3422.579
0,160,455098.356,7322876.441,3426.234
0,170,455139.033,7322940.117,3423.622
0,180,455179.794,7323003.789,3410.439
0,190,455220.723,7323067.406,3392.443
0,200,455261.687,7323130.854,3377.416
0,210,455302.592,7323194.309,3366.786
0,220,455343.393,7323258.024,3358.338
0,230,455383.994,7323321.904,3354.760
0,240,455424.414,7323385.776,3356.101
0,250,455464.737,7323449.855,3360.038
0,260,455505.003,7323514.025,3363.532
0,270,455545.153,7323578.155,3367.892
0,280,455585.141,7323642.527,3376.668
0,290,455625.059,7323706.939,3386.869
0,300,455665.005,7323771.275,3391.030
0,310,455704.949,7323835.650,3391.142
0,320,455744.809,7323900.180,3396.370
0,330,455784.562,7323964.848,3404.233
0,340,455824.243,7324029.398,3406.290
0,350,455863.881,7324094.105,3404.319
0,360,455903.481,7324158.847,3401.724
0,370,455943.083,7324223.514,3398.416
0,380,455982.755,7324288.258,3395.220
0,390,456022.501,7324353.094,3391.866
0,400,456062.270,7324417.858,3388.152
0,410,456102.033,7324482.430,3385.834
0,420,456141.803,7324547.083,3385.067
0,430,456181.615,7324611.750,3384.900
0,440,456221.336,7324676.387,3390.995
0,450,456260.968,7324740.882,3403.901
0,460,456300.756,7324805.344,3411.295
0,470,456340.705,7324869.829,3409.512
0,480,456380.621,7324934.001,3411.344
0,490,456420.539,7324998.186,3416.718
0,500,456460.589,7325062.493,3415.021
0,510,456500.661,7325126.638,3412.184
0,520,456540.673,7325190.799,3414.711
0,530,456580.691,7325255.056,3418.733
0,540,456620.739,7325319.385,3419.263
0,550,456660.740,7325383.722,3416.873
0,560,456700.672,7325448.059,3415.040
0,570,456740.589,7325512.381,3414.027
0,580,456780.515,7325576.697,3412.618
0,590,456820.482,7325641.118,3408.847
0,600,456860.389,7325705.513,3404.534
0,610,456900.154,7325769.893,3402.567
0,620,456939.878,7325834.218,3401.824
0,630,456979.578,7325898.679,3400.232
0,640,457019.100,7325963.223,3402.426
0,650,457058.411,7326027.676,3408.040
0,660,457097.610,7326092.046,3411.887
0,670,457136.700,7326156.552,3419.449
0,680,457175.675,7326221.227,3431.290
0,690,457214.548,7326285.763,3440.326
0,700,457253.417,7326350.254,3443.033
0,710,457292.240,7326414.751,3444.727
0,720,457330.876,7326479.118,3452.628
0,730,457369.471,7326543.460,3460.717
0,740,457408.198,7326607.641,3463.224
0,750,457446.920,7326671.675,3466.120
0,760,457485.654,7326735.609,3467.127
0,770,457524.731,7326799.227,3457.384
0,780,457564.199,7326862.422,3443.501
0,790,457603.961,7326925.192,3427.051
0,800,457646.478,7326994.776,3399.214
0,810,457691.671,7327070.996,3369.925
0,820,457737.005,7327146.821,3344.235
0,830,457782.409,7327222.318,3319.956
0,840,457827.772,7327297.513,3295.829
0,850,457873.155,7327372.496,3268.289
0,860,457918.770,7327446.970,3237.762
0,870,457964.452,7327521.216,3210.329
0,880,458010.033,7327595.537,3194.127
0,890,458055.570,7327669.913,3190.194
0,900,458101.169,7327744.166,3184.322
0,910,458146.863,7327818.148,3170.980
0,920,458192.555,7327892.141,3160.812
0,930,458238.318,7327965.882,3148.793
0,940,458284.028,7328039.716,3137.838
0,950,458329.685,7328113.581,3129.873
0,960,458375.399,7328187.095,3112.179
0,970,458420.993,7328260.893,3097.424
0,980,458466.438,7328335.071,3102.103
0,990,458511.875,7328409.464,3117.214
0,1000,458596.812,7328547.561,3113.858
0,1010,458720.943,7328748.988,3104.024
0,1020,458844.980,7328950.959,3119.563
0,1030,458969.033,7329153.249,3141.414
0,1040,459092.987,7329355.246,3159.007
0,1050,459216.996,7329557.278,3175.349
0,1060,459340.918,7329759.056,3182.188
0,1070,459464.731,7329960.620,3182.188
0,1080,459603.579,7330186.984,3182.188
0,1090,459757.342,7330438.294,3182.188
0,1100,459910.746,7330689.753,3182.188
0,1110,460063.719,7330941.398,3182.188
10,0,453250.456,7319944.141,3146.923
10,10,453427.999,7320181.816,3174.397
10,20,453610.356,7320411.516,3207.498
10,30,453794.007,7320636.466,3231.529
10,40,453974.074,7320867.044,3245.307
10,50,454150.431,7321100.156,3264.210
10,60,454322.805,7321330.504,3297.718
10,70,454490.896,7321559.563,3336.283
10,80,454656.780,7321790.857,3371.597
10,90,454824.621,7322024.014,3395.839
10,100,454948.335,7322195.246,3408.277
10,110,455027.023,7322303.578,3414.353
10,120,455088.283,7322389.738,3410.910
10,130,455131.062,7322454.112,3402.610
10,140,455173.813,7322518.039,3399.597
10,150,455216.200,7322582.036,3404.966
10,160,455258.747,7322645.994,3410.003
10,170,455301.605,7322709.680,3412.539
10,180,455344.736,7322773.165,3410.516
10,190,455388.265,7322836.477,3399.468
10,200,455432.158,7322899.358,3381.764
10,210,455475.816,7322962.457,3367.221
10,220,455518.956,7323026.214,3358.060
10,230,455561.869,7323090.080,3350.850
10,240,455604.516,7323154.129,3346.867
10,250,455646.828,7323218.532,3345.503
10,260,455688.851,7323283.306,3344.731
10,270,455730.446,7323348.535,3347.098
10,280,455771.625,7323414.031,3353.479
10,290,455812.695,7323479.600,3357.131
10,300,455853.508,7323545.590,3358.864
10,310,455894.180,7323611.711,3358.456
10,320,455935.010,7323677.522,3353.979
10,330,455975.570,7323743.684,3352.462
10,340,456015.678,7323810.252,3354.039
10,350,456055.438,7323877.060,3356.850
10,360,456095.082,7323944.002,3358.713
10,370,456134.530,7324011.145,3358.848
10,380,456173.899,7324078.514,3356.372
10,390,456213.537,7324145.657,3351.268
10,400,456253.453,7324212.480,3345.579
10,410,456293.517,7324279.056,3340.749
10,420,456333.644,7324345.540,3337.370
10,430,456373.813,7324412.139,3335.649
10,440,456413.811,7324478.841,3340.957
10,450,456453.770,7324545.396,3351.869
10,460,456494.094,7324611.548,3360.272
10,470,456534.712,7324677.544,3367.067
10,480,456575.400,7324743.337,3376.925
10,490,456616.198,7324808.747,3386.747
10,500,456657.258,7324874.198,3390.743
10,510,456698.550,7324939.612,3390.549
10,520,456739.769,7325004.900,3393.507
10,530,456780.864,7325070.232,3399.202
10,540,456822.000,7325135.778,3400.989
10,550,456862.979,7325201.574,3403.325
10,560,456903.732,7325267.370,3408.060
10,570,456944.474,7325333.126,3408.167
10,580,456985.315,7325398.931,3402.590
10,590,457026.239,7325464.745,3394.050
10,600,457066.914,7325530.522,3388.997
10,610,457107.330,7325596.193,3388.002
10,620,457147.624,7325661.870,3386.649
10,630,457187.596,7325727.881,3386.559
10,640,457227.101,7325794.052,3390.539
10,650,457266.161,7325860.239,3397.604
10,660,457304.908,7325926.383,3404.252
10,670,457343.404,7325992.553,3410.247
10,680,457381.652,7326058.850,3415.883
10,690,457419.595,7326125.059,3421.153
10,700,457457.249,7326191.190,3425.124
10,710,457494.188,7326257.708,3432.674
10,720,457530.143,7326324.714,3451.263
10,730,457566.052,7326391.502,3467.941
10,740,457602.680,7326457.330,3471.930
10,750,457639.614,7326522.481,3471.935
10,760,457677.140,7326586.567,3467.751
10,770,457715.997,7326649.029,3451.150
10,780,457755.883,7326710.179,3425.902
10,790,457796.144,7326770.558,3399.397
10,800,457838.465,7326840.860,3368.238
10,810,457883.736,7326919.616,3329.773
10,820,457927.848,7326999.107,3302.563
10,830,457970.323,7327079.853,3287.742
10,840,458013.886,7327158.340,3268.696
10,850,458058.175,7327235.286,3248.456
10,860,458102.855,7327311.336,3228.041
10,870,458147.840,7327386.524,3210.532
10,880,458192.789,7327461.486,3199.028
10,890,458237.405,7327536.932,3194.541
10,900,458282.481,7327611.364,3186.923
10,910,458328.218,7327684.533,3172.742
10,920,458373.818,7327757.830,3159.462
10,930,458419.309,7327831.025,3143.960
10,940,458464.451,7327904.753,3135.052
10,950,458509.617,7327978.153,3124.721
10,960,458554.936,7328050.773,3104.949
10,970,458599.770,7328124.381,3096.671
10,980,458644.151,7328199.106,3106.690
10,990,458688.487,7328274.058,3124.596
10,1000,458772.645,7328413.539,3127.331
10,1010,458896.088,7328616.762,3108.332
10,1020,459019.126,7328820.591,3107.614
10,1030,459142.080,7329025.906,3128.430
10,1040,459264.903,7329230.881,3148.094
10,1050,459387.689,7329435.340,3166.651
10,1060,459510.264,7329639.529,3178.648
10,1070,459632.614,7329843.150,3182.188
10,1080,459769.734,7330072.135,3182.188
10,1090,459921.281,7330326.826,3182.188
10,1100,460071.770,7330581.972,3182.188
10,1110,460220.875,7330838.010,3182.188
20,0,453289.373,7319873.545,3144.518
20,10,453479.627,7320099.855,3157.399
20,20,453678.513,7320310.566,3183.928
20,30,453879.518,7320510.577,3196.227
20,40,454071.939,7320721.197,3207.258
20,50,454258.801,7320938.070,3224.072
20,60,454443.347,7321152.846,3248.268
20,70,454623.043,7321367.082,3276.134
20,80,454796.262,7321585.167,3303.810
20,90,454965.761,7321807.488,3322.023
20,100,455092.398,7321971.230,3327.446
20,110,455176.132,7322075.657,3337.321
20,120,455241.061,7322159.062,3338.170
20,130,455287.213,7322221.136,3326.605
20,140,455332.774,7322283.764,3322.322
20,150,455377.664,7322347.222,3330.602
20,160,455422.293,7322411.031,3344.442
20,170,455467.351,7322474.518,3357.085
20,180,455512.593,7322538.141,3369.804
20,190,455558.050,7322601.810,3377.697
20,200,455603.803,7322665.248,3374.858
20,210,455649.507,7322728.777,3367.028
20,220,455694.974,7322792.511,3358.369
20,230,455740.485,7322856.071,3346.157
20,240,455786.927,7322918.261,3327.582
20,250,455834.059,7322979.334,3303.551
20,260,455880.467,7323041.299,3278.850
20,270,455925.517,7323104.945,3258.114
20,280,455969.690,7323169.406,3241.642
20,290,456012.461,7323235.629,3231.348
20,300,456053.700,7323303.867,3229.545
20,310,456094.529,7323372.383,3229.055
20,320,456135.472,7323440.551,3223.885
20,330,456176.440,7323508.694,3218.422
20,340,456216.935,7323577.382,3218.201
20,350,456256.846,7323646.466,3222.583
20,360,456296.526,7323715.745,3226.004
20,370,456336.270,7323784.938,3224.775
20,380,456376.895,7323852.887,3220.323
20,390,456417.897,7323920.359,3221.076
20,400,456457.194,7323989.943,3231.273
20,410,456493.658,7324062.742,3250.040
20,420,456529.107,7324136.691,3270.468
20,430,456566.111,7324208.970,3284.549
20,440,456604.886,7324279.273,3294.573
20,450,456644.642,7324348.628,3304.025
20,460,456685.332,7324416.958,3310.974
20,470,456727.215,7324484.044,3313.741
20,480,456769.429,7324550.878,3316.771
20,490,456811.377,7324617.839,3323.334
20,500,456853.437,7324684.752,3330.870
20,510,456896.021,7324751.294,3333.728
20,520,456938.821,7324817.584,3333.373
20,530,456981.470,7324884.000,3326.504
20,540,457024.071,7324950.585,3317.522
20,550,457066.378,7325017.588,3325.629
20,560,457108.396,7325084.926,3340.586
20,570,457150.193,7325152.473,3350.825
20,580,457191.504,7325220.560,3362.326
20,590,457233.071,7325288.166,3369.326
20,600,457274.891,7325354.999,3371.246
20,610,457316.108,7325422.205,3372.680
20,620,457357.047,7325489.380,3372.007
20,630,457397.567,7325556.762,3373.538
20,640,457437.194,7325624.816,3381.014
20,650,457476.110,7325693.099,3392.179
20,660,457514.755,7325761.196,3401.494
20,670,457553.743,7325828.225,3401.651
20,680,457592.390,7325894.946,3394.869
20,690,457630.294,7325961.890,3387.482
20,700,457667.353,7326029.104,3385.110
20,710,457701.835,7326098.477,3399.199
20,720,457733.774,7326169.982,3431.928
20,730,457765.469,7326241.247,3462.798
20,740,457798.699,7326310.220,3475.640
20,750,457833.777,7326376.352,3473.938
20,760,457870.691,7326439.555,3460.426
20,770,457908.435,7326501.149,3436.382
20,780,457947.150,7326560.793,3403.653
