IL,XL,X,Y,Z
0.0,0.0,453211.72,7320014.09,3139.833
0.0,2.6,453253.81,7320078.55,3151.755
0.0,5.2,453296.09,7320142.81,3163.255
0.0,7.7,453338.53,7320206.89,3174.507
0.0,10.3,453381.12,7320270.79,3185.685
0.0,12.9,453423.83,7320334.52,3196.961
0.0,15.5,453466.63,7320398.11,3208.510
0.0,18.0,453509.51,7320461.55,3220.505
0.0,20.6,453552.43,7320524.87,3233.119
0.0,23.2,453595.38,7320588.10,3246.327
0.0,25.8,453638.33,7320651.32,3259.704
0.0,28.3,453681.25,7320714.63,3272.778
0.0,30.9,453724.11,7320778.10,3285.081
0.0,33.5,453766.89,7320841.77,3296.358
0.0,36.1,453809.61,7320905.61,3306.672
0.0,38.6,453852.24,7320969.55,3316.111
0.0,41.2,453894.81,7321033.54,3324.762
0.0,43.8,453937.29,7321097.53,3332.704
0.0,46.4,453979.65,7321161.46,3340.005
0.0,48.9,454021.86,7321225.27,3346.733
0.0,51.5,454063.90,7321288.89,3352.959
0.0,54.1,454105.78,7321352.35,3358.819
0.0,56.7,454147.51,7321415.69,3364.498
0.0,59.2,454189.15,7321479.00,3370.182
0.0,61.8,454230.71,7321542.32,3376.039
0.0,64.4,454272.18,7321605.62,3382.051
0.0,67.0,454313.50,7321668.80,3388.087
0.0,69.5,454354.62,7321731.76,3394.015
0.0,72.1,454395.53,7321794.47,3399.709
0.0,74.7,454436.48,7321857.27,3405.067
0.0,77.3,454477.85,7321920.68,3410.000
0.0,79.8,454520.01,7321985.21,3414.420
0.0,82.4,454563.10,7322051.04,3418.274
0.0,85.0,454606.18,7322116.75,3421.691
0.0,87.6,454647.95,7322180.40,3424.855
0.0,90.1,454687.13,7322240.09,3427.946
0.0,92.7,454722.71,7322294.31,3431.063
0.0,95.3,454754.61,7322342.93,3434.009
0.0,97.9,454782.94,7322386.14,3436.527
0.0,100.4,454807.82,7322424.11,3438.358
0.0,103.0,454829.55,7322457.28,3439.351
0.0,105.6,454848.82,7322486.73,3439.609
0.0,108.2,454866.40,7322513.62,3439.275
0.0,110.7,454883.05,7322539.11,3438.489
0.0,113.3,454899.15,7322563.79,3437.362
0.0,115.9,454914.42,7322587.25,3435.951
0.0,118.5,454928.52,7322609.01,3434.309
0.0,121.0,454941.10,7322628.56,3432.486
0.0,123.6,454952.22,7322645.98,3430.547
0.0,126.2,454962.40,7322662.03,3428.573
0.0,128.8,454972.19,7322677.54,3426.644
0.0,131.3,454982.15,7322693.28,3424.842
0.0,133.9,454992.46,7322709.55,3423.258
0.0,136.5,455002.99,7322726.14,3421.991
0.0,139.1,455013.59,7322742.85,3421.141
0.0,141.6,455024.11,7322759.46,3420.801
0.0,144.2,455034.53,7322775.92,3420.951
0.0,146.8,455044.89,7322792.31,3421.497
0.0,149.4,455055.25,7322808.66,3422.340
0.0,151.9,455065.65,7322825.06,3423.379
0.0,154.5,455076.09,7322841.48,3424.473
