IL,XL,X,Y,Z
0,0,453215.214,7320009.720,3053.296
0,10,453379.827,7320263.161,3097.794
0,20,453547.292,7320512.747,3144.339
0,30,453715.765,7320761.651,3201.846
0,40,453883.599,7321012.561,3254.250
0,50,454049.983,7321263.488,3288.898
0,60,454212.813,7321511.305,3317.430
0,70,454374.266,7321758.404,3342.057
0,80,454536.987,7322007.077,3354.250
0,90,454699.835,7322255.268,3368.874
0,100,454816.084,7322432.157,3379.073
0,110,454886.154,7322538.470,3372.023
0,120,454941.663,7322623.362,3361.072
0,130,454981.946,7322686.854,3356.646
0,140,455022.033,7322750.312,3353.974
0,150,455062.194,7322813.760,3353.373
0,160,455102.635,7322877.414,3351.416
0,170,455143.214,7322940.947,3343.420
0,180,455183.888,7323004.478,3329.114
0,190,455224.599,7323068.099,3314.722
0,200,455265.335,7323131.687,3302.949
0,210,455306.103,7323195.279,3291.807
0,220,455346.816,7323258.922,3282.261
0,230,455387.405,7323322.798,3276.109
0,240,455427.788,7323386.874,3274.839
0,250,455467.946,7323451.090,3279.351
0,260,455507.962,7323515.325,3288.015
0,270,455547.872,7323579.652,3299.740
0,280,455587.719,7323644.227,3313.124
0,290,455627.610,7323708.707,3321.303
0,300,455667.515,7323773.173,3323.814
0,310,455707.326,7323837.746,3329.276
0,320,455747.061,7323902.346,3338.156
0,330,455786.777,7323967.077,3344.828
0,340,455826.461,7324031.687,3348.581
0,350,455866.116,7324096.324,3351.630
0,360,455905.781,7324161.066,3351.025
0,370,455945.464,7324225.796,3347.104
0,380,455985.248,7324290.540,3342.697
0,390,456025.148,7324355.306,3336.847
0,400,456064.985,7324420.061,3333.780
0,410,456104.678,7324484.767,3335.546
0,420,456144.354,7324549.489,3336.733
0,430,456184.142,7324614.218,3336.060
0,440,456223.806,7324679.044,3342.803
0,450,456263.296,7324743.735,3357.834
0,460,456302.959,7324808.323,3367.363
0,470,456342.776,7324872.919,3370.648
0,480,456382.533,7324937.234,3377.864
0,490,456422.298,7325001.562,3385.139
0,500,456462.246,7325065.924,3384.108
0,510,456502.270,7325130.140,3380.270
0,520,456542.270,7325194.365,3379.846
0,530,456582.322,7325258.617,3380.853
0,540,456622.399,7325322.881,3379.885
0,550,456662.440,7325387.148,3376.706
0,560,456702.465,7325451.417,3373.631
0,570,456742.480,7325515.677,3371.421
0,580,456782.497,7325579.934,3368.303
0,590,456822.561,7325644.222,3362.927
0,600,456862.605,7325708.413,3358.254
0,610,456902.543,7325772.595,3356.062
0,620,456942.423,7325836.860,3354.568
0,630,456982.225,7325901.254,3353.797
0,640,457021.817,7325965.666,3357.319
0,650,457061.148,7326030.056,3363.991
0,660,457100.370,7326094.428,3369.018
0,670,457139.648,7326158.736,3374.136
0,680,457178.778,7326223.278,3383.254
0,690,457217.605,7326287.880,3394.759
0,700,457256.382,7326352.374,3401.133
0,710,457295.174,7326416.872,3404.734
