IL,XL,X,Y,Z
0.0,0.0,453215.21,7320009.72,3053.296
0.0,2.6,453257.33,7320075.68,3065.441
0.0,5.2,453299.73,7320141.23,3076.963
0.0,7.7,453342.38,7320206.43,3088.125
0.0,10.3,453385.24,7320271.33,3099.194
0.0,12.9,453428.29,7320335.98,3110.432
0.0,15.5,453471.50,7320400.43,3122.104
0.0,18.1,453514.83,7320464.73,3134.475
0.0,20.7,453558.25,7320528.94,3147.806
0.0,23.2,453601.74,7320593.11,3162.149
0.0,25.8,453645.25,7320657.31,3177.151
0.0,28.4,453688.75,7320721.60,3192.409
0.0,31.0,453732.20,7320786.06,3207.523
0.0,33.6,453775.58,7320850.71,3222.126
0.0,36.1,453818.91,7320915.50,3235.897
0.0,38.7,453862.18,7320980.38,3248.519
0.0,41.3,453905.40,7321045.33,3259.689
0.0,43.9,453948.54,7321110.26,3269.434
0.0,46.5,453991.52,7321175.08,3278.103
0.0,49.0,454034.27,7321239.69,3286.064
0.0,51.6,454076.71,7321304.01,3293.668
0.0,54.2,454118.87,7321368.06,3301.097
0.0,56.8,454160.82,7321431.95,3308.411
0.0,59.4,454202.65,7321495.78,3315.667
0.0,62.0,454244.43,7321559.64,3322.892
0.0,64.5,454286.17,7321623.51,3329.853
0.0,67.1,454327.84,7321687.32,3336.182
0.0,69.7,454369.41,7321750.96,3341.515
0.0,72.3,454410.88,7321814.43,3345.586
0.0,74.9,454452.50,7321878.07,3348.717
0.0,77.4,454494.56,7321942.32,3351.438
0.0,80.0,454537.38,7322007.67,3354.278
0.0,82.6,454580.97,7322074.16,3357.638
0.0,85.2,454624.29,7322140.19,3361.423
0.0,87.8,454666.02,7322203.77,3365.417
0.0,90.3,454704.87,7322262.93,3369.404
0.0,92.9,454739.85,7322316.20,3373.130
0.0,95.5,454770.94,7322363.52,3376.240
0.0,98.1,454798.26,7322405.07,3378.360
0.0,100.7,454821.92,7322441.02,3379.121
0.0,103.3,454842.30,7322471.95,3378.397
0.0,105.8,454860.22,7322499.13,3376.518
0.0,108.4,454876.55,7322523.90,3373.866
0.0,111.0,454892.17,7322547.61,3370.820
0.0,113.6,454907.43,7322570.82,3367.698
0.0,116.2,454922.01,7322593.10,3364.727
0.0,118.7,454935.56,7322613.92,3362.132
0.0,121.3,454947.72,7322632.78,3360.126
0.0,123.9,454958.58,7322649.81,3358.717
0.0,126.5,454968.64,7322665.72,3357.714
0.0,129.1,454978.40,7322681.22,3356.920
0.0,131.7,454988.35,7322697.02,3356.146
0.0,134.2,454998.62,7322713.28,3355.363
0.0,136.8,455009.07,7322729.82,3354.648
0.0,139.4,455019.58,7322746.43,3354.078
0.0,142.0,455030.02,7322762.94,3353.721
0.0,144.6,455040.39,7322779.33,3353.543
0.0,147.1,455050.73,7322795.66,3353.459
0.0,149.7,455061.07,7322811.99,3353.384
0.0,152.3,455071.46,7322828.38,3353.233
0.0,154.9,455081.89,7322844.81,3352.915
0.0,157.5,455092.35,7322861.26,3352.333
0.0,160.0,455102.82,7322877.71,3351.395
0.0,162.6,455113.29,7322894.13,3350.019
0.0,165.2,455123.77,7322910.53,3348.172
0.0,167.8,455134.24,7322926.92,3345.831
0.0,170.4,455144.73,7322943.31,3342.976
0.0,173.0,455155.22,7322959.70,3339.627
0.0,175.5,455165.72,7322976.10,3335.920
0.0,178.1,455176.22,7322992.50,3332.009
0.0,180.7,455186.73,7323008.91,3328.047
0.0,183.3,455197.24,7323025.34,3324.153
0.0,185.9,455207.74,7323041.76,3320.383
0.0,188.4,455218.25,7323058.19,3316.787
0.0,191.0,455228.77,7323074.61,3313.414
0.0,193.6,455239.28,7323091.02,3310.260
0.0,196.2,455249.79,7323107.44,3307.259
0.0,198.8,455260.31,7323123.85,3304.337
0.0,201.3,455270.83,7323140.26,3301.425
0.0,203.9,455281.36,7323156.68,3298.506
0.0,206.5,455291.88,7323173.09,3295.613
0.0,209.1,455302.41,7323189.51,3292.781
0.0,211.7,455312.93,7323205.93,3290.045
0.0,214.3,455323.44,7323222.35,3287.438
0.0,216.8,455333.95,7323238.77,3284.992
0.0,219.4,455344.45,7323255.22,3282.739
0.0,222.0,455354.95,7323271.68,3280.709
0.0,224.6,455365.43,7323288.16,3278.929
0.0,227.2,455375.91,7323304.65,3277.422
0.0,229.7,455386.37,7323321.16,3276.212
0.0,232.3,455396.82,7323337.68,3275.322
0.0,234.9,455407.25,7323354.22,3274.779
0.0,237.5,455417.67,7323370.76,3274.613
0.0,240.1,455428.07,7323387.32,3274.851
0.0,242.7,455438.45,7323403.89,3275.509
0.0,245.2,455448.82,7323420.47,3276.554
0.0,247.8,455459.18,7323437.05,3277.941
0.0,250.4,455469.53,7323453.63,3279.627
0.0,253.0,455479.87,7323470.21,3281.573
0.0,255.6,455490.20,7323486.79,3283.758
0.0,258.1,455500.53,7323503.37,3286.160
0.0,260.7,455510.84,7323519.96,3288.760
0.0,263.3,455521.15,7323536.54,3291.548
0.0,265.9,455531.46,7323553.14,3294.535
0.0,268.5,455541.75,7323569.76,3297.733
0.0,271.0,455552.04,7323586.40,3301.153
0.0,273.6,455562.33,7323603.07,3304.726
0.0,276.2,455572.61,7323619.74,3308.285
0.0,278.8,455582.90,7323636.42,3311.658
0.0,281.4,455593.19,7323653.08,3314.673
0.0,284.0,455603.48,7323669.74,3317.236
0.0,286.5,455613.78,7323686.38,3319.316
0.0,289.1,455624.08,7323703.01,3320.887
0.0,291.7,455634.39,7323719.65,3321.935
0.0,294.3,455644.69,7323736.28,3322.593
0.0,296.9,455654.99,7323752.92,3323.090
0.0,299.4,455665.29,7323769.57,3323.659
0.0,302.0,455675.58,7323786.23,3324.511
0.0,304.6,455685.86,7323802.90,3325.708
0.0,307.2,455696.13,7323819.57,3327.239
0.0,309.8,455706.40,7323836.24,3329.093
0.0,312.3,455716.66,7323852.91,3331.245
0.0,314.9,455726.92,7323869.58,3333.580
0.0,317.5,455737.18,7323886.26,3335.957
0.0,320.1,455747.43,7323902.95,3338.235
0.0,322.7,455757.68,7323919.65,3340.296
0.0,325.3,455767.94,7323936.37,3342.118
0.0,327.8,455778.19,7323953.08,3343.696
0.0,330.4,455788.44,7323969.78,3345.027
0.0,333.0,455798.69,7323986.47,3346.129
0.0,335.6,455808.93,7324003.15,3347.077
0.0,338.2,455819.17,7324019.82,3347.954
0.0,340.7,455829.41,7324036.49,3348.843
0.0,343.3,455839.65,7324053.17,3349.762
0.0,345.9,455849.89,7324069.85,3350.625
0.0,348.5,455860.12,7324086.55,3351.330
0.0,351.1,455870.36,7324103.25,3351.780
0.0,353.7,455880.60,7324119.96,3351.922
0.0,356.2,455890.84,7324136.67,3351.766
0.0,358.8,455901.08,7324153.39,3351.322
0.0,361.4,455911.32,7324170.10,3350.604
0.0,364.0,455921.56,7324186.81,3349.664
0.0,366.6,455931.80,7324203.52,3348.590
0.0,369.1,455942.05,7324220.23,3347.472
0.0,371.7,455952.30,7324236.94,3346.389
0.0,374.3,455962.56,7324253.65,3345.328
0.0,376.9,455972.83,7324270.36,3344.216
0.0,379.5,455983.12,7324287.08,3342.977
0.0,382.0,455993.41,7324303.79,3341.551
0.0,384.6,456003.71,7324320.51,3339.998
0.0,387.2,456014.01,7324337.23,3338.429
0.0,389.8,456024.31,7324353.95,3336.959
0.0,392.4,456034.61,7324370.67,3335.692
0.0,395.0,456044.90,7324387.39,3334.699
0.0,397.5,456055.18,7324404.10,3334.041
0.0,400.1,456065.45,7324420.81,3333.777
0.0,402.7,456075.70,7324437.52,3333.929
0.0,405.3,456085.95,7324454.22,3334.386
0.0,407.9,456096.19,7324470.92,3335.007
0.0,410.4,456106.43,7324487.63,3335.652
0.0,413.0,456116.67,7324504.33,3336.204
0.0,415.6,456126.90,7324521.04,3336.597
0.0,418.2,456137.15,7324537.75,3336.772
0.0,420.8,456147.40,7324554.46,3336.672
0.0,423.3,456157.67,7324571.16,3336.345
0.0,425.9,456167.95,7324587.86,3336.012
0.0,428.5,456178.22,7324604.58,3335.915
0.0,431.1,456188.49,7324621.30,3336.291
0.0,433.7,456198.74,7324638.04,3337.298
0.0,436.3,456208.98,7324654.77,3338.997
0.0,438.8,456219.21,7324671.51,3341.443
0.0,441.4,456229.41,7324688.23,3344.678
0.0,444.0,456239.60,7324704.94,3348.531
0.0,446.6,456249.79,7324721.64,3352.637
0.0,449.2,456259.99,7324738.33,3356.626
0.0,451.7,456270.20,7324755.00,3360.150
0.0,454.3,456280.42,7324771.67,3363.070
0.0,456.9,456290.67,7324788.34,3365.385
0.0,459.5,456300.92,7324805.02,3367.096
0.0,462.1,456311.20,7324821.70,3368.227
0.0,464.7,456321.47,7324838.39,3368.989
0.0,467.2,456331.76,7324855.06,3369.672
0.0,469.8,456342.04,7324871.72,3370.567
0.0,472.4,456352.31,7324888.35,3371.912
0.0,475.0,456362.57,7324904.95,3373.675
0.0,477.6,456372.83,7324921.54,3375.739
0.0,480.1,456383.09,7324938.13,3377.988
0.0,482.7,456393.34,7324954.73,3380.287
0.0,485.3,456403.60,7324971.33,3382.421
0.0,487.9,456413.87,7324987.94,3384.163
0.0,490.5,456424.15,7325004.56,3385.286
0.0,493.0,456434.45,7325021.18,3385.667
0.0,495.6,456444.76,7325037.80,3385.435
0.0,498.2,456455.08,7325054.41,3384.755
0.0,500.8,456465.41,7325071.01,3383.793
0.0,503.4,456475.74,7325087.59,3382.702
0.0,506.0,456486.08,7325104.16,3381.620
0.0,508.5,456496.41,7325120.73,3380.685
0.0,511.1,456506.74,7325137.31,3380.028
0.0,513.7,456517.06,7325153.88,3379.694
0.0,516.3,456527.38,7325170.46,3379.623
0.0,518.9,456537.71,7325187.04,3379.747
0.0,521.4,456548.04,7325203.63,3379.997
0.0,524.0,456558.38,7325220.21,3380.306
0.0,526.6,456568.72,7325236.80,3380.601
0.0,529.2,456579.06,7325253.39,3380.814
0.0,531.8,456589.41,7325269.97,3380.878
0.0,534.3,456599.75,7325286.56,3380.764
0.0,536.9,456610.10,7325303.15,3380.471
0.0,539.5,456620.44,7325319.74,3379.996
0.0,542.1,456630.78,7325336.33,3379.340
0.0,544.7,456641.12,7325352.92,3378.545
0.0,547.3,456651.45,7325369.51,3377.667
0.0,549.8,456661.79,7325386.10,3376.763
0.0,552.4,456672.12,7325402.69,3375.883
0.0,555.0,456682.45,7325419.28,3375.050
0.0,557.6,456692.79,7325435.87,3374.281
0.0,560.2,456703.12,7325452.46,3373.590
0.0,562.7,456713.45,7325469.05,3372.981
0.0,565.3,456723.78,7325485.64,3372.424
0.0,567.9,456734.11,7325502.23,3371.879
0.0,570.5,456744.43,7325518.81,3371.309
0.0,573.1,456754.76,7325535.40,3370.674
0.0,575.7,456765.09,7325551.99,3369.929
0.0,578.2,456775.42,7325568.57,3369.030
0.0,580.8,456785.76,7325585.17,3367.933
0.0,583.4,456796.10,7325601.76,3366.638
0.0,586.0,456806.44,7325618.36,3365.215
0.0,588.6,456816.78,7325634.96,3363.742
0.0,591.1,456827.13,7325651.54,3362.297
0.0,593.7,456837.47,7325668.12,3360.940
0.0,596.3,456847.81,7325684.69,3359.711
0.0,598.9,456858.14,7325701.25,3358.650
0.0,601.5,456868.46,7325717.81,3357.795
0.0,604.0,456878.78,7325734.38,3357.134
0.0,606.6,456889.09,7325750.95,3356.615
0.0,609.2,456899.39,7325767.52,3356.184
0.0,611.8,456909.69,7325784.09,3355.792
0.0,614.4,456919.98,7325800.68,3355.411
0.0,617.0,456930.28,7325817.27,3355.031
0.0,619.5,456940.57,7325833.87,3354.640
0.0,622.1,456950.86,7325850.48,3354.238
0.0,624.7,456961.14,7325867.10,3353.895
0.0,627.3,456971.41,7325883.73,3353.710
0.0,629.9,456981.67,7325900.36,3353.784
0.0,632.4,456991.92,7325916.98,3354.200
0.0,635.0,457002.15,7325933.61,3354.960
0.0,637.6,457012.36,7325950.24,3356.044
0.0,640.2,457022.55,7325966.86,3357.428
0.0,642.8,457032.72,7325983.49,3359.070
0.0,645.3,457042.88,7326000.11,3360.852
0.0,647.9,457053.02,7326016.73,3362.640
0.0,650.5,457063.16,7326033.35,3364.305
0.0,653.1,457073.28,7326049.97,3365.766
0.0,655.7,457083.40,7326066.59,3367.062
0.0,658.3,457093.53,7326083.21,3368.250
0.0,660.8,457103.66,7326099.81,3369.383
0.0,663.4,457113.80,7326116.41,3370.532
0.0,666.0,457123.94,7326133.00,3371.783
0.0,668.6,457134.08,7326149.60,3373.227
0.0,671.2,457144.21,7326166.23,3374.953
0.0,673.7,457154.33,7326182.87,3377.004
0.0,676.3,457164.43,7326199.54,3379.369
0.0,678.9,457174.52,7326216.22,3382.036
0.0,681.5,457184.57,7326232.90,3384.988
0.0,684.1,457194.61,7326249.58,3388.103
0.0,686.7,457204.62,7326266.26,3391.176
0.0,689.2,457214.63,7326282.93,3393.999
0.0,691.8,457224.64,7326299.58,3396.380
0.0,694.4,457234.64,7326316.23,3398.291
0.0,697.0,457244.65,7326332.88,3399.796
0.0,699.6,457254.67,7326349.52,3400.962
0.0,702.1,457264.68,7326366.18,3401.868
0.0,704.7,457274.70,7326382.83,3402.666
0.0,707.3,457284.72,7326399.48,3403.540
0.0,709.9,457294.72,7326416.12,3404.674
0.0,712.5,457304.72,7326432.75,3406.203
0.0,715.0,457314.71,7326449.37,3408.040
0.0,717.6,457324.70,7326465.98,3410.033
0.0,720.2,457334.69,7326482.59,3412.030
0.0,722.8,457344.68,7326499.19,3413.901
0.0,725.4,457354.68,7326515.79,3415.582
0.0,728.0,457364.68,7326532.38,3417.023
0.0,730.5,457374.68,7326548.95,3418.172
0.0,733.1,457384.69,7326565.50,3419.004
0.0,735.7,457394.70,7326582.03,3419.548
0.0,738.3,457404.72,7326598.55,3419.838
0.0,740.9,457414.74,7326615.06,3419.908
0.0,743.4,457424.78,7326631.56,3419.786
0.0,746.0,457434.82,7326648.06,3419.485
0.0,748.6,457444.88,7326664.55,3419.015
0.0,751.2,457454.93,7326681.05,3418.388
0.0,753.8,457464.99,7326697.54,3417.568
0.0,756.3,457475.06,7326714.02,3416.468
0.0,758.9,457485.14,7326730.46,3414.999
0.0,761.5,457495.24,7326746.87,3413.079
0.0,764.1,457505.35,7326763.24,3410.743
0.0,766.7,457515.47,7326779.60,3408.119
0.0,769.3,457525.61,7326795.97,3405.336
0.0,771.8,457535.77,7326812.37,3402.514
0.0,774.4,457545.93,7326828.76,3399.650
0.0,777.0,457556.08,7326845.09,3396.676
0.0,779.6,457566.21,7326861.30,3393.521
0.0,782.2,457576.30,7326877.34,3390.105
0.0,784.7,457586.42,7326893.36,3386.281
0.0,787.3,457596.63,7326909.54,3381.875
0.0,789.9,457607.01,7326926.07,3376.712
0.0,792.5,457617.63,7326943.12,3370.686
0.0,795.1,457628.48,7326960.72,3363.981
0.0,797.7,457639.57,7326978.89,3356.865
0.0,800.2,457650.87,7326997.61,3349.605
0.0,802.8,457662.38,7327016.86,3342.398
0.0,805.4,457674.02,7327036.45,3335.232
0.0,808.0,457685.73,7327056.20,3328.052
0.0,810.6,457697.46,7327075.91,3320.803
0.0,813.1,457709.15,7327095.47,3313.464
