IL,XL,X,Y,Z
0,0,453213.686,7320011.650,3088.451
0,10,453378.246,7320263.238,3134.772
0,20,453545.213,7320511.613,3180.616
0,30,453712.951,7320759.188,3235.026
0,40,453879.941,7321008.785,3282.139
0,50,454045.492,7321258.520,3314.340
0,60,454208.131,7321505.731,3340.052
0,70,454369.215,7321752.099,3363.892
0,80,454531.083,7321999.746,3379.229
0,90,454693.786,7322247.784,3393.088
0,100,454811.040,7322426.359,3403.366
0,110,454882.898,7322535.741,3399.596
0,120,454939.395,7322622.367,3390.752
0,130,454979.876,7322686.094,3384.864
0,140,455020.131,7322749.719,3381.355
0,150,455060.374,7322813.311,3381.758
0,160,455100.871,7322877.024,3382.106
0,170,455141.494,7322940.619,3376.222
0,180,455182.210,7323004.210,3362.241
0,190,455223.016,7323067.826,3346.313
0,200,455263.850,7323131.355,3333.167
0,210,455304.678,7323194.891,3322.175
0,220,455345.425,7323258.565,3313.068
0,230,455386.017,7323322.445,3307.970
0,240,455426.416,7323386.439,3307.760
0,250,455466.643,7323450.599,3311.993
0,260,455506.763,7323514.808,3318.479
0,270,455546.773,7323579.058,3327.171
0,280,455586.676,7323643.551,3338.723
0,290,455626.578,7323708.004,3347.723
0,300,455666.503,7323772.420,3350.825
0,310,455706.369,7323836.914,3354.102
0,320,455746.154,7323901.482,3361.537
0,330,455785.886,7323966.189,3368.651
0,340,455825.571,7324030.779,3371.658
0,350,455865.220,7324095.444,3372.694
0,360,455904.858,7324160.184,3371.313
0,370,455944.508,7324224.890,3367.639
0,380,455984.246,7324289.633,3363.731
0,390,456024.085,7324354.429,3358.861
0,400,456063.896,7324419.192,3355.488
0,410,456103.618,7324483.842,3355.631
0,420,456143.332,7324548.533,3356.047
0,430,456183.136,7324613.239,3355.484
0,440,456222.827,7324677.995,3361.889
0,450,456262.369,7324742.607,3376.133
0,460,456302.082,7324807.148,3384.803
0,470,456341.955,7324871.709,3386.004
0,480,456381.775,7324935.958,3391.130
0,490,456421.599,7325000.222,3397.684
0,500,456461.588,7325064.568,3396.365
0,510,456501.629,7325128.751,3392.962
0,520,456541.634,7325192.950,3393.712
0,530,456581.674,7325257.208,3395.880
0,540,456621.740,7325321.498,3395.498
0,550,456661.765,7325385.795,3392.616
0,560,456701.753,7325450.093,3390.021
0,570,456741.729,7325514.376,3388.302
0,580,456781.709,7325578.652,3385.895
0,590,456821.735,7325642.995,3381.124
0,600,456861.727,7325707.274,3376.528
0,610,456901.595,7325771.536,3374.422
0,620,456941.414,7325835.825,3373.230
0,630,456981.176,7325900.247,3372.122
0,640,457020.739,7325964.712,3375.121
0,650,457060.064,7326029.127,3381.352
0,660,457099.276,7326093.498,3385.919
0,670,457138.477,7326157.886,3392.023
0,680,457177.552,7326222.484,3402.140
0,690,457216.403,7326287.059,3412.608
0,700,457255.219,7326351.551,3417.520
0,710,457294.022,7326416.051,3420.375
0,720,457332.696,7326480.419,3427.860
0,730,457371.370,7326544.724,3434.720
0,740,457410.129,7326608.826,3436.935
0,750,457448.967,7326672.782,3437.342
0,760,457487.884,7326736.638,3434.871
0,770,457527.050,7326800.135,3425.072
0,780,457566.431,7326863.327,3412.627
0,790,457606.061,7326926.098,3396.087
0,800,457648.531,7326995.480,3369.230
0,810,457693.657,7327071.417,3340.827
0,820,457738.926,7327146.924,3313.366
0,830,457784.271,7327222.016,3286.485
0,840,457829.612,7327296.764,3257.568
0,850,457874.982,7327371.305,3223.891
0,860,457920.518,7327445.337,3188.317
0,870,457966.077,7327519.213,3157.989
0,880,458011.465,7327593.324,3140.079
0,890,458056.795,7327667.448,3131.928
0,900,458102.172,7327741.449,3123.808
0,910,458147.578,7327815.350,3114.226
0,920,458192.950,7327889.313,3109.610
0,930,458238.359,7327963.187,3104.522
0,940,458283.776,7328036.992,3096.830
0,950,458329.186,7328110.709,3087.492
0,960,458374.618,7328184.231,3071.205
0,970,458419.932,7328257.957,3058.507
0,980,458465.116,7328332.061,3060.961
0,990,458510.302,7328406.460,3072.481
0,1000,458594.923,7328544.520,3070.588
0,1010,458718.810,7328746.017,3063.421
0,1020,458842.753,7328948.093,3078.118
