IL,XL,X,Y,Z
0.0,0.0,453213.69,7320011.65,3088.451
0.0,2.6,453255.85,7320077.01,3101.344
0.0,5.2,453298.25,7320142.06,3113.413
0.0,7.7,453340.86,7320206.84,3124.936
0.0,10.3,453383.65,7320271.36,3136.185
0.0,12.9,453426.60,7320335.68,3147.438
0.0,15.5,453469.69,7320399.82,3158.969
0.0,18.1,453512.87,7320463.83,3171.054
0.0,20.7,453556.13,7320527.72,3183.965
0.0,23.2,453599.44,7320591.56,3197.749
0.0,25.8,453642.76,7320655.41,3212.012
0.0,28.4,453686.06,7320719.36,3226.313
0.0,31.0,453729.31,7320783.47,3240.210
0.0,33.6,453772.48,7320847.77,3253.385
0.0,36.1,453815.59,7320912.23,3265.684
0.0,38.7,453858.64,7320976.78,3276.968
0.0,41.3,453901.62,7321041.38,3287.102
0.0,43.9,453944.51,7321105.97,3296.129
0.0,46.5,453987.27,7321170.48,3304.259
0.0,49.0,454029.83,7321234.81,3311.714
0.0,51.6,454072.15,7321298.91,3318.708
0.0,54.2,454114.24,7321362.79,3325.409
0.0,56.8,454156.16,7321426.54,3331.949
0.0,59.4,454197.97,7321490.24,3338.458
0.0,62.0,454239.72,7321553.95,3345.040
0.0,64.5,454281.39,7321617.66,3351.552
0.0,67.1,454322.96,7321681.27,3357.725
0.0,69.7,454364.38,7321744.69,3363.292
0.0,72.3,454405.65,7321807.89,3368.045
0.0,74.9,454447.03,7321871.24,3372.119
0.0,77.4,454488.86,7321935.23,3375.772
0.0,80.0,454531.47,7322000.34,3379.260
0.0,82.6,454574.92,7322066.65,3382.792
0.0,85.2,454618.17,7322132.59,3386.379
0.0,87.8,454659.91,7322196.19,3389.983
0.0,90.3,454698.83,7322255.47,3393.570
0.0,92.9,454733.97,7322309.00,3397.032
0.0,95.5,454765.30,7322356.71,3400.070
0.0,98.1,454792.93,7322398.79,3402.355
0.0,100.7,454816.99,7322435.41,3403.559
0.0,103.3,454837.83,7322467.13,3403.549
0.0,105.8,454856.23,7322495.13,3402.559
0.0,108.4,454873.03,7322520.71,3400.864
0.0,111.0,454889.06,7322545.14,3398.738
0.0,113.6,454904.65,7322568.94,3396.406
0.0,116.2,454919.49,7322591.67,3394.029
0.0,118.7,454933.22,7322612.81,3391.765
0.0,121.3,454945.51,7322631.88,3389.766
0.0,123.9,454956.44,7322649.01,3388.071
0.0,126.5,454966.53,7322664.94,3386.610
0.0,129.1,454976.32,7322680.46,3385.308
0.0,131.7,454986.31,7322696.28,3384.098
0.0,134.2,454996.62,7322712.58,3382.999
0.0,136.8,455007.12,7322729.16,3382.091
0.0,139.4,455017.67,7322745.83,3381.456
0.0,142.0,455028.14,7322762.38,3381.161
0.0,144.6,455038.54,7322778.82,3381.167
0.0,147.1,455048.89,7322795.18,3381.384
0.0,149.7,455059.25,7322811.54,3381.719
0.0,152.3,455069.66,7322827.95,3382.076
0.0,154.9,455080.10,7322844.39,3382.340
0.0,157.5,455090.58,7322860.86,3382.388
0.0,160.0,455101.06,7322877.32,3382.097
0.0,162.6,455111.54,7322893.76,3381.357
0.0,165.2,455122.03,7322910.17,3380.102
0.0,167.8,455132.51,7322926.58,3378.277
0.0,170.4,455143.01,7322942.98,3375.829
0.0,173.0,455153.51,7322959.39,3372.752
0.0,175.5,455164.02,7322975.81,3369.174
0.0,178.1,455174.53,7322992.23,3365.245
0.0,180.7,455185.05,7323008.65,3361.112
0.0,183.3,455195.58,7323025.07,3356.908
0.0,185.9,455206.12,7323041.50,3352.728
0.0,188.4,455216.65,7323057.92,3348.667
0.0,191.0,455227.19,7323074.33,3344.818
0.0,193.6,455237.73,7323090.73,3341.219
0.0,196.2,455248.27,7323107.13,3337.839
0.0,198.8,455258.82,7323123.53,3334.641
0.0,201.3,455269.36,7323139.92,3331.588
0.0,203.9,455279.90,7323156.32,3328.656
0.0,206.5,455290.44,7323172.72,3325.835
0.0,209.1,455300.98,7323189.12,3323.111
0.0,211.7,455311.51,7323205.54,3320.476
0.0,214.3,455322.03,7323221.97,3317.961
0.0,216.8,455332.55,7323238.40,3315.619
0.0,219.4,455343.06,7323254.86,3313.506
0.0,222.0,455353.56,7323271.33,3311.675
0.0,224.6,455364.04,7323287.81,3310.148
0.0,227.2,455374.52,7323304.31,3308.934
0.0,229.7,455384.98,7323320.81,3308.041
0.0,232.3,455395.43,7323337.32,3307.477
0.0,234.9,455405.86,7323353.83,3307.244
0.0,237.5,455416.29,7323370.35,3307.344
0.0,240.1,455426.70,7323386.89,3307.776
0.0,242.7,455437.09,7323403.43,3308.531
0.0,245.2,455447.48,7323420.00,3309.561
0.0,247.8,455457.86,7323436.56,3310.808
0.0,250.4,455468.23,7323453.14,3312.217
0.0,253.0,455478.60,7323469.71,3313.744
0.0,255.6,455488.95,7323486.29,3315.386
0.0,258.1,455499.31,7323502.86,3317.142
0.0,260.7,455509.65,7323519.44,3319.013
0.0,263.3,455519.99,7323536.01,3321.018
0.0,265.9,455530.32,7323552.59,3323.200
0.0,268.5,455540.64,7323569.18,3325.610
0.0,271.0,455550.95,7323585.80,3328.294
0.0,273.6,455561.26,7323602.44,3331.225
0.0,276.2,455571.56,7323619.09,3334.280
0.0,278.8,455581.85,7323635.75,3337.331
0.0,281.4,455592.15,7323652.40,3340.251
0.0,284.0,455602.45,7323669.04,3342.929
0.0,286.5,455612.75,7323685.68,3345.271
0.0,289.1,455623.05,7323702.31,3347.184
0.0,291.7,455633.36,7323718.94,3348.586
0.0,294.3,455643.66,7323735.56,3349.538
0.0,296.9,455653.97,7323752.19,3350.195
0.0,299.4,455664.28,7323768.82,3350.715
0.0,302.0,455674.58,7323785.46,3351.250
0.0,304.6,455684.87,7323802.11,3351.909
