IL,XL,X,Y,Z
0,0,453114.0,7319921.0,3037.472900390625
0,10,453273.1875,7320180.0,3068.044921875
0,20,453433.46875,7320438.5,3106.700927734375
0,30,453593.75,7320696.5,3175.9169921875
0,40,453754.0,7320955.0,3262.799072265625
0,50,453914.28125,7321213.5,3335.616943359375
0,60,454074.5625,7321472.0,3350.8291015625
0,70,454234.84375,7321730.5,3341.095947265625
0,80,454395.125,7321989.0,3337.123046875
0,90,454555.40625,7322247.0,3348.0830078125
0,100,454715.6875,7322505.5,3377.43896484375
0,110,454779.03125,7322607.5,3375.26904296875
0,120,454842.375,7322710.0,3350.861083984375
0,130,454881.90625,7322773.5,3355.59912109375
0,140,454921.4375,7322837.5,3350.27099609375
0,150,454960.9375,7322901.0,3337.6630859375
0,160,455000.46875,7322964.5,3335.487060546875
0,170,455039.96875,7323028.5,3328.637939453125
0,180,455079.5,7323092.0,3310.611083984375
0,190,455119.0,7323156.0,3290.632080078125
0,200,455158.53125,7323219.5,3276.987060546875
0,210,455198.03125,7323283.5,3269.06201171875
0,220,455237.5625,7323347.0,3261.93994140625
0,230,455277.09375,7323410.5,3261.923095703125
0,240,455316.59375,7323474.5,3263.740966796875
0,250,455356.125,7323538.0,3266.672119140625
0,260,455395.625,7323602.0,3270.490966796875
0,270,455435.15625,7323665.5,3278.705078125
0,280,455474.65625,7323729.0,3292.14697265625
0,290,455514.1875,7323793.0,3308.2939453125
0,300,455553.6875,7323856.5,3309.284912109375
0,310,455593.21875,7323920.5,3311.281982421875
0,320,455632.71875,7323984.0,3322.85009765625
0,330,455672.25,7324048.0,3332.964111328125
0,340,455711.78125,7324111.5,3334.72509765625
0,350,455751.28125,7324175.0,3338.472900390625
0,360,455790.8125,7324239.0,3342.283935546875
0,370,455830.3125,7324302.5,3336.743896484375
0,380,455869.84375,7324366.5,3333.2060546875
0,390,455909.34375,7324430.0,3336.19189453125
0,400,455948.875,7324494.0,3337.662109375
0,410,455988.375,7324557.5,3347.76806640625
0,420,456027.90625,7324621.0,3351.080078125
0,430,456067.4375,7324685.0,3349.4541015625
0,440,456106.9375,7324748.5,3351.501953125
0,450,456146.46875,7324812.5,3365.89697265625
0,460,456185.96875,7324876.0,3381.425048828125
0,470,456225.5,7324940.0,3385.634033203125
0,480,456265.0,7325003.5,3390.653076171875
0,490,456304.53125,7325067.0,3395.196044921875
0,500,456344.03125,7325131.0,3391.14990234375
0,510,456383.5625,7325194.5,3383.91796875
0,520,456423.09375,7325258.5,3376.261962890625
0,530,456462.59375,7325322.0,3375.9970703125
0,540,456502.125,7325385.5,3378.135986328125
0,550,456541.625,7325449.5,3373.84912109375
0,560,456581.15625,7325513.0,3364.613037109375
0,570,456620.65625,7325577.0,3362.25390625
0,580,456660.1875,7325640.5,3359.93994140625
0,590,456699.6875,7325704.5,3353.26611328125
0,600,456739.21875,7325768.0,3347.93310546875
0,610,456778.71875,7325831.5,3348.364013671875
0,620,456818.25,7325895.5,3346.465087890625
0,630,456857.78125,7325959.0,3347.5458984375
0,640,456897.28125,7326023.0,3349.056884765625
0,650,456936.8125,7326086.5,3356.74609375
0,660,456976.3125,7326150.5,3355.2060546875
0,670,457015.84375,7326214.0,3355.839111328125
0,680,457055.34375,7326277.5,3367.958984375
0,690,457094.875,7326341.5,3380.4169921875
0,700,457134.375,7326405.0,3388.178955078125
0,710,457173.90625,7326469.0,3385.24609375
0,720,457213.4375,7326532.5,3389.794921875
0,730,457252.9375,7326596.5,3398.446044921875
0,740,457292.46875,7326660.0,3401.992919921875
0,750,457331.96875,7326723.5,3403.489013671875
0,760,457371.5,7326787.5,3401.27294921875
0,770,457411.0,7326851.0,3396.590087890625
0,780,457450.53125,7326915.0,3388.7490234375
0,790,457490.03125,7326978.5,3374.196044921875
0,800,457529.5625,7327042.0,3350.803955078125
0,810,457575.0625,7327115.5,3328.4619140625
0,820,457620.5625,7327189.0,3304.62890625
0,830,457666.0625,7327262.5,3276.052978515625
0,840,457711.5625,7327335.5,3252.491943359375
0,850,457757.0625,7327409.0,3207.998046875
0,860,457802.5625,7327482.5,3162.97509765625
0,870,457848.0625,7327555.5,3120.131103515625
0,880,457893.5625,7327629.0,3094.613037109375
0,890,457939.0625,7327702.5,3073.9609375
0,900,457984.5625,7327776.0,3058.22802734375
0,910,458030.0625,7327849.0,3047.138916015625
0,920,458075.5625,7327922.5,3047.174072265625
0,930,458121.0625,7327996.0,3051.26708984375
0,940,458166.5625,7328069.5,3053.669921875
0,950,458212.0625,7328142.5,3044.986083984375
0,960,458257.5625,7328216.0,3033.89794921875
0,970,458303.0625,7328289.5,3014.868896484375
0,980,458348.5625,7328362.5,3008.322998046875
0,990,458394.0625,7328436.0,3010.845947265625
0,1000,458439.5625,7328509.5,3019.22412109375
0,1010,458564.28125,7328710.5,3009.196044921875
0,1020,458689.0,7328911.5,3022.8740234375
0,1030,458813.71875,7329112.5,3046.4189453125
0,1040,458938.40625,7329313.5,3051.634033203125
0,1050,459063.125,7329514.5,3046.509033203125
0,1060,459187.84375,7329716.0,3047.080078125
0,1070,459312.5625,7329917.0,3047.080078125
0,1080,459437.28125,7330118.0,3047.080078125
0,1090,459592.5625,7330368.5,3047.080078125
0,1100,459747.875,7330618.5,3047.080078125
0,1110,459903.15625,7330869.0,3047.080078125
10,0,453155.03125,7319840.0,2983.93310546875
10,10,453321.3125,7320094.5,3062.1298828125
10,20,453494.125,7320339.5,3089.2099609375
10,30,453671.5,7320578.5,3141.431884765625
10,40,453848.8125,7320821.0,3168.278076171875
10,50,454023.84375,7321067.5,3200.47705078125
10,60,454195.4375,7321310.0,3222.284912109375
10,70,454355.03125,7321543.0,3313.81494140625
10,80,454521.5625,7321783.0,3335.095947265625
10,90,454687.25,7322023.5,3348.4951171875
10,100,454853.0625,7322260.0,3353.176025390625
10,110,454926.875,7322367.5,3360.656005859375
10,120,455003.0,7322474.5,3344.7529296875
10,130,455044.03125,7322537.5,3331.9208984375
10,140,455084.6875,7322600.5,3330.31591796875
10,150,455125.03125,7322663.5,3340.342041015625
10,160,455166.1875,7322727.0,3339.806884765625
10,170,455207.6875,7322790.5,3335.943115234375
10,180,455249.40625,7322853.5,3327.719970703125
10,190,455291.28125,7322917.0,3315.64501953125
10,200,455333.03125,7322980.5,3306.610107421875
10,210,455375.0,7323044.0,3292.572021484375
10,220,455416.96875,7323107.5,3276.22509765625
10,230,455458.75,7323171.5,3259.903076171875
10,240,455500.3125,7323235.5,3246.80908203125
10,250,455541.25,7323300.5,3246.945068359375
10,260,455581.78125,7323365.0,3258.0830078125
10,270,455622.0625,7323430.0,3274.093017578125
10,280,455662.1875,7323495.5,3289.8359375
10,290,455702.3125,7323561.0,3301.718994140625
10,300,455742.71875,7323626.0,3302.825927734375
10,310,455782.875,7323691.5,3306.885009765625
10,320,455822.8125,7323757.0,3315.885009765625
10,330,455862.6875,7323822.5,3323.5830078125
10,340,455902.59375,7323888.5,3329.1298828125
10,350,455942.40625,7323954.0,3334.574951171875
10,360,455982.21875,7324019.5,3338.278076171875
10,370,456022.125,7324085.5,3335.24609375
10,380,456062.03125,7324151.0,3330.551025390625
10,390,456102.375,7324217.0,3316.35400390625
10,400,456142.78125,7324282.5,3299.701904296875
10,410,456182.78125,7324348.5,3292.9580078125
10,420,456222.46875,7324414.5,3297.125
10,430,456262.34375,7324480.0,3297.587890625
10,440,456302.5625,7324546.0,3293.4150390625
10,450,456341.90625,7324612.0,3308.85302734375
10,460,456381.375,7324677.5,3325.31396484375
10,470,456421.40625,7324743.0,3329.237060546875
10,480,456461.46875,7324808.5,3334.68798828125
10,490,456501.25,7324873.5,3353.89794921875
10,500,456541.34375,7324938.5,3365.14111328125
10,510,456581.90625,7325003.5,3361.697021484375
10,520,456622.34375,7325068.0,3363.091064453125
10,530,456662.875,7325133.0,3364.3359375
10,540,456703.5625,7325198.0,3361.797119140625
10,550,456744.1875,7325262.5,3360.7119140625
10,560,456784.75,7325327.5,3361.5419921875
10,570,456825.375,7325392.0,3358.412109375
10,580,456865.90625,7325457.0,3355.636962890625
10,590,456906.53125,7325521.5,3352.555908203125
10,600,456947.25,7325586.5,3344.212890625
10,610,456987.84375,7325651.0,3338.447998046875
10,620,457028.1875,7325715.5,3336.4150390625
10,630,457068.5,7325780.5,3332.135009765625
10,640,457108.5,7325845.5,3331.5458984375
10,650,457147.9375,7325910.5,3338.345947265625
10,660,457186.8125,7325975.5,3353.26708984375
10,670,457225.84375,7326040.5,3360.511962890625
10,680,457265.15625,7326105.5,3357.659912109375
10,690,457303.5,7326171.0,3369.385009765625
10,700,457341.34375,7326236.5,3386.6640625
10,710,457379.46875,7326301.5,3394.333984375
10,720,457417.4375,7326367.0,3401.4541015625
10,730,457455.40625,7326431.5,3408.169921875
10,740,457493.5,7326496.5,3410.97705078125
10,750,457531.6875,7326560.5,3409.6220703125
10,760,457570.375,7326624.5,3401.386962890625
10,770,457609.0,7326688.0,3392.885986328125
10,780,457648.3125,7326750.5,3375.118896484375
10,790,457686.96875,7326813.5,3371.77490234375
10,800,457727.1875,7326874.5,3347.368896484375
10,810,457771.78125,7326953.0,3313.30810546875
10,820,457816.40625,7327030.0,3283.27294921875
10,830,457861.53125,7327106.5,3248.72412109375
10,840,457906.5625,7327182.0,3215.33203125
10,850,457951.75,7327257.0,3179.60791015625
10,860,457997.09375,7327331.0,3141.0859375
10,870,458042.625,7327404.5,3101.011962890625
10,880,458087.625,7327478.5,3076.423095703125
